Employee_ID,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,YearsSinceLastPromotion
33,33,0,Travel_Rarely,924,Research & Development,2.0,3,Medical,39.0,3.0,Male,78.0,3.0,1,Laboratory Technician,4,Single,2496,6670,4,Y,No,11,0
34,44,0,Travel_Rarely,1459,Research & Development,10.0,4,Other,40.0,4.0,Male,41.0,3.0,2,Healthcare Representative,4,Married,6465,19121,2,Y,Yes,13,1
35,30,0,Travel_Rarely,125,Research & Development,9.0,2,Medical,41.0,4.0,Male,83.0,2.0,1,Laboratory Technician,3,Single,2206,16117,1,Y,No,13,1
36,39,1,Travel_Rarely,895,Sales,5.0,3,Technical Degree,42.0,4.0,Male,56.0,3.0,2,Sales Representative,4,Married,2086,3335,3,Y,No,14,0
37,24,1,Travel_Rarely,813,Research & Development,1.0,3,Medical,45.0,2.0,Male,61.0,3.0,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,2
38,43,0,Travel_Rarely,1273,Research & Development,2.0,2,Medical,46.0,4.0,Female,72.0,4.0,1,Research Scientist,3,Divorced,2645,21923,1,Y,No,12,1
39,50,1,Travel_Rarely,869,Sales,3.0,2,Marketing,47.0,1.0,Male,86.0,2.0,1,Sales Representative,3,Married,2683,3810,1,Y,Yes,14,0
40,35,0,Travel_Rarely,890,Sales,2.0,3,Marketing,49.0,4.0,Female,97.0,3.0,1,Sales Representative,4,Married,2014,9687,1,Y,No,13,2
41,36,0,Travel_Rarely,852,Research & Development,5.0,4,Life Sciences,51.0,2.0,Female,82.0,2.0,1,Research Scientist,1,Married,3419,13072,9,Y,Yes,14,0
42,33,0,Travel_Frequently,1141,Sales,1.0,3,Life Sciences,52.0,3.0,Female,42.0,4.0,2,Sales Executive,1,Married,5376,3193,2,Y,No,19,1
43,35,0,Travel_Rarely,464,Research & Development,4.0,2,Other,53.0,3.0,Male,75.0,3.0,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,No,12,0
44,27,0,Travel_Rarely,1240,Research & Development,2.0,4,Life Sciences,54.0,4.0,Female,33.0,3.0,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,No,13,0
45,26,1,Travel_Rarely,1357,Research & Development,25.0,3,Life Sciences,55.0,1.0,Male,48.0,1.0,1,Laboratory Technician,3,Single,2293,10558,1,Y,No,12,0
46,27,0,Travel_Frequently,994,Sales,8.0,3,Life Sciences,56.0,4.0,Male,37.0,3.0,3,Sales Executive,3,Single,8726,2975,1,Y,No,15,1
47,30,0,Travel_Frequently,721,Research & Development,1.0,2,Medical,57.0,3.0,Female,58.0,3.0,2,Laboratory Technician,4,Single,4011,10781,1,Y,No,23,3
48,41,1,Travel_Rarely,1360,Research & Development,12.0,3,Technical Degree,58.0,2.0,Female,49.0,3.0,5,Research Director,3,Married,19545,16280,1,Y,No,12,15
49,34,0,Non-Travel,1065,Sales,23.0,4,Marketing,60.0,2.0,Male,72.0,3.0,2,Sales Executive,3,Single,4568,10034,0,Y,No,20,8
50,37,0,Travel_Rarely,408,Research & Development,19.0,2,Life Sciences,61.0,2.0,Male,73.0,3.0,1,Research Scientist,2,Married,3022,10227,4,Y,No,21,0
51,46,0,Travel_Frequently,1211,Sales,5.0,4,Marketing,62.0,1.0,Male,98.0,3.0,2,Sales Executive,4,Single,5772,20445,4,Y,Yes,21,0
52,35,0,Travel_Rarely,1229,Research & Development,8.0,1,Life Sciences,63.0,4.0,Male,36.0,4.0,1,Laboratory Technician,4,Married,2269,4892,1,Y,No,19,0
53,48,1,Travel_Rarely,626,Research & Development,1.0,2,Life Sciences,64.0,1.0,Male,98.0,2.0,3,Laboratory Technician,3,Single,5381,19294,9,Y,Yes,13,0
54,28,1,Travel_Rarely,1434,Research & Development,5.0,4,Technical Degree,65.0,3.0,Male,50.0,3.0,1,Laboratory Technician,3,Single,3441,11179,1,Y,Yes,13,2
55,44,0,Travel_Rarely,1488,Sales,1.0,5,Marketing,68.0,2.0,Female,75.0,3.0,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,1
56,35,0,Non-Travel,1097,Research & Development,11.0,2,Medical,70.0,3.0,Male,79.0,2.0,3,Healthcare Representative,1,Married,9884,8302,2,Y,Yes,13,2
57,26,0,Travel_Rarely,1443,Sales,23.0,3,Marketing,72.0,3.0,Female,47.0,2.0,2,Sales Executive,4,Married,4157,21436,7,Y,Yes,19,0
58,33,0,Travel_Frequently,515,Research & Development,1.0,2,Life Sciences,73.0,1.0,Female,98.0,3.0,3,Research Director,4,Single,13458,15146,1,Y,Yes,12,8
59,35,0,Travel_Frequently,853,Sales,18.0,5,Life Sciences,74.0,2.0,Male,71.0,3.0,3,Sales Executive,1,Married,9069,11031,1,Y,No,22,1
60,35,0,Travel_Rarely,1142,Research & Development,23.0,4,Medical,75.0,3.0,Female,30.0,3.0,1,Laboratory Technician,1,Married,4014,16002,3,Y,Yes,15,2
61,31,0,Travel_Rarely,655,Research & Development,7.0,4,Life Sciences,76.0,4.0,Male,48.0,3.0,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,No,22,1
62,37,0,Travel_Rarely,1115,Research & Development,1.0,4,Life Sciences,77.0,1.0,Male,51.0,2.0,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,No,18,0
63,32,0,Travel_Rarely,427,Research & Development,1.0,3,Medical,78.0,1.0,Male,33.0,3.0,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,7
64,38,0,Travel_Frequently,653,Research & Development,29.0,5,Life Sciences,79.0,4.0,Female,50.0,3.0,2,Laboratory Technician,4,Single,2406,5456,1,Y,No,11,9
65,50,0,Travel_Rarely,989,Research & Development,7.0,2,Medical,80.0,2.0,Female,43.0,2.0,5,Research Director,3,Divorced,18740,16701,5,Y,Yes,12,13
66,59,0,Travel_Rarely,1435,Sales,25.0,3,Life Sciences,81.0,1.0,Female,99.0,3.0,3,Sales Executive,1,Single,7637,2354,7,Y,No,11,7
67,36,0,Travel_Rarely,1223,Research & Development,8.0,3,Technical Degree,83.0,3.0,Female,59.0,3.0,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,No,13,12
68,55,0,Travel_Rarely,836,Research & Development,8.0,3,Medical,84.0,4.0,Female,33.0,3.0,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,0
69,36,0,Travel_Frequently,1195,Research & Development,11.0,3,Life Sciences,85.0,2.0,Male,95.0,2.0,2,Manufacturing Director,2,Single,6499,22656,1,Y,No,13,0
70,45,0,Travel_Rarely,1339,Research & Development,7.0,3,Life Sciences,86.0,2.0,Male,59.0,3.0,3,Research Scientist,1,Divorced,9724,18787,2,Y,No,17,0
71,35,0,Travel_Frequently,664,Research & Development,1.0,3,Medical,88.0,2.0,Male,79.0,3.0,1,Research Scientist,1,Married,2194,5868,4,Y,No,13,1
72,36,1,Travel_Rarely,318,Research & Development,9.0,3,Medical,90.0,4.0,Male,79.0,2.0,1,Research Scientist,3,Married,3388,21777,0,Y,Yes,17,0
73,59,0,Travel_Frequently,1225,Sales,1.0,1,Life Sciences,91.0,1.0,Female,57.0,2.0,2,Sales Executive,3,Single,5473,24668,7,Y,No,11,1
74,29,0,Travel_Rarely,1328,Research & Development,2.0,3,Life Sciences,94.0,3.0,Male,76.0,3.0,1,Research Scientist,2,Married,2703,4956,0,Y,No,23,0
75,31,0,Travel_Rarely,1082,Research & Development,1.0,4,Medical,95.0,3.0,Male,87.0,3.0,1,Research Scientist,2,Single,2501,18775,1,Y,No,17,1
76,32,0,Travel_Rarely,548,Research & Development,1.0,3,Life Sciences,96.0,2.0,Male,66.0,3.0,2,Research Scientist,2,Married,6220,7346,1,Y,No,17,0
77,36,0,Travel_Rarely,132,Research & Development,6.0,3,Life Sciences,97.0,2.0,Female,55.0,4.0,1,Laboratory Technician,4,Married,3038,22002,3,Y,No,12,0
78,31,0,Travel_Rarely,746,Research & Development,8.0,4,Life Sciences,98.0,3.0,Female,61.0,3.0,2,Manufacturing Director,4,Single,4424,20682,1,Y,No,23,1
79,35,0,Travel_Rarely,776,Sales,1.0,4,Marketing,100.0,3.0,Male,32.0,2.0,2,Sales Executive,1,Single,4312,23016,0,Y,No,14,2
80,45,0,Travel_Rarely,193,Research & Development,6.0,4,Other,101.0,4.0,Male,52.0,3.0,3,Research Director,1,Married,13245,15067,4,Y,Yes,14,0
81,37,0,Travel_Rarely,397,Research & Development,7.0,4,Medical,102.0,1.0,Male,30.0,3.0,3,Research Director,3,Single,13664,25258,4,Y,No,13,0
82,46,0,Travel_Rarely,945,Human Resources,5.0,2,Medical,103.0,2.0,Male,80.0,3.0,2,Human Resources,2,Divorced,5021,10425,8,Y,Yes,22,0
83,30,0,Travel_Rarely,852,Research & Development,1.0,1,Life Sciences,104.0,4.0,Male,55.0,2.0,2,Laboratory Technician,4,Married,5126,15998,1,Y,Yes,12,3
84,35,0,Travel_Rarely,1214,Research & Development,1.0,3,Medical,105.0,2.0,Male,30.0,2.0,1,Research Scientist,3,Single,2859,26278,1,Y,No,18,0
85,55,0,Travel_Rarely,111,Sales,1.0,2,Life Sciences,106.0,1.0,Male,70.0,3.0,3,Sales Executive,4,Married,10239,18092,3,Y,No,14,1
86,38,0,Non-Travel,573,Research & Development,6.0,3,Medical,107.0,2.0,Female,79.0,1.0,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,1
87,34,0,Travel_Rarely,1153,Research & Development,1.0,2,Medical,110.0,1.0,Male,94.0,3.0,2,Manufacturing Director,2,Married,4325,17736,1,Y,No,15,1
88,56,0,Travel_Rarely,1400,Research & Development,7.0,3,Life Sciences,112.0,4.0,Male,49.0,1.0,3,Manufacturing Director,4,Single,7260,21698,4,Y,No,11,0
89,23,0,Travel_Rarely,541,Sales,2.0,1,Technical Degree,113.0,3.0,Male,62.0,3.0,1,Sales Representative,1,Divorced,2322,9518,3,Y,No,13,0
90,51,0,Travel_Rarely,432,Research & Development,9.0,4,Life Sciences,116.0,4.0,Male,96.0,3.0,1,Laboratory Technician,4,Married,2075,18725,3,Y,No,23,0
91,30,0,Travel_Rarely,288,Research & Development,2.0,3,Life Sciences,117.0,3.0,Male,99.0,2.0,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,10
92,46,1,Travel_Rarely,669,Sales,9.0,2,Medical,118.0,3.0,Male,64.0,2.0,3,Sales Executive,4,Single,9619,13596,1,Y,No,16,4
93,40,0,Travel_Frequently,530,Research & Development,1.0,4,Life Sciences,119.0,3.0,Male,78.0,2.0,4,Healthcare Representative,2,Married,13503,14115,1,Y,No,22,11
94,51,0,Travel_Rarely,632,Sales,21.0,4,Marketing,120.0,3.0,Male,71.0,3.0,2,Sales Executive,4,Single,5441,8423,0,Y,Yes,22,1
95,30,0,Travel_Rarely,1334,Sales,4.0,2,Medical,121.0,3.0,Female,63.0,2.0,2,Sales Executive,2,Divorced,5209,19760,1,Y,Yes,12,2
96,46,0,Travel_Frequently,638,Research & Development,1.0,3,Medical,124.0,3.0,Male,40.0,2.0,3,Healthcare Representative,1,Married,10673,3142,2,Y,Yes,13,9
97,32,0,Travel_Rarely,1093,Sales,6.0,4,Medical,125.0,2.0,Male,87.0,3.0,2,Sales Executive,3,Single,5010,24301,1,Y,No,16,5
98,54,0,Travel_Rarely,1217,Research & Development,2.0,4,Technical Degree,126.0,1.0,Female,60.0,3.0,3,Research Director,3,Married,13549,24001,9,Y,No,12,0
99,24,0,Travel_Rarely,1353,Sales,3.0,2,Other,128.0,1.0,Female,33.0,3.0,2,Sales Executive,3,Married,4999,17519,0,Y,No,21,0
100,28,0,Non-Travel,120,Sales,4.0,3,Medical,129.0,2.0,Male,43.0,3.0,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,0
101,58,0,Travel_Rarely,682,Sales,10.0,4,Medical,131.0,4.0,Male,37.0,3.0,4,Sales Executive,3,Single,13872,24409,0,Y,No,13,1
102,44,0,Non-Travel,489,Research & Development,23.0,3,Medical,132.0,2.0,Male,67.0,3.0,2,Laboratory Technician,2,Married,2042,25043,4,Y,No,12,1
103,44,0,Non-Travel,489,Research & Development,23.0,3,Medical,132.0,2.0,Male,67.0,3.0,2,Laboratory Technician,2,Married,2042,25043,4,Y,No,12,1
104,37,1,Travel_Rarely,807,Human Resources,6.0,4,Human Resources,133.0,3.0,Male,63.0,3.0,1,Human Resources,1,Divorced,2073,23648,4,Y,Yes,22,0
105,32,0,Travel_Rarely,827,Research & Development,1.0,1,Life Sciences,134.0,4.0,Male,71.0,3.0,1,Research Scientist,1,Single,2956,15178,1,Y,No,13,0
106,20,1,Travel_Frequently,871,Research & Development,6.0,3,Life Sciences,137.0,4.0,Female,66.0,2.0,1,Laboratory Technician,4,Single,2926,19783,1,Y,Yes,18,1
107,34,0,Travel_Rarely,665,Research & Development,6.0,4,Other,138.0,1.0,Female,41.0,3.0,2,Research Scientist,3,Single,4809,12482,1,Y,No,14,2
108,37,0,Non-Travel,1040,Research & Development,2.0,2,Life Sciences,139.0,3.0,Male,100.0,2.0,2,Healthcare Representative,4,Divorced,5163,15850,5,Y,No,14,0
109,59,0,Non-Travel,1420,Human Resources,2.0,4,Human Resources,140.0,3.0,Female,32.0,2.0,5,Manager,4,Married,18844,21922,9,Y,No,21,2
110,50,0,Travel_Frequently,1115,Research & Development,1.0,3,Life Sciences,141.0,1.0,Female,73.0,3.0,5,Research Director,2,Married,18172,9755,3,Y,Yes,19,0
111,25,1,Travel_Rarely,240,Sales,5.0,3,Marketing,142.0,3.0,Male,46.0,2.0,2,Sales Executive,3,Single,5744,26959,1,Y,Yes,11,0
112,25,0,Travel_Rarely,1280,Research & Development,7.0,1,Medical,143.0,4.0,Male,64.0,2.0,1,Research Scientist,4,Married,2889,26897,1,Y,No,11,2
113,22,0,Travel_Rarely,534,Research & Development,15.0,3,Medical,144.0,2.0,Female,59.0,3.0,1,Laboratory Technician,4,Single,2871,23785,1,Y,No,15,0
114,51,0,Travel_Frequently,1456,Research & Development,1.0,4,Medical,145.0,1.0,Female,30.0,2.0,3,Healthcare Representative,1,Single,7484,25796,3,Y,No,20,12
115,34,1,Travel_Frequently,658,Research & Development,7.0,3,Life Sciences,147.0,1.0,Male,66.0,1.0,2,Laboratory Technician,3,Single,6074,22887,1,Y,Yes,24,0
116,54,0,Non-Travel,142,Human Resources,26.0,3,Human Resources,148.0,4.0,Female,30.0,4.0,4,Manager,4,Single,17328,13871,2,Y,Yes,12,4
117,24,0,Travel_Rarely,1127,Research & Development,18.0,1,Life Sciences,150.0,2.0,Male,52.0,3.0,1,Laboratory Technician,3,Married,2774,13257,0,Y,No,12,1
118,34,0,Travel_Rarely,1031,Research & Development,6.0,4,Life Sciences,151.0,3.0,Female,45.0,2.0,2,Research Scientist,2,Divorced,4505,15000,6,Y,No,15,0
119,37,0,Travel_Rarely,1189,Sales,3.0,3,Life Sciences,152.0,3.0,Male,87.0,3.0,3,Sales Executive,4,Single,7428,14506,2,Y,No,12,1
120,34,0,Travel_Rarely,1354,Research & Development,5.0,3,Medical,153.0,3.0,Female,45.0,2.0,3,Manager,1,Single,11631,5615,2,Y,No,12,5
121,36,0,Travel_Frequently,1467,Sales,11.0,2,Technical Degree,154.0,2.0,Female,92.0,3.0,3,Sales Executive,4,Married,9738,22952,0,Y,No,14,2
122,36,0,Travel_Rarely,922,Research & Development,3.0,2,Life Sciences,155.0,1.0,Female,39.0,3.0,1,Laboratory Technician,4,Divorced,2835,2561,5,Y,No,22,0
123,43,0,Travel_Frequently,394,Sales,26.0,2,Life Sciences,158.0,3.0,Male,92.0,3.0,4,Manager,4,Married,16959,19494,1,Y,Yes,12,4
124,30,0,Travel_Frequently,1312,Research & Development,23.0,3,Life Sciences,159.0,1.0,Male,96.0,1.0,1,Research Scientist,3,Divorced,2613,22310,1,Y,No,25,0
125,33,0,Non-Travel,750,Sales,22.0,2,Marketing,160.0,3.0,Male,95.0,3.0,2,Sales Executive,2,Married,6146,15480,0,Y,No,13,0
126,56,1,Travel_Rarely,441,Research & Development,14.0,4,Life Sciences,161.0,2.0,Female,72.0,3.0,1,Research Scientist,2,Married,4963,4510,9,Y,Yes,18,4
127,51,0,Travel_Rarely,684,Research & Development,6.0,3,Life Sciences,162.0,1.0,Male,51.0,3.0,5,Research Director,3,Single,19537,6462,7,Y,No,13,15
128,31,1,Travel_Rarely,249,Sales,6.0,4,Life Sciences,163.0,2.0,Male,76.0,1.0,2,Sales Executive,3,Married,6172,20739,4,Y,Yes,18,7
129,26,0,Travel_Rarely,841,Research & Development,6.0,3,Other,164.0,3.0,Female,46.0,2.0,1,Research Scientist,2,Married,2368,23300,1,Y,No,19,4
130,58,1,Travel_Rarely,147,Research & Development,23.0,4,Medical,165.0,4.0,Female,94.0,3.0,3,Healthcare Representative,4,Married,10312,3465,1,Y,No,12,15
131,19,1,Travel_Rarely,528,Sales,22.0,1,Marketing,167.0,4.0,Male,50.0,3.0,1,Sales Representative,3,Single,1675,26820,1,Y,Yes,19,0
132,22,0,Travel_Rarely,594,Research & Development,2.0,1,Technical Degree,169.0,3.0,Male,100.0,3.0,1,Laboratory Technician,4,Married,2523,19299,0,Y,No,14,2
133,49,0,Travel_Rarely,470,Research & Development,20.0,4,Medical,170.0,3.0,Female,96.0,3.0,2,Manufacturing Director,1,Married,6567,5549,1,Y,No,14,5
134,43,0,Travel_Frequently,957,Research & Development,28.0,3,Medical,171.0,2.0,Female,72.0,4.0,1,Research Scientist,3,Single,4739,16090,4,Y,No,12,1
135,50,0,Travel_Frequently,809,Sales,12.0,3,Marketing,174.0,3.0,Female,77.0,3.0,3,Sales Executive,4,Single,9208,6645,4,Y,No,11,2
136,31,1,Travel_Rarely,542,Sales,20.0,3,Life Sciences,175.0,2.0,Female,71.0,1.0,2,Sales Executive,3,Married,4559,24788,3,Y,Yes,11,2
137,41,0,Travel_Rarely,802,Sales,9.0,1,Life Sciences,176.0,3.0,Male,96.0,3.0,3,Sales Executive,3,Divorced,8189,21196,3,Y,Yes,13,0
138,26,0,Travel_Rarely,1355,Human Resources,25.0,1,Life Sciences,177.0,3.0,Female,61.0,3.0,1,Human Resources,3,Married,2942,8916,1,Y,No,23,5
139,36,0,Travel_Rarely,216,Research & Development,6.0,2,Medical,178.0,2.0,Male,84.0,3.0,2,Manufacturing Director,2,Divorced,4941,2819,6,Y,No,20,0
140,51,1,Travel_Frequently,1150,Research & Development,8.0,4,Life Sciences,179.0,1.0,Male,53.0,1.0,3,Manufacturing Director,4,Single,10650,25150,2,Y,No,15,0
141,39,0,Travel_Rarely,1329,Sales,4.0,4,Life Sciences,182.0,4.0,Female,47.0,2.0,2,Sales Executive,3,Married,5902,14590,4,Y,No,14,5
142,25,0,Travel_Rarely,959,Sales,28.0,3,Life Sciences,183.0,1.0,Male,41.0,2.0,2,Sales Executive,3,Married,8639,24835,2,Y,No,18,2
143,30,0,Travel_Rarely,1240,Human Resources,9.0,3,Human Resources,184.0,3.0,Male,48.0,3.0,2,Human Resources,4,Married,6347,13982,0,Y,Yes,19,4
144,32,1,Travel_Rarely,1033,Research & Development,9.0,3,Medical,190.0,1.0,Female,41.0,3.0,1,Laboratory Technician,1,Single,4200,10224,7,Y,No,22,0
145,45,0,Travel_Rarely,1316,Research & Development,29.0,3,Medical,192.0,3.0,Male,83.0,3.0,1,Research Scientist,4,Single,3452,9752,5,Y,No,13,0
146,38,0,Travel_Rarely,364,Research & Development,3.0,5,Technical Degree,193.0,4.0,Female,32.0,3.0,2,Research Scientist,3,Single,4317,2302,3,Y,Yes,20,2
147,30,0,Travel_Rarely,438,Research & Development,18.0,3,Life Sciences,194.0,1.0,Female,75.0,3.0,1,Research Scientist,3,Single,2632,23910,1,Y,No,14,0
148,32,0,Travel_Frequently,689,Sales,9.0,2,Medical,195.0,4.0,Male,35.0,1.0,2,Sales Executive,4,Divorced,4668,22812,0,Y,No,17,0
149,30,0,Travel_Rarely,201,Research & Development,5.0,3,Technical Degree,197.0,4.0,Female,84.0,3.0,1,Research Scientist,1,Divorced,3204,10415,5,Y,No,14,2
150,30,0,Travel_Rarely,1427,Research & Development,2.0,1,Medical,198.0,2.0,Male,35.0,2.0,1,Laboratory Technician,4,Single,2720,11162,0,Y,No,13,1
151,41,0,Travel_Frequently,857,Research & Development,10.0,3,Life Sciences,199.0,4.0,Male,91.0,2.0,4,Manager,1,Divorced,17181,12888,4,Y,No,13,7
152,41,0,Travel_Rarely,933,Research & Development,9.0,4,Life Sciences,200.0,3.0,Male,94.0,3.0,1,Laboratory Technician,1,Married,2238,6961,2,Y,No,21,1
153,19,0,Travel_Rarely,1181,Research & Development,3.0,1,Medical,201.0,2.0,Female,79.0,3.0,1,Laboratory Technician,2,Single,1483,16102,1,Y,No,14,0
154,40,0,Travel_Frequently,1395,Research & Development,26.0,3,Medical,202.0,2.0,Female,54.0,3.0,2,Research Scientist,2,Divorced,5605,8504,1,Y,No,11,2
155,35,0,Travel_Rarely,662,Sales,1.0,5,Marketing,204.0,3.0,Male,94.0,3.0,3,Sales Executive,2,Married,7295,11439,1,Y,No,13,0
156,53,0,Travel_Rarely,1436,Sales,6.0,2,Marketing,205.0,2.0,Male,34.0,3.0,2,Sales Representative,3,Married,2306,16047,2,Y,Yes,20,4
157,45,0,Travel_Rarely,194,Research & Development,9.0,3,Life Sciences,206.0,2.0,Male,60.0,3.0,2,Laboratory Technician,2,Divorced,2348,10901,8,Y,No,18,0
158,32,0,Travel_Frequently,967,Sales,8.0,3,Marketing,207.0,2.0,Female,43.0,3.0,3,Sales Executive,4,Single,8998,15589,1,Y,No,14,3
