Customer_Requested_Delivery_Date,Confirmed_Delivery_Date,Product_Code,Consignee_Code,Planned_Shipment_Date,Shipment_Date,Destination_Code,Order_Entry_Date,Order_Number,Department_Code,Manufacturing_Plant_Code,Transportation_Vehicle_Code,Order_Size_LBS,Delivery_Date
2022-03-20,2022-03-24,92941,286493,2022-03-13,2022-03-14,Boston,2022-01-15,1182047,A78,Erie,HD8,4179.8625,2022-04-10
2022-02-03,2022-02-04,238405,297772,2022-01-18,2022-01-18,Boston,2022-01-16,12705757,A78,Erie,HD8,4646.4518,2022-02-25
2022-01-30,2022-01-31,7645,707541,2022-01-21,2022-01-21,Boston,2022-01-16,12706386,A78,Erie,HD8,4320.8114000000005,2022-02-19
2022-01-25,2022-01-29,122048,18343,2022-01-19,2022-01-19,Boston,2022-01-17,12707883,A78,Erie,HD8,4315.9511,2022-02-17
2022-01-31,2022-01-29,122048,18343,2022-01-22,2022-01-25,Boston,2022-01-17,12707884,A78,Erie,HD8,4292.6215999999995,2022-02-15
2022-02-11,2022-02-11,10240,4738,2022-01-29,2022-02-01,Boston,2022-01-17,12707631,A78,Erie,HD8,4194.4434,2022-03-01
2022-02-01,2022-02-01,6278,18343,2022-01-25,2022-01-25,Boston,2022-01-18,12708780,A78,Erie,HD8,4289.7054,2022-02-18
2022-02-04,2022-02-04,64724,18343,2022-01-28,2022-01-28,Boston,2022-01-18,12708786,A78,Erie,HD8,4210.9685,2022-02-23
2022-02-12,2022-02-12,23578,119597,2022-01-28,2022-01-28,Boston,2022-01-21,12710364,A78,Erie,HD8,4293.5937,2022-02-27
2022-02-12,2022-02-12,23578,119597,2022-01-28,2022-01-28,Boston,2022-01-21,12710365,A78,Erie,HD8,4190.555200000001,2022-03-06
2022-02-17,2022-02-20,24789,119565,2022-02-07,2022-02-07,Boston,2022-01-21,12710553,A78,Erie,HD8,4289.7054,2022-03-10
2022-02-04,2022-02-04,238405,264278,2022-01-24,2022-01-24,Boston,2022-01-22,12711518,A78,Erie,HD8,4200.2758,2022-02-21
2022-02-11,2022-02-11,65728,564173,2022-02-01,2022-02-01,Boston,2022-01-22,12712883,A78,Erie,HD8,4212.912600000001,2022-02-28
2022-02-04,2022-02-14,64724,133856,2022-01-28,2022-01-28,Boston,2022-01-22,1182790,A78,Erie,HD8,4564.7987,2022-03-04
2022-02-11,2022-02-11,238405,184543,2022-02-01,2022-02-01,Boston,2022-01-22,12711513,A78,Erie,HD8,4219.717000000001,2022-02-28
2022-02-25,2022-02-25,238405,184543,2022-02-15,2022-02-15,Boston,2022-01-22,12711514,A78,Erie,HD8,4252.7671,2022-03-17
2022-02-16,2022-02-21,92941,279790,2022-02-07,2022-02-07,Boston,2022-01-22,12711897,A78,Erie,HD8,4271.2363000000005,2022-03-12
2022-02-04,2022-02-14,6284,279364,2022-02-07,2022-02-07,Boston,2022-01-22,12711434,A78,Erie,HD8,4283.873,2022-03-06
2022-02-18,2022-02-21,92941,279790,2022-02-07,2022-02-07,Boston,2022-01-22,12711903,A78,Erie,HD8,4196.3876,2022-03-11
2022-02-16,2022-02-21,92941,279855,2022-02-07,2022-02-07,Boston,2022-01-22,12711932,A78,Erie,HD8,4215.8288,2022-03-14
2022-02-20,2022-02-21,92941,279855,2022-02-07,2022-02-07,Boston,2022-01-22,12711935,A78,Erie,HD8,4188.6111,2022-03-13
2022-02-22,2022-02-22,92941,279790,2022-02-08,2022-02-08,Boston,2022-01-22,12711904,A78,Erie,HD8,4198.3317,2022-03-14
2022-02-13,2022-02-19,10240,196879,2022-02-06,2022-02-06,Boston,2022-01-23,12714264,A78,Erie,HD8,4306.2305,2022-03-09
2022-03-05,2022-03-05,7645,242825,2022-02-20,2022-02-20,Boston,2022-01-23,12713468,A78,Erie,HD8,4546.3295,2022-03-23
2022-02-26,2022-02-26,6278,723418,2022-02-14,2022-02-14,Boston,2022-01-24,12716349,A78,Erie,HD8,4243.0465,2022-03-17
2022-02-15,2022-02-20,6284,723423,2022-02-08,2022-02-08,Boston,2022-01-24,12716333,A78,Erie,HD8,4502.5868,2022-03-13
2022-03-12,2022-03-14,7650,880188,2022-02-28,2022-02-28,Boston,2022-01-24,12715280,A78,Erie,HD8,4298.454000000001,2022-03-31
2022-02-09,2022-02-09,238405,264278,2022-01-29,2022-01-29,Boston,2022-01-25,12718286,A78,Erie,HD8,4194.4434,2022-03-01
2022-02-08,2022-02-04,10240,387858,2022-01-30,2022-01-30,Boston,2022-01-28,12720310,A78,Erie,HD8,4281.9289,2022-02-24
2022-02-08,2022-02-04,10240,387858,2022-01-30,2022-01-30,Boston,2022-01-28,12720326,A78,Erie,HD8,4209.9964,2022-02-23
2022-02-08,2022-02-04,10240,387858,2022-01-30,2022-01-30,Boston,2022-01-28,12720334,A78,Erie,HD8,4267.348,2022-02-22
2022-02-08,2022-02-04,10240,387858,2022-01-30,2022-01-30,Boston,2022-01-28,12720340,A78,Erie,HD8,4275.1245,2022-02-21
2022-02-08,2022-02-04,10240,387858,2022-01-30,2022-01-30,Boston,2022-01-28,12720346,A78,Erie,HD8,4226.5214000000005,2022-02-21
2022-02-18,2022-02-18,65728,119597,2022-02-01,2022-02-01,Boston,2022-01-28,12718710,A78,Erie,HD8,4193.4714,2022-03-12
2022-02-20,2022-02-20,65728,119597,2022-02-05,2022-02-05,Boston,2022-01-28,12718711,A78,Erie,HD8,4202.2199,2022-03-13
2022-02-12,2022-02-13,10240,4738,2022-01-31,2022-02-02,Boston,2022-01-28,12718689,A78,Erie,HD8,4290.6775,2022-03-02
2022-02-26,2022-02-22,6284,119559,2022-02-13,2022-02-13,Boston,2022-01-28,12719712,A78,Erie,HD8,4214.8567,2022-03-14
2022-02-17,2022-02-17,238405,297772,2022-01-31,2022-02-01,Boston,2022-01-29,12721394,A78,Erie,HD8,4220.6891,2022-03-08
2022-02-11,2022-02-11,238405,264278,2022-01-31,2022-02-01,Boston,2022-01-29,12721392,A78,Erie,HD8,4187.639,2022-03-02
2022-02-11,2022-02-18,6284,279364,2022-02-11,2022-02-11,Boston,2022-01-30,12723283,A78,Erie,HD8,4200.2758,2022-03-11
2022-04-15,2022-04-15,20525,724158,2022-04-01,2022-04-01,Boston,2022-01-30,12723104,A78,Erie,HD8,4294.5657,2022-05-03
2022-03-14,2022-03-14,7645,242825,2022-03-01,2022-03-01,Boston,2022-01-30,12722464,A78,Erie,HD8,4305.258400000001,2022-03-31
2022-02-24,2022-02-24,65728,119597,2022-02-08,2022-02-08,Boston,2022-01-31,12724067,A78,Erie,HD8,4283.873,2022-03-21
2022-02-24,2022-02-24,24820,686417,2022-02-11,2022-02-11,Boston,2022-01-31,12724896,A78,Erie,HD8,4544.3854,2022-03-14
2022-02-10,2022-02-10,10240,413182,2022-02-01,2022-02-02,Boston,2022-01-31,12725028,A78,Erie,HD8,4213.8847,2022-02-27
2022-04-01,2022-04-01,23578,11175,2022-03-21,2022-03-21,Boston,2022-01-31,12724416,A78,Erie,HD8,4244.0185,2022-04-22
2022-02-22,2022-02-22,65728,119597,2022-02-06,2022-02-06,Boston,2022-02-01,12726451,A78,Erie,HD8,4307.2025,2022-03-14
2022-02-26,2022-02-26,65728,119597,2022-02-11,2022-02-11,Boston,2022-02-01,12726446,A78,Erie,HD8,4762.127100000001,2022-03-15
2022-02-28,2022-02-28,65728,119597,2022-02-13,2022-02-13,Boston,2022-02-01,12726447,A78,Erie,HD8,4286.7892,2022-03-19
2022-02-25,2022-02-25,6284,198296,2022-02-11,2022-02-11,Boston,2022-02-04,12727448,A78,Erie,HD8,4262.487700000001,2022-03-18
2022-03-04,2022-03-14,2161,119565,2022-03-01,2022-03-01,Boston,2022-02-04,12727552,A78,Erie,HD8,4334.4202000000005,2022-03-31
2022-04-15,2022-04-15,2161,119565,2022-04-02,2022-04-02,Boston,2022-02-04,12727550,A78,Erie,HD8,4277.0686,2022-05-02
2022-04-07,2022-04-07,2161,119565,2022-03-25,2022-03-25,Boston,2022-02-04,12727551,A78,Erie,HD8,4653.2562,2022-04-28
2022-02-22,2022-02-22,24789,119597,2022-02-07,2022-02-07,Boston,2022-02-05,12729801,A78,Erie,HD8,4183.7508,2022-03-11
2022-02-17,2022-02-21,7645,707541,2022-02-08,2022-02-08,Boston,2022-02-06,12731909,A78,Erie,HD8,4742.6859,2022-03-14
2022-02-24,2022-02-25,238405,297772,2022-02-08,2022-02-08,Boston,2022-02-06,12731345,A78,Erie,HD8,4714.4961,2022-03-18
2022-02-25,2022-02-25,92941,279855,2022-02-11,2022-02-11,Boston,2022-02-06,12731704,A78,Erie,HD8,4199.3037,2022-03-18
2022-03-04,2022-03-04,92941,279855,2022-02-18,2022-02-18,Boston,2022-02-06,12731705,A78,Erie,HD8,4216.8008,2022-03-24
2022-03-05,2022-03-05,92941,279790,2022-02-19,2022-02-19,Boston,2022-02-06,12731695,A78,Erie,HD8,4579.3796,2022-03-26
2022-03-04,2022-03-04,65728,119597,2022-02-15,2022-02-15,Boston,2022-02-06,12730517,A78,Erie,HD8,4206.108200000001,2022-03-25
2022-02-27,2022-03-02,23578,119597,2022-02-15,2022-02-15,Boston,2022-02-06,12730504,A78,Erie,HD8,4285.8171999999995,2022-03-24
2022-02-27,2022-03-02,23578,119597,2022-02-15,2022-02-15,Boston,2022-02-06,12730503,A78,Erie,HD8,4317.8952,2022-03-23
2022-04-16,2022-04-16,98326,18523,2022-04-03,2022-04-03,Boston,2022-02-06,12731496,A78,Erie,HD8,4207.0802,2022-05-05
2022-03-10,2022-03-15,2160,119597,2022-02-28,2022-02-28,Boston,2022-02-06,12730604,A78,Erie,HD8,4311.0908,2022-03-31
2022-03-18,2022-03-18,2160,747675,2022-03-06,2022-03-06,Boston,2022-02-06,12730584,A78,Erie,HD8,4300.3981,2022-04-09
2022-05-17,2022-05-17,24820,312361,2022-05-06,2022-05-06,Boston,2022-02-06,12731495,A78,Erie,HD8,4324.6996,2022-06-05
2022-06-24,2022-06-24,2160,564173,2022-06-16,2022-06-16,Boston,2022-02-06,12730597,A78,Erie,HD8,4310.1187,2022-07-12
2022-02-23,2022-02-23,371803,145642,2022-02-13,2022-02-13,Boston,2022-02-07,12733397,A78,Erie,HD8,4301.3701,2022-03-13
2022-02-17,2022-02-19,10240,387858,2022-02-12,2022-02-12,Boston,2022-02-08,12734659,A78,Erie,HD8,4200.2758,2022-03-10
2022-02-17,2022-02-19,10240,387858,2022-02-12,2022-02-12,Boston,2022-02-08,12734660,A78,Erie,HD8,3142.6573,2022-03-08
2022-02-17,2022-02-19,10240,387858,2022-02-12,2022-02-12,Boston,2022-02-08,12734661,A78,Erie,HD8,4198.3317,2022-03-08
2022-02-17,2022-02-19,10240,387858,2022-02-12,2022-02-12,Boston,2022-02-08,12734662,A78,Erie,HD8,4195.4155,2022-03-09
2022-02-17,2022-02-19,10240,387858,2022-02-12,2022-02-12,Boston,2022-02-08,12734666,A78,Erie,HD8,4272.2083,2022-03-09
2022-02-21,2022-02-21,65728,564173,2022-02-13,2022-02-13,Boston,2022-02-08,12733881,A78,Erie,HD8,4191.5271999999995,2022-03-14
2022-04-06,2022-04-09,7650,35051,2022-03-28,2022-03-28,Boston,2022-02-08,12734357,A78,Erie,HD8,4683.3901000000005,2022-04-26
2022-03-29,2022-03-31,7650,35051,2022-03-20,2022-03-20,Boston,2022-02-08,12734334,A78,Erie,HD8,4817.0509999999995,2022-04-17
2022-03-29,2022-04-01,7650,35051,2022-03-20,2022-03-20,Boston,2022-02-08,12734350,A78,Erie,HD8,4269.292100000001,2022-04-20
2022-03-01,2022-03-01,371803,145642,2022-02-19,2022-02-19,Boston,2022-02-11,12735925,A78,Erie,HD8,4730.0491,2022-03-20
2022-04-11,2022-04-11,98326,130986,2022-04-01,2022-04-01,Boston,2022-02-11,12735572,A78,Erie,HD8,4351.9173,2022-04-28
2022-03-01,2022-03-01,102501,279866,2022-02-15,2022-02-15,Boston,2022-02-12,12737827,A78,Erie,HD8,4282.901,2022-03-18
2022-03-08,2022-03-08,102501,279866,2022-02-22,2022-02-22,Boston,2022-02-12,12737829,A78,Erie,HD8,4218.745,2022-03-29
2022-03-20,2022-03-20,102501,279866,2022-03-06,2022-03-06,Boston,2022-02-12,12737877,A78,Erie,HD8,4235.27,2022-04-05
2022-02-24,2022-02-25,238405,264278,2022-02-14,2022-02-14,Boston,2022-02-12,12737516,A78,Erie,HD8,4291.6495,2022-03-17
2022-03-07,2022-03-07,65728,119597,2022-02-20,2022-02-20,Boston,2022-02-13,12738416,A78,Erie,HD8,4284.8451000000005,2022-03-24
2022-03-18,2022-03-18,7645,4738,2022-03-05,2022-03-05,Boston,2022-02-13,12738376,A78,Erie,HD8,4683.3901000000005,2022-04-05
2022-03-10,2022-03-10,64724,279263,2022-02-28,2022-02-28,Boston,2022-02-14,12740023,A78,Erie,HD8,4223.6053,2022-03-29
2022-03-10,2022-03-10,64724,279263,2022-02-28,2022-02-28,Boston,2022-02-14,12740026,A78,Erie,HD8,4297.4819,2022-03-27
2022-03-01,2022-03-01,238405,264278,2022-02-18,2022-02-18,Boston,2022-02-14,12741236,A78,Erie,HD8,4278.0407000000005,2022-03-20
2022-03-10,2022-03-10,64724,279263,2022-02-28,2022-02-28,Boston,2022-02-14,12740022,A78,Erie,HD8,4211.9405,2022-03-28
2022-03-18,2022-03-18,65728,119597,2022-03-01,2022-03-01,Boston,2022-02-15,12741547,A78,Erie,HD8,4219.717000000001,2022-04-06
2022-03-13,2022-03-13,65728,119597,2022-02-26,2022-02-26,Boston,2022-02-15,12741546,A78,Erie,HD8,4276.0966,2022-04-01
2022-03-10,2022-03-10,64724,279263,2022-02-28,2022-02-28,Boston,2022-02-15,12741517,A78,Erie,HD8,4218.745,2022-03-29
2022-03-15,2022-03-15,7652,451605,2022-03-07,2022-03-07,Boston,2022-02-15,12741920,A78,Erie,HD8,4305.258400000001,2022-04-03
2022-03-25,2022-03-25,7652,451605,2022-03-15,2022-03-15,Boston,2022-02-15,12741924,A78,Erie,HD8,4291.6495,2022-04-11
2022-04-01,2022-04-01,7652,451605,2022-03-23,2022-03-23,Boston,2022-02-15,12741922,A78,Erie,HD8,4753.3785,2022-04-21
2022-03-18,2022-03-18,24820,380710,2022-03-01,2022-03-01,Boston,2022-02-18,12743551,A78,Erie,HD8,4225.5494,2022-04-04
2022-03-18,2022-03-18,24820,380710,2022-03-01,2022-03-01,Boston,2022-02-18,12743554,A78,Erie,HD8,4264.4318,2022-04-05
2022-03-08,2022-03-08,92941,279790,2022-02-22,2022-02-22,Boston,2022-02-18,12743397,A78,Erie,HD8,4195.4155,2022-03-30
2022-04-01,2022-04-01,24820,380710,2022-03-15,2022-03-15,Boston,2022-02-18,12743556,A78,Erie,HD8,4185.6949,2022-04-19
2022-04-01,2022-04-01,24820,380710,2022-03-15,2022-03-15,Boston,2022-02-18,12743555,A78,Erie,HD8,4222.6332,2022-04-18
2022-04-11,2022-04-11,7650,797230,2022-03-28,2022-03-28,Boston,2022-02-18,12743314,A78,Erie,HD8,4164.3095,2022-04-28
2022-03-10,2022-03-08,64724,18343,2022-03-01,2022-03-01,Boston,2022-02-19,12745985,A78,Erie,HD8,4204.164000000001,2022-03-27
2022-03-13,2022-03-13,98326,734241,2022-02-27,2022-02-27,Boston,2022-02-20,12748001,A78,Erie,HD8,4704.7755,2022-04-01
2022-03-06,2022-03-06,65728,564173,2022-02-26,2022-02-26,Boston,2022-02-20,12747346,A78,Erie,HD8,4243.0465,2022-03-25
2022-03-21,2022-03-21,65728,119597,2022-03-06,2022-03-06,Boston,2022-02-20,12746530,A78,Erie,HD8,4741.7138,2022-04-11
2022-03-26,2022-03-26,65728,119597,2022-03-11,2022-03-11,Boston,2022-02-20,12746531,A78,Erie,HD8,4763.099099999999,2022-04-16
2022-03-28,2022-03-28,7645,242825,2022-03-15,2022-03-15,Boston,2022-02-20,12747420,A78,Erie,HD8,4538.553,2022-04-19
2022-03-16,2022-03-16,2160,119597,2022-03-01,2022-03-01,Boston,2022-02-20,12747608,A78,Erie,HD8,4318.8672,2022-04-04
2022-03-18,2022-03-25,65728,564173,2022-03-17,2022-03-17,Boston,2022-02-20,12747445,A78,Erie,HD8,4682.4181,2022-04-12
2022-03-29,2022-04-02,65728,119597,2022-03-17,2022-03-17,Boston,2022-02-20,12746533,A78,Erie,HD8,4261.5156,2022-04-22
2022-03-07,2022-03-07,6284,279364,2022-02-28,2022-02-28,Boston,2022-02-21,12748616,A78,Erie,HD8,4306.2305,2022-03-24
2022-03-12,2022-03-13,23578,119597,2022-02-26,2022-02-26,Boston,2022-02-21,12748359,A78,Erie,HD8,4297.4819,2022-04-02
2022-03-12,2022-03-13,23578,119597,2022-02-26,2022-02-26,Boston,2022-02-21,12748360,A78,Erie,HD8,4314.979,2022-03-30
2022-03-13,2022-03-23,6284,279364,2022-03-15,2022-03-15,Boston,2022-02-21,12748631,A78,Erie,HD8,4704.7755,2022-04-12
2022-03-05,2022-03-05,45325,931920,2022-02-28,2022-02-28,Boston,2022-02-22,12750383,A78,Erie,HD8,4283.873,2022-03-21
2022-03-24,2022-03-27,92941,279855,2022-03-13,2022-03-14,Boston,2022-02-22,12750581,A78,Erie,HD8,4271.2363000000005,2022-04-16
2022-03-29,2022-04-02,65728,119597,2022-03-17,2022-03-17,Boston,2022-02-22,12750103,A78,Erie,HD8,4212.912600000001,2022-04-20
2022-03-06,2022-03-07,10240,18343,2022-02-27,2022-02-27,Boston,2022-02-25,12752348,A78,Erie,HD8,4774.7639,2022-03-24
2022-03-25,2022-03-25,2160,747675,2022-03-13,2022-03-13,Boston,2022-02-26,12754450,A78,Erie,HD8,4201.2479,2022-04-13
2022-03-23,2022-03-25,6284,723423,2022-03-13,2022-03-14,Boston,2022-02-26,12754055,A78,Erie,HD8,4737.8256,2022-04-12
2022-03-10,2022-03-18,12561,504331,2022-03-04,2022-03-04,Boston,2022-02-27,12756188,A78,Erie,HD8,4287.7613,2022-04-06
2022-03-10,2022-03-16,12561,725786,2022-03-01,2022-03-01,Boston,2022-02-27,1187095,A78,Erie,HD8,4176.9463000000005,2022-04-02
2022-03-15,2022-03-15,24764,18343,2022-03-08,2022-03-08,Boston,2022-02-27,12756198,A78,Erie,HD8,4177.9184000000005,2022-04-07
2022-03-11,2022-03-12,2160,18343,2022-03-04,2022-03-04,Boston,2022-02-27,12757118,A78,Erie,HD8,4291.6495,2022-04-01
2022-03-20,2022-03-20,2161,119565,2022-03-07,2022-03-07,Boston,2022-02-27,12755823,A78,Erie,HD8,4175.9743,2022-04-07
2022-03-25,2022-03-25,2161,119565,2022-03-12,2022-03-12,Boston,2022-02-27,12755824,A78,Erie,HD8,4185.6949,2022-04-12
2022-03-28,2022-03-28,2161,119565,2022-03-15,2022-03-15,Boston,2022-02-27,12755826,A78,Erie,HD8,4220.6891,2022-04-14
2022-04-01,2022-04-01,2161,119597,2022-03-15,2022-03-15,Boston,2022-02-27,12755812,A78,Erie,HD8,4201.2479,2022-04-21
2022-03-25,2022-03-25,2161,531764,2022-03-15,2022-03-15,Boston,2022-02-27,12755842,A78,Erie,HD8,4175.9743,2022-04-14
2022-04-01,2022-04-01,2161,119565,2022-03-18,2022-03-18,Boston,2022-02-27,12755827,A78,Erie,HD8,4202.2199,2022-04-19
2022-04-04,2022-04-04,2161,119597,2022-03-20,2022-03-20,Boston,2022-02-27,12755807,A78,Erie,HD8,4190.555200000001,2022-04-21
2022-04-07,2022-04-07,2161,119597,2022-03-23,2022-03-23,Boston,2022-02-27,12755808,A78,Erie,HD8,4193.4714,2022-04-24
2022-04-09,2022-04-09,2161,119597,2022-03-25,2022-03-25,Boston,2022-02-27,12755810,A78,Erie,HD8,4196.3876,2022-04-28
2022-04-01,2022-04-01,371803,145642,2022-03-21,2022-03-21,Boston,2022-02-28,12758651,A78,Erie,HD8,4175.0022,2022-04-19
2022-04-17,2022-04-17,7652,756384,2022-04-10,2022-04-10,Boston,2022-02-28,12759093,A78,Erie,HD8,4275.1245,2022-05-05
2022-03-22,2022-03-25,6284,119559,2022-03-15,2022-03-15,Boston,2022-02-28,12758703,A78,Erie,HD8,4170.1419000000005,2022-04-12
2022-04-29,2022-04-29,7652,756384,2022-04-22,2022-04-22,Boston,2022-02-28,12759090,A78,Erie,HD8,4272.2083,2022-05-15
2022-03-09,2022-03-10,10240,387858,2022-03-04,2022-03-05,Boston,2022-03-01,12760687,A78,Erie,HD8,4160.4213,2022-04-01
2022-03-15,2022-03-15,238405,264278,2022-03-04,2022-03-04,Boston,2022-03-01,12759481,A78,Erie,HD8,4730.0491,2022-04-02
2022-04-01,2022-04-01,65728,564173,2022-03-23,2022-03-23,Boston,2022-03-01,12759645,A78,Erie,HD8,4178.8904999999995,2022-04-20
2022-03-28,2022-03-28,65728,119597,2022-03-13,2022-03-13,Boston,2022-03-04,12762271,A78,Erie,HD8,4185.6949,2022-04-14
2022-03-18,2022-03-18,238405,264278,2022-03-07,2022-03-07,Boston,2022-03-04,12761689,A78,Erie,HD8,4281.9289,2022-04-06
2022-03-15,2022-03-17,7652,707541,2022-03-06,2022-03-06,Boston,2022-03-04,12762756,A78,Erie,HD8,4267.348,2022-04-07
2022-03-20,2022-03-29,6284,279364,2022-03-22,2022-03-22,Boston,2022-03-05,12763832,A78,Erie,HD8,4211.9405,2022-04-15
2022-03-18,2022-03-18,64724,279263,2022-03-08,2022-03-08,Boston,2022-03-06,12765555,A78,Erie,HD8,4268.3201,2022-04-05
2022-03-19,2022-03-19,64724,279263,2022-03-09,2022-03-09,Boston,2022-03-06,12765556,A78,Erie,HD8,4409.2689,2022-04-07
2022-03-31,2022-03-31,238405,297772,2022-03-13,2022-03-13,Boston,2022-03-06,12765809,A78,Erie,HD8,4194.4434,2022-04-19
2022-03-18,2022-03-18,7650,18343,2022-03-11,2022-03-11,Boston,2022-03-07,12766784,A78,Erie,HD8,4583.2679,2022-04-04
2022-03-19,2022-03-19,7650,18343,2022-03-12,2022-03-12,Boston,2022-03-07,12766792,A78,Erie,HD8,4203.192,2022-04-07
2022-03-19,2022-03-19,7650,18343,2022-03-12,2022-03-12,Boston,2022-03-07,12766791,A78,Erie,HD8,4312.062800000001,2022-04-10
2022-03-20,2022-03-20,7650,18343,2022-03-13,2022-03-13,Boston,2022-03-07,12766812,A78,Erie,HD8,4324.6996,2022-04-06
2022-04-08,2022-04-08,7652,451605,2022-03-31,2022-03-31,Boston,2022-03-07,12766678,A78,Erie,HD8,4194.4434,2022-04-23
2022-04-15,2022-04-15,7652,451605,2022-04-07,2022-04-07,Boston,2022-03-07,12766679,A78,Erie,HD8,4719.356400000001,2022-05-03
2022-04-18,2022-04-18,7652,451605,2022-04-10,2022-04-10,Boston,2022-03-07,12766680,A78,Erie,HD8,4292.6215999999995,2022-05-05
2022-03-20,2022-03-20,7650,18343,2022-03-13,2022-03-13,Boston,2022-03-07,12766813,A78,Erie,HD8,4770.8756,2022-04-07
2022-04-01,2022-04-01,23578,119597,2022-03-16,2022-03-16,Boston,2022-03-08,12768519,A78,Erie,HD8,4208.0523,2022-04-20
2022-03-20,2022-03-20,7650,18343,2022-03-13,2022-03-13,Boston,2022-03-08,12769226,A78,Erie,HD8,4750.4624,2022-04-06
2022-03-20,2022-03-20,7650,18343,2022-03-13,2022-03-13,Boston,2022-03-08,12769228,A78,Erie,HD8,4724.2167,2022-04-05
2022-04-15,2022-04-15,371803,145642,2022-04-05,2022-04-05,Boston,2022-03-08,12768996,A78,Erie,HD8,4276.924,2022-05-01
2022-04-03,2022-04-03,97746,195514,2022-03-26,2022-03-27,Boston,2022-03-11,12769836,A78,Erie,HD8,4274.1524,2022-04-20
2022-05-12,2022-05-12,72806,34215,2022-04-25,2022-04-25,Boston,2022-03-11,12770415,A78,Erie,HD8,4265.4039,2022-05-29
2022-04-05,2022-04-05,7645,242825,2022-03-22,2022-03-22,Boston,2022-03-12,12772709,A78,Erie,HD8,4168.1978,2022-04-24
2022-03-25,2022-03-25,238405,264278,2022-03-14,2022-03-14,Boston,2022-03-12,12772314,A78,Erie,HD8,4170.1419000000005,2022-04-11
