id,member_id,loan_amnt,funded_amnt,term,int_rate,installment,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti,open_acc,total_acc,total_pymnt,repay_fail
816779,1024548,15000,15000,36 months,17.99,542.22,2 years,MORTGAGE,63830,11-Jul,Fully Paid,debt_consolidation,TX,21.04,13,25,18087.37267,0
802655,1008330,1275,1275,36 months,15.23,44.35,2 years,OWN,20400,11-Jul,Fully Paid,debt_consolidation,CA,24.59,7,7,1596.239355,0
556722,716856,6500,6500,36 months,14.72,224.44,1 year,RENT,40000,10-Aug,Does not meet the credit policy. Status:Fully Paid,car,NY,0.93,4,8,8080.346877,0
605924,777311,1800,1800,36 months,5.42,54.29,n/a,OWN,29184,10-Oct,Fully Paid,small_business,MI,23.68,7,24,1947.208326,0
1025211,1254359,11200,11200,60 months,22.06,309.72,7 years,RENT,75000,11-Nov,Fully Paid,other,NY,22.9,28,57,18315.30005,0
777791,980317,25000,25000,60 months,12.99,568.7,7 years,MORTGAGE,60106,11-Jun,Fully Paid,debt_consolidation,NC,25.18,18,31,33147.75,0
443965,540781,13000,13000,36 months,12.53,435.07,10+ years,MORTGAGE,264000,9-Oct,Does not meet the credit policy. Status:Fully Paid,credit_card,NH,10.06,15,34,15662.17906,0
427324,504840,20000,20000,36 months,13.79,681.51,10+ years,MORTGAGE,120000,9-Jul,Fully Paid,debt_consolidation,WA,15,21,41,24042.21383,0
796943,1001851,10000,10000,36 months,5.42,301.6,10+ years,RENT,28000,11-Jul,Fully Paid,debt_consolidation,IL,12.69,13,35,10857.53439,0
172802,171004,5000,5000,36 months,8.7,158.31,10+ years,RENT,48000,7-Dec,Fully Paid,major_purchase,NJ,0.38,7,25,5698.810312,0
857223,1069657,2000,2000,36 months,8.49,63.13,< 1 year,RENT,22800,11-Aug,Fully Paid,car,SD,3.16,7,18,2060.182535,0
1048392,1279717,10000,10000,36 months,15.27,347.98,< 1 year,RENT,64000,11-Dec,Fully Paid,debt_consolidation,MD,3.64,3,10,12527.15,0
225222,217012,2400,2400,36 months,10.46,77.97,2 years,MORTGAGE,27000,8-Jan,Does not meet the credit policy. Status:Fully Paid,major_purchase,VA,19.29,3,4,2806.524715,0
727224,922714,10000,10000,36 months,7.29,310.1,5 years,RENT,99000,11-Apr,Fully Paid,wedding,NY,2.25,4,11,11163.54473,0
896926,1117477,14825,14825,36 months,12.69,497.31,8 years,MORTGAGE,75000,11-Oct,Fully Paid,debt_consolidation,CA,18.53,16,22,17721.13758,0
843108,1053854,4000,4000,36 months,10.99,130.94,10+ years,MORTGAGE,40000,11-Aug,Fully Paid,other,MI,12.27,8,15,4696.064507,0
993915,1218718,29550,29550,36 months,8.9,938.31,2 years,RENT,148616,11-Oct,Fully Paid,debt_consolidation,FL,22.86,8,24,33635.75922,0
642844,822745,1375,1375,36 months,6.91,42.4,< 1 year,RENT,37500,10-Dec,Fully Paid,credit_card,VA,12.03,5,6,1432.734627,0
1041602,1271655,4400,4400,36 months,7.9,137.68,4 years,MORTGAGE,95000,11-Dec,Fully Paid,debt_consolidation,NJ,1.09,5,15,4956.363334,0
610752,783240,15000,15000,36 months,15.95,526.99,7 years,MORTGAGE,54000,10-Nov,Does not meet the credit policy. Status:Charged Off,debt_consolidation,CA,9.13,11,19,6321.72,1
671846,858829,6000,6000,36 months,7.29,186.06,2 years,RENT,65004,11-Feb,Fully Paid,debt_consolidation,TX,12.55,13,30,6449.782699,0
614130,787334,25000,15975,60 months,13.72,369.4,3 years,OWN,1.00E+05,10-Nov,Charged Off,small_business,TX,21.1,6,32,5189.78,1
596346,765556,3500,3500,36 months,14.84,121.06,10+ years,MORTGAGE,96000,10-Oct,Charged Off,medical,MD,20.4,7,31,1567.02,1
134436,134417,2525,2525,36 months,13.12,85.23,< 1 year,MORTGAGE,40000,7-Oct,Fully Paid,home_improvement,UT,20.67,13,24,3068.020133,0
190846,190819,25000,25000,36 months,13.75,851.41,5 years,RENT,75000,8-Jan,Charged Off,home_improvement,FL,19.78,8,12,7661.88,1
841266,1051800,14000,14000,60 months,20.25,372.87,5 years,RENT,42744,11-Aug,Charged Off,credit_card,SD,20.58,19,53,14149.35,1
346720,346948,6500,6500,36 months,11.03,212.9,< 1 year,RENT,55000,8-May,Fully Paid,debt_consolidation,OR,11.76,7,12,7517.872492,0
716186,909966,2800,2800,60 months,10.74,60.52,5 years,MORTGAGE,61200,11-Apr,Fully Paid,car,NC,20.2,10,20,3544.512784,0
850434,1062258,21600,21600,36 months,12.99,727.69,10+ years,MORTGAGE,280000,11-Aug,Fully Paid,debt_consolidation,CA,6.12,7,16,26240.80999,0
527598,682420,2200,2200,36 months,13.23,74.38,< 1 year,RENT,12000,10-Jun,Fully Paid,major_purchase,MO,4.8,6,13,2398.909196,0
997521,1222612,3600,3600,36 months,12.69,120.77,10+ years,MORTGAGE,60000,11-Dec,Charged Off,medical,MI,19,10,17,3612.83,1
992300,1216614,25000,25000,36 months,12.69,838.63,6 years,RENT,92000,11-Oct,Fully Paid,debt_consolidation,MA,19.06,13,22,30190.27801,0
366171,377833,10000,10000,36 months,13.79,340.76,< 1 year,RENT,40000,8-Dec,Charged Off,debt_consolidation,AZ,21.63,13,19,3200.67,1
862325,1075261,20050,20050,60 months,11.49,440.86,< 1 year,MORTGAGE,63000,11-Sep,Fully Paid,debt_consolidation,TX,24.34,6,24,25918.83001,0
469463,592064,18000,18000,36 months,12.18,599.4,2 years,RENT,101500,9-Dec,Fully Paid,debt_consolidation,CA,9.28,6,27,20390.84599,0
801554,1007142,11800,11800,36 months,13.99,403.24,5 years,RENT,94000,11-Jul,Fully Paid,debt_consolidation,NY,4.6,10,41,14516.58325,0
652782,834843,5500,5500,36 months,6.92,169.63,3 years,RENT,45000,11-Jan,Fully Paid,debt_consolidation,CA,16.83,10,20,6007.201116,0
543840,701574,4000,4000,36 months,7.51,124.45,7 years,MORTGAGE,80000,10-Jul,Fully Paid,debt_consolidation,DC,21.27,15,31,4410.349929,0
636286,815121,4800,4800,36 months,13.35,162.55,2 years,RENT,26085.36,10-Dec,Fully Paid,debt_consolidation,TX,14.72,3,4,5850.280966,0
496400,636066,3000,3000,36 months,11.36,98.74,10+ years,RENT,108000,10-Mar,Fully Paid,other,WY,18.04,24,61,3553.737028,0
742519,940602,5200,5200,60 months,15.23,124.34,10+ years,MORTGAGE,72000,11-May,Charged Off,car,TX,10.83,7,12,3214.88,1
818882,1026914,21000,21000,60 months,15.23,502.13,7 years,MORTGAGE,90000,11-Aug,Fully Paid,debt_consolidation,AR,14.97,10,28,29745.38003,0
459770,573355,8000,8000,36 months,14.26,274.45,< 1 year,RENT,88500,9-Nov,Charged Off,other,DC,11.61,13,38,5783.23,1
332398,332385,1800,1800,36 months,10.71,58.69,10+ years,MORTGAGE,123000,8-Apr,Does not meet the credit policy. Status:Fully Paid,credit_card,CA,11.55,13,36,1876.53091,0
404922,452059,6000,6000,36 months,9.32,191.69,3 years,MORTGAGE,52000,9-May,Fully Paid,other,IL,12.48,12,24,6442.007726,0
577208,742278,5000,5000,36 months,7.88,156.41,< 1 year,RENT,45000,10-Sep,Fully Paid,debt_consolidation,NY,4.88,8,10,5540.128901,0
568251,731030,12000,12000,36 months,7.88,375.38,2 years,RENT,110000,10-Aug,Fully Paid,debt_consolidation,CA,7.04,7,16,13513.99628,0
590129,758070,5000,5000,60 months,18.3,127.79,4 years,RENT,72000,10-Oct,Fully Paid,home_improvement,CA,2.33,6,8,5991.423678,0
413452,466914,25000,25000,36 months,14.42,859.57,8 years,OWN,3.00E+05,9-Jun,Fully Paid,home_improvement,NY,1.48,9,15,29647.06479,0
392737,429858,20000,20000,36 months,15.65,699.73,1 year,RENT,60000,9-Nov,Fully Paid,small_business,WA,20.74,5,11,25191.35212,0
709451,902072,1500,1500,36 months,10.74,48.93,6 years,RENT,80000,11-Mar,Fully Paid,vacation,CA,21.64,5,20,1654.441353,0
441178,534988,15250,15250,36 months,12.53,510.37,2 years,MORTGAGE,52000,9-Sep,Charged Off,home_improvement,VA,10.96,12,23,6141.81,1
620814,795666,20000,20000,36 months,13.72,680.84,10+ years,MORTGAGE,79000,10-Nov,Fully Paid,debt_consolidation,VA,14.16,14,34,22838.5867,0
459277,572366,10000,10000,36 months,8.59,316.11,< 1 year,OWN,150000,9-Nov,Fully Paid,debt_consolidation,GA,4.14,19,32,10865.4734,0
752622,952215,4000,4000,36 months,5.42,120.64,1 year,MORTGAGE,90000,11-May,Fully Paid,home_improvement,MA,6.15,6,25,4131.491465,0
995819,1220400,13000,13000,36 months,8.9,412.8,10+ years,MORTGAGE,60000,11-Oct,Fully Paid,debt_consolidation,WI,18.53,18,30,14752.93322,0
666024,851521,14400,14400,36 months,10.37,467.16,9 years,RENT,81380,11-Feb,Fully Paid,debt_consolidation,KS,9.36,10,17,16094.49074,0
522809,676301,25000,16000,36 months,10.75,521.93,3 years,MORTGAGE,1.00E+05,10-Jun,Fully Paid,other,PA,8.7,15,33,16808.67823,0
834961,1044864,3600,3600,36 months,16.49,127.44,1 year,RENT,24216,11-Aug,Fully Paid,debt_consolidation,MI,23.59,7,11,3836.573687,0
692633,883323,20000,20000,36 months,17.14,714.45,2 years,RENT,75000,11-Mar,Fully Paid,debt_consolidation,CA,18.03,8,12,24590.26334,0
1038683,1268593,10000,10000,36 months,12.42,334.16,1 year,RENT,42000,11-Nov,Fully Paid,debt_consolidation,AL,23.71,7,19,11638.07916,0
1059948,1291788,12000,12000,36 months,7.51,373.33,< 1 year,RENT,83000,11-Dec,Charged Off,debt_consolidation,NY,8.36,9,36,3531.72,1
535772,692259,5000,5000,60 months,16.45,122.79,6 years,RENT,32000,10-Jun,Fully Paid,debt_consolidation,IL,16.88,9,16,5203.557983,0
1047379,1278257,3800,3800,36 months,6.03,115.66,4 years,OWN,90000,11-Dec,Fully Paid,other,NJ,21.32,7,28,4104.259128,0
505903,652165,1500,1500,36 months,13.48,50.89,3 years,OWN,48000,10-Apr,Charged Off,other,SC,0.63,2,4,284.6,1
438418,528124,12000,12000,36 months,8.94,381.26,7 years,MORTGAGE,35088,9-Sep,Fully Paid,debt_consolidation,MN,11.01,7,18,13725.25003,0
676647,864656,5000,5000,60 months,7.29,99.7,8 years,MORTGAGE,61200,11-Feb,Fully Paid,car,PA,4.92,12,28,5981.389324,0
1049522,1280922,26000,26000,60 months,12.69,587.47,10+ years,RENT,49000,11-Dec,Charged Off,debt_consolidation,CA,21.92,15,24,23514.32,1
795254,999972,16250,16250,60 months,11.49,357.3,6 years,RENT,63600,11-Jun,Fully Paid,debt_consolidation,NY,29.36,10,37,21292.11998,0
646801,827544,25000,25000,60 months,12.98,568.58,3 years,MORTGAGE,85000,11-Jan,Fully Paid,medical,NY,17,10,18,34114.04,0
99987,93312,1200,1200,36 months,10.28,38.88,< 1 year,RENT,4000,7-Jul,Does not meet the credit policy. Status:Fully Paid,educational,FL,8.1,3,3,1399.520086,0
833971,1043707,35000,35000,60 months,18.39,896.22,10+ years,MORTGAGE,53000,11-Aug,Charged Off,small_business,AL,10.19,9,20,30469.08,1
395879,435700,11400,3400,36 months,13.79,115.86,10+ years,MORTGAGE,63000,9-May,Fully Paid,credit_card,OH,20.11,11,37,4162.970989,0
574841,739478,13000,13000,36 months,7.88,406.66,2 years,MORTGAGE,37000,10-Sep,Fully Paid,debt_consolidation,FL,19.39,10,15,14640.35377,0
1006119,1232924,12600,12600,60 months,10.65,271.77,10+ years,MORTGAGE,55172,11-Nov,Fully Paid,debt_consolidation,OH,19.36,22,59,13038.8101,0
1036069,1265935,12800,12800,36 months,12.42,427.72,4 years,RENT,38000,11-Nov,Charged Off,credit_card,TX,22.58,7,14,11334.69,1
472454,596560,10000,10000,36 months,13.22,338.01,10+ years,MORTGAGE,156000,10-Jan,Fully Paid,credit_card,AK,14.57,10,31,12157.35616,0
605280,776500,7000,7000,60 months,15.57,168.64,4 years,MORTGAGE,50000,10-Oct,Fully Paid,debt_consolidation,PA,20.28,8,13,8808.739093,0
829417,1038520,20000,20000,60 months,11.99,444.79,10+ years,MORTGAGE,39000,11-Aug,Current,home_improvement,NY,15.35,5,11,25752.82,0
346719,346947,5125,5125,36 months,10.71,167.09,10+ years,MORTGAGE,65000,8-May,Fully Paid,credit_card,CA,6.77,6,9,6014.942565,0
733565,929944,4000,4000,36 months,9.63,128.38,n/a,MORTGAGE,35000,11-Apr,Fully Paid,home_improvement,FL,1.37,6,12,4600.818715,0
741729,939711,3500,3500,60 months,17.99,88.86,10+ years,MORTGAGE,116004,11-May,Charged Off,other,SC,19.2,17,43,4615.64,1
381180,408741,12000,12000,36 months,16.95,427.53,10+ years,MORTGAGE,90000,9-Feb,Fully Paid,debt_consolidation,NH,16.53,7,10,15390.71497,0
582834,748969,20000,20000,60 months,18.3,511.14,10+ years,MORTGAGE,74276.8,10-Sep,Fully Paid,credit_card,WA,3.55,3,17,27179.14443,0
1048800,1279969,5600,5600,36 months,7.51,174.23,10+ years,RENT,43000,11-Dec,Fully Paid,debt_consolidation,AZ,20.51,9,26,6071.215355,0
557698,718023,25000,25000,60 months,18.3,638.93,3 years,MORTGAGE,137496,10-Aug,Fully Paid,debt_consolidation,TX,13.02,8,14,37626.34027,0
554813,714611,10000,10000,60 months,13.23,228.71,< 1 year,RENT,42840,10-Aug,Fully Paid,other,WA,11.09,5,17,10743.87002,0
691491,882073,14400,14400,36 months,7.66,448.99,9 years,MORTGAGE,90000,11-Mar,Fully Paid,car,AR,12.23,8,19,15532.72756,0
461780,577360,12000,12000,36 months,14.59,413.58,8 years,MORTGAGE,124000,10-Jan,Fully Paid,credit_card,NJ,15.36,16,29,14889.25823,0
473781,599052,6500,6500,36 months,7.74,202.93,2 years,RENT,18000,10-Jan,Fully Paid,debt_consolidation,NH,18,5,12,7172.543206,0
790036,994098,19000,19000,36 months,11.99,630.99,4 years,MORTGAGE,105000,11-Jun,Fully Paid,debt_consolidation,NJ,9.99,7,34,22715.25852,0
376588,399824,15000,15000,36 months,11.89,497.46,2 years,RENT,70000,9-Feb,Fully Paid,debt_consolidation,CA,6.19,7,18,17774.45875,0
332132,329708,2000,2000,36 months,7.37,62.1,< 1 year,OWN,98000,8-Apr,Fully Paid,other,TX,0,9,22,2235.320941,0
1046604,1277452,3500,3500,36 months,14.27,120.09,< 1 year,RENT,34000,11-Nov,Fully Paid,debt_consolidation,CA,20.19,9,14,4322.847207,0
628571,805396,3000,3000,36 months,13.35,101.59,10+ years,MORTGAGE,112500,10-Dec,Fully Paid,wedding,NC,11.84,8,27,3657.416032,0
551237,710405,5000,5000,36 months,11.86,165.74,2 years,RENT,67596,10-Jul,Fully Paid,other,CA,9.55,4,6,5967.318071,0
1038713,1268624,22000,22000,60 months,17.27,549.96,10+ years,RENT,84000,11-Dec,Current,debt_consolidation,RI,13.8,11,36,29648.31,0
832490,1041891,35000,35000,60 months,21.36,953.97,9 years,MORTGAGE,254616,11-Aug,Charged Off,debt_consolidation,TX,12.56,17,63,5721.3,1
715676,909345,10000,10000,36 months,7.29,310.1,n/a,RENT,50000,11-Apr,Fully Paid,debt_consolidation,HI,5.66,12,20,10856.67728,0
798487,1003612,15000,15000,36 months,16.49,531,7 years,MORTGAGE,91980,11-Jul,Fully Paid,credit_card,CA,14.35,8,29,19108.40989,0
601083,771354,9050,9050,36 months,5.42,272.95,3 years,MORTGAGE,108000,10-Oct,Fully Paid,debt_consolidation,LA,24.73,12,42,9379.835926,0
308897,308825,5000,5000,36 months,9.76,160.78,10+ years,MORTGAGE,38000,8-Mar,Fully Paid,credit_card,CO,4.45,9,19,5787.793997,0
619509,794033,15000,15000,60 months,14.46,352.62,9 years,RENT,109000,10-Nov,Fully Paid,debt_consolidation,CA,5.21,6,16,21050.48003,0
1042138,1272414,7000,7000,36 months,13.49,237.52,6 years,RENT,83000,11-Nov,Fully Paid,home_improvement,GA,16.83,4,17,8542.533032,0
513261,663156,18000,18000,36 months,13.48,610.64,6 years,RENT,58000,10-May,Fully Paid,educational,IL,8.69,6,10,20892.94268,0
664023,849077,25000,25000,36 months,13.06,843.08,6 years,MORTGAGE,168000,11-Feb,Fully Paid,other,FL,8.53,9,20,30351.25468,0
1033063,1262624,12000,12000,60 months,12.69,271.14,3 years,OWN,60000,11-Dec,Fully Paid,debt_consolidation,HI,17.62,7,12,12376.11535,0
482590,613900,4000,4000,36 months,17.19,142.99,n/a,OWN,37200,10-Feb,Charged Off,home_improvement,AL,9.35,6,14,458.18,1
595635,764689,5000,5000,60 months,11.12,109.02,10+ years,MORTGAGE,36000,10-Oct,Fully Paid,debt_consolidation,PA,17.6,23,42,5519.46536,0
563573,725210,20000,20000,36 months,14.84,691.75,4 years,MORTGAGE,170000,10-Sep,Fully Paid,debt_consolidation,CA,7.41,17,54,21400.19304,0
568058,730752,4800,4800,36 months,6.39,146.88,4 years,RENT,56048,10-Aug,Fully Paid,major_purchase,NY,16.55,10,32,4850.900197,0
710371,903117,4000,4000,36 months,14.17,137.05,1 year,RENT,30000,11-Mar,Fully Paid,debt_consolidation,NJ,23.48,6,9,4933.400083,0
837686,1047727,5000,5000,60 months,10.99,108.69,n/a,MORTGAGE,22992,11-Aug,Current,other,WV,16.39,4,9,6289.92,0
689589,879897,8400,8400,36 months,9.63,269.59,7 years,MORTGAGE,28800,11-Mar,Fully Paid,car,SC,7.71,4,12,9705.137314,0
478234,607105,24000,24000,36 months,16.45,849.06,1 year,RENT,60000,10-Feb,Fully Paid,debt_consolidation,NY,21.78,8,8,30567.44762,0
548986,707713,14500,14500,36 months,13.98,495.44,< 1 year,RENT,45600,10-Jul,Fully Paid,debt_consolidation,WA,24.68,13,17,17837.13758,0
740349,938040,3500,3500,36 months,7.29,108.54,1 year,RENT,74400,11-Apr,Fully Paid,car,CA,13.65,6,12,3521.55,0
859592,1072298,5000,5000,36 months,13.99,170.87,10+ years,RENT,65000,11-Aug,Fully Paid,debt_consolidation,PA,22.06,4,12,5428.72944,0
475270,595519,3600,3600,36 months,8.94,114.38,< 1 year,RENT,25000,10-Jan,Fully Paid,medical,CT,16.56,10,12,4103.693648,0
