Airline,Source,Destination,Total_Stops,Price,Year,Total_duration,Dep_time_of_day,Arrival_time_of_day
Air India,Delhi,Cochin,0,8246,2019,185,Evening,Evening
Jet Airways,Kolkata,Banglore,1,14676,2019,690,Morning,Evening
Multiple carriers,Delhi,Cochin,1,13587,2019,570,Morning,Evening
Jet Airways,Kolkata,Banglore,1,9663,2019,730,Evening,Morning
Jet Airways,Kolkata,Banglore,1,13044,2019,1055,Afternoon,Morning
IndiGo,Delhi,Cochin,1,5073,2019,305,Evening,Night
Vistara,Kolkata,Banglore,1,9345,2019,1550,Evening,Evening
Jet Airways,Kolkata,Banglore,1,9663,2019,1200,Afternoon,Morning
Multiple carriers,Delhi,Cochin,1,14277,2019,780,Morning,Evening
Jet Airways,Delhi,Cochin,1,10262,2019,1105,Morning,Night
Jet Airways,Mumbai,Hyderabad,0,5678,2019,90,Evening,Evening
Multiple carriers,Delhi,Cochin,1,13727,2019,570,Afternoon,Night
Jet Airways,Kolkata,Banglore,1,9663,2019,960,Evening,Afternoon
IndiGo,Chennai,Kolkata,0,3858,2019,140,Afternoon,Evening
SpiceJet,Delhi,Cochin,1,4812,2019,270,Morning,Afternoon
IndiGo,Delhi,Cochin,1,5775,2019,345,Evening,Night
Jet Airways,Kolkata,Banglore,1,10539,2019,1450,Morning,Morning
IndiGo,Kolkata,Banglore,0,4804,2019,155,Afternoon,Evening
Air Asia,Banglore,Delhi,0,3383,2019,165,Morning,Afternoon
IndiGo,Banglore,New Delhi,1,8738,2019,295,Afternoon,Evening
Air India,Delhi,Cochin,1,7165,2019,1535,Night,Morning
IndiGo,Delhi,Cochin,1,6412,2019,380,Afternoon,Night
Jet Airways,Banglore,Delhi,0,8016,2019,185,Evening,Night
Jet Airways,Banglore,New Delhi,1,11087,2019,1120,Evening,Afternoon
SpiceJet,Chennai,Kolkata,0,3543,2019,135,Morning,Afternoon
Jet Airways,Kolkata,Banglore,1,12471,2019,730,Afternoon,Night
Jet Airways,Delhi,Cochin,1,10262,2019,1165,Morning,Night
Air India,Banglore,New Delhi,0,4441,2019,170,Afternoon,Afternoon
Multiple carriers,Delhi,Cochin,1,12537,2019,505,Morning,Afternoon
GoAir,Kolkata,Banglore,1,10091,2019,555,Night,Morning
Air India,Banglore,Delhi,0,6961,2019,170,Evening,Night
IndiGo,Delhi,Cochin,0,5013,2019,195,Night,Morning
Air India,Delhi,Cochin,0,6934,2019,170,Night,Morning
Multiple carriers,Delhi,Cochin,1,10877,2019,740,Morning,Evening
Jet Airways,Banglore,Delhi,0,7229,2019,175,Afternoon,Evening
IndiGo,Delhi,Cochin,1,7048,2019,575,Afternoon,Night
Vistara,Banglore,Delhi,0,4878,2019,155,Evening,Evening
Jet Airways,Kolkata,Banglore,1,10844,2019,570,Afternoon,Night
Jet Airways,Delhi,Cochin,2,15129,2019,1760,Night,Night
IndiGo,Banglore,Delhi,0,3943,2019,175,Night,Night
SpiceJet,Delhi,Cochin,1,5583,2019,315,Morning,Morning
Multiple carriers,Delhi,Cochin,1,9646,2019,545,Morning,Afternoon
Multiple carriers,Delhi,Cochin,1,7677,2019,645,Morning,Evening
IndiGo,Delhi,Cochin,1,6842,2019,295,Night,Morning
Jet Airways,Mumbai,Hyderabad,0,4995,2019,90,Morning,Morning
Vistara,Kolkata,Banglore,1,9555,2019,700,Morning,Evening
IndiGo,Banglore,Delhi,0,4077,2019,165,Night,Night
Jet Airways,Banglore,Delhi,0,7229,2019,175,Afternoon,Evening
Multiple carriers,Delhi,Cochin,1,12192,2019,600,Morning,Evening
Air India,Banglore,Delhi,0,5911,2019,165,Morning,Afternoon
Air India,Delhi,Cochin,1,8372,2019,615,Morning,Evening
Jet Airways,Mumbai,Hyderabad,0,4995,2019,85,Morning,Morning
Multiple carriers,Delhi,Cochin,1,14323,2019,555,Morning,Evening
Jet Airways,Delhi,Cochin,2,13014,2019,1375,Night,Night
Air India,Delhi,Cochin,2,13591,2019,1730,Afternoon,Evening
IndiGo,Banglore,Delhi,0,3943,2019,170,Night,Night
SpiceJet,Mumbai,Hyderabad,0,1965,2019,90,Night,Morning
Jet Airways,Mumbai,Hyderabad,0,4995,2019,90,Morning,Morning
Air India,Kolkata,Banglore,1,14641,2019,1540,Afternoon,Evening
Air India,Kolkata,Banglore,0,4460,2019,155,Evening,Night
Air India,Delhi,Cochin,1,10191,2019,375,Afternoon,Evening
Jet Airways,Delhi,Cochin,1,13843,2019,1050,Night,Evening
IndiGo,Delhi,Cochin,1,6349,2019,345,Evening,Night
Air Asia,Kolkata,Banglore,0,4409,2019,155,Morning,Afternoon
Jet Airways,Delhi,Cochin,1,17024,2019,1530,Evening,Evening
Multiple carriers,Delhi,Cochin,1,13727,2019,835,Morning,Evening
IndiGo,Banglore,New Delhi,0,8855,2019,175,Evening,Evening
Multiple carriers,Delhi,Cochin,1,12524,2019,615,Morning,Evening
Jet Airways,Banglore,New Delhi,1,13555,2019,520,Morning,Evening
Jet Airways,Kolkata,Banglore,1,10844,2019,330,Morning,Afternoon
Multiple carriers,Delhi,Cochin,1,13587,2019,720,Morning,Evening
SpiceJet,Chennai,Kolkata,0,3543,2019,135,Morning,Afternoon
Vistara,Chennai,Kolkata,0,4842,2019,135,Morning,Morning
IndiGo,Banglore,Delhi,0,3943,2019,170,Night,Night
Jet Airways,Delhi,Cochin,1,10577,2019,550,Evening,Night
IndiGo,Delhi,Cochin,1,6979,2019,625,Morning,Evening
Vistara,Chennai,Kolkata,0,11982,2019,140,Evening,Evening
SpiceJet,Delhi,Cochin,1,5264,2019,270,Morning,Afternoon
Vistara,Delhi,Cochin,0,8001,2019,190,Morning,Morning
Air India,Delhi,Cochin,2,10651,2019,1410,Evening,Evening
Jet Airways,Kolkata,Banglore,1,10844,2019,1640,Afternoon,Evening
Multiple carriers,Delhi,Cochin,1,6601,2019,755,Morning,Night
Air India,Delhi,Cochin,1,6587,2019,1455,Evening,Evening
SpiceJet,Mumbai,Hyderabad,0,3173,2019,80,Afternoon,Afternoon
Air India,Banglore,Delhi,0,5228,2019,165,Morning,Afternoon
Jet Airways,Banglore,Delhi,0,5769,2019,180,Morning,Morning
Jet Airways,Delhi,Cochin,1,14714,2019,660,Morning,Evening
Jet Airways,Delhi,Cochin,2,13014,2019,810,Night,Evening
IndiGo,Banglore,Delhi,0,3359,2019,170,Night,Night
GoAir,Banglore,New Delhi,0,6722,2019,175,Evening,Night
IndiGo,Kolkata,Banglore,0,4462,2019,165,Morning,Afternoon
IndiGo,Delhi,Cochin,1,6171,2019,675,Night,Afternoon
Air India,Kolkata,Banglore,2,12303,2019,875,Night,Evening
Multiple carriers,Delhi,Cochin,1,7695,2019,835,Morning,Night
IndiGo,Delhi,Cochin,1,5684,2019,845,Morning,Night
Air India,Kolkata,Banglore,1,8366,2019,905,Afternoon,Morning
Air India,Chennai,Kolkata,0,19630,2019,135,Morning,Afternoon
Jet Airways,Banglore,New Delhi,1,13502,2019,900,Afternoon,Night
Jet Airways,Kolkata,Banglore,1,14781,2019,775,Evening,Morning
Multiple carriers,Delhi,Cochin,1,6513,2019,540,Morning,Afternoon
Air India,Delhi,Cochin,1,9929,2019,735,Morning,Evening
Multiple carriers,Delhi,Cochin,2,18275,2019,460,Evening,Night
Air India,Delhi,Cochin,1,4487,2019,1640,Morning,Morning
IndiGo,Mumbai,Hyderabad,0,2754,2019,85,Evening,Night
Air India,Mumbai,Hyderabad,0,2575,2019,80,Morning,Morning
SpiceJet,Kolkata,Banglore,1,8224,2019,330,Afternoon,Evening
Air India,Delhi,Cochin,1,8991,2019,705,Evening,Morning
IndiGo,Delhi,Cochin,0,5000,2019,195,Night,Morning
Jet Airways,Kolkata,Banglore,1,8529,2019,1495,Evening,Evening
Air India,Delhi,Cochin,1,14042,2019,1640,Morning,Morning
Jet Airways,Banglore,Delhi,0,4030,2019,175,Morning,Afternoon
Jet Airways,Kolkata,Banglore,1,10844,2019,1025,Evening,Afternoon
IndiGo,Kolkata,Banglore,0,4804,2019,160,Evening,Night
Multiple carriers,Delhi,Cochin,1,7308,2019,480,Evening,Night
IndiGo,Banglore,Delhi,0,4823,2019,180,Afternoon,Evening
Jet Airways,Delhi,Cochin,1,10262,2019,1655,Morning,Afternoon
Jet Airways,Delhi,Cochin,1,12898,2019,450,Evening,Night
Air India,Banglore,New Delhi,2,12778,2019,1375,Evening,Afternoon
IndiGo,Delhi,Cochin,1,14871,2019,515,Night,Afternoon
Air India,Delhi,Cochin,2,8708,2019,1795,Afternoon,Evening
Jet Airways,Kolkata,Banglore,1,10844,2019,1335,Evening,Evening
SpiceJet,Mumbai,Hyderabad,0,4129,2019,80,Night,Morning
IndiGo,Kolkata,Banglore,0,4804,2019,160,Evening,Night
Jet Airways,Banglore,Delhi,0,7229,2019,180,Morning,Morning
Jet Airways,Banglore,New Delhi,1,7832,2019,730,Morning,Evening
SpiceJet,Chennai,Kolkata,0,3859,2019,155,Morning,Afternoon
Multiple carriers,Delhi,Cochin,1,9001,2019,705,Morning,Evening
Vistara,Banglore,Delhi,0,4878,2019,155,Evening,Evening
IndiGo,Mumbai,Hyderabad,0,2754,2019,90,Night,Night
Vistara,Banglore,Delhi,0,4668,2019,160,Morning,Morning
Air Asia,Kolkata,Banglore,0,5216,2019,155,Morning,Afternoon
Jet Airways,Delhi,Cochin,2,10368,2019,1375,Night,Night
IndiGo,Delhi,Cochin,2,8146,2019,880,Morning,Evening
Jet Airways,Delhi,Cochin,1,12242,2019,925,Afternoon,Night
Jet Airways,Banglore,New Delhi,1,9134,2019,435,Morning,Afternoon
Air India,Delhi,Cochin,2,10939,2019,1210,Afternoon,Morning
Air India,Delhi,Cochin,2,11753,2019,1245,Morning,Morning
SpiceJet,Kolkata,Banglore,0,4174,2019,150,Evening,Evening
Jet Airways,Kolkata,Banglore,1,10844,2019,1430,Evening,Evening
Jet Airways,Delhi,Cochin,1,14714,2019,1620,Afternoon,Evening
Jet Airways,Kolkata,Banglore,1,9899,2019,330,Morning,Afternoon
IndiGo,Delhi,Cochin,1,14871,2019,710,Morning,Evening
IndiGo,Chennai,Kolkata,0,7295,2019,135,Afternoon,Afternoon
Air India,Delhi,Cochin,2,13465,2019,1470,Evening,Evening
SpiceJet,Chennai,Kolkata,0,3543,2019,140,Evening,Evening
Multiple carriers,Delhi,Cochin,1,7198,2019,390,Evening,Night
Jet Airways,Delhi,Cochin,1,10262,2019,1225,Morning,Night
IndiGo,Kolkata,Banglore,0,4148,2019,155,Afternoon,Evening
Jet Airways,Banglore,Delhi,0,8016,2019,175,Afternoon,Evening
Jet Airways,Delhi,Cochin,1,10262,2019,335,Night,Night
SpiceJet,Kolkata,Banglore,0,3841,2019,150,Afternoon,Evening
Jet Airways,Banglore,New Delhi,1,11507,2019,885,Morning,Night
Jet Airways,Kolkata,Banglore,1,14781,2019,740,Morning,Evening
Jet Airways,Delhi,Cochin,1,16079,2019,1530,Evening,Evening
Jet Airways,Delhi,Cochin,1,12898,2019,335,Night,Night
Multiple carriers,Delhi,Cochin,1,15353,2019,705,Morning,Evening
IndiGo,Banglore,New Delhi,0,7303,2019,175,Evening,Evening
SpiceJet,Kolkata,Banglore,1,6197,2019,340,Afternoon,Evening
Air India,Kolkata,Banglore,1,8996,2019,245,Morning,Afternoon
IndiGo,Delhi,Cochin,1,6528,2019,480,Afternoon,Night
GoAir,Banglore,Delhi,0,4239,2019,165,Evening,Night
IndiGo,Kolkata,Banglore,0,4148,2019,160,Evening,Night
SpiceJet,Banglore,Delhi,0,3971,2019,175,Evening,Night
Air Asia,Kolkata,Banglore,1,5192,2019,955,Morning,Night
Jet Airways,Delhi,Cochin,2,9483,2019,1390,Afternoon,Afternoon
Jet Airways,Delhi,Cochin,2,18804,2019,440,Morning,Evening
Air India,Delhi,Cochin,0,5201,2019,170,Night,Morning
Jet Airways,Delhi,Cochin,1,16079,2019,450,Morning,Evening
Jet Airways,Banglore,Delhi,0,7229,2019,180,Evening,Night
Multiple carriers,Delhi,Cochin,1,6795,2019,465,Evening,Night
Jet Airways,Kolkata,Banglore,1,10953,2019,1520,Morning,Morning
Multiple carriers,Delhi,Cochin,2,15965,2019,625,Afternoon,Night
Air India,Delhi,Cochin,2,9968,2019,1820,Afternoon,Evening
IndiGo,Kolkata,Banglore,0,4804,2019,155,Night,Night
Jet Airways,Delhi,Cochin,1,16079,2019,540,Morning,Evening
Jet Airways,Delhi,Cochin,2,11507,2019,910,Evening,Afternoon
Air India,Kolkata,Banglore,2,11542,2019,1700,Morning,Afternoon
Jet Airways,Banglore,Delhi,0,7229,2019,180,Evening,Evening
Jet Airways,Banglore,Delhi,0,4544,2019,165,Morning,Morning
IndiGo,Delhi,Cochin,1,6496,2019,295,Night,Morning
IndiGo,Kolkata,Banglore,0,4804,2019,160,Evening,Night
Air India,Banglore,New Delhi,1,13439,2019,1330,Morning,Morning
Jet Airways,Delhi,Cochin,1,6540,2019,610,Evening,Night
IndiGo,Banglore,Delhi,0,4591,2019,170,Night,Night
IndiGo,Banglore,New Delhi,1,4437,2019,260,Afternoon,Evening
Air Asia,Delhi,Cochin,1,6151,2019,660,Evening,Morning
Jet Airways,Banglore,Delhi,0,7754,2019,180,Evening,Evening
Jet Airways,Delhi,Cochin,1,10262,2019,1355,Afternoon,Afternoon
Jet Airways,Banglore,Delhi,0,8016,2019,185,Evening,Night
SpiceJet,Kolkata,Banglore,0,4781,2019,160,Morning,Morning
Vistara,Banglore,Delhi,0,4668,2019,170,Morning,Afternoon
Air India,Banglore,New Delhi,1,14594,2019,1265,Morning,Morning
Jet Airways,Kolkata,Banglore,1,14231,2019,710,Afternoon,Night
Air India,Delhi,Cochin,1,8425,2019,1535,Night,Morning
Multiple carriers,Delhi,Cochin,1,9646,2019,925,Morning,Night
IndiGo,Chennai,Kolkata,0,7295,2019,145,Afternoon,Evening
Air Asia,Kolkata,Banglore,1,5162,2019,220,Morning,Morning
IndiGo,Banglore,New Delhi,0,6860,2019,175,Evening,Evening
Vistara,Delhi,Cochin,0,6216,2019,190,Morning,Morning
Air Asia,Kolkata,Banglore,1,5192,2019,710,Morning,Evening
IndiGo,Banglore,Delhi,0,4823,2019,170,Evening,Night
SpiceJet,Banglore,Delhi,0,3919,2019,170,Morning,Afternoon
IndiGo,Mumbai,Hyderabad,0,2754,2019,90,Evening,Evening
Multiple carriers,Delhi,Cochin,1,9315,2019,690,Morning,Evening
Multiple carriers,Delhi,Cochin,1,11667,2019,530,Morning,Evening
Jet Airways,Kolkata,Banglore,1,6224,2019,1215,Morning,Night
Air India,Kolkata,Banglore,2,13349,2019,1210,Morning,Night
Jet Airways,Banglore,New Delhi,1,11087,2019,965,Afternoon,Morning
Multiple carriers,Delhi,Cochin,1,15603,2019,755,Afternoon,Night
Jet Airways,Delhi,Cochin,2,15129,2019,1025,Evening,Afternoon
IndiGo,Banglore,Delhi,0,4823,2019,180,Afternoon,Evening
Vistara,Kolkata,Banglore,1,8452,2019,930,Morning,Night
Multiple carriers,Delhi,Cochin,1,12524,2019,690,Morning,Evening
SpiceJet,Chennai,Kolkata,0,3384,2019,140,Evening,Evening
Jet Airways,Delhi,Cochin,1,10262,2019,1425,Evening,Evening
SpiceJet,Mumbai,Hyderabad,0,1965,2019,90,Afternoon,Afternoon
IndiGo,Kolkata,Banglore,0,4804,2019,155,Night,Night
Jet Airways,Delhi,Cochin,1,16079,2019,1485,Evening,Evening
Jet Airways,Delhi,Cochin,2,13292,2019,1295,Evening,Evening
Air Asia,Delhi,Cochin,1,6751,2019,330,Morning,Afternoon
Air India,Delhi,Cochin,1,8669,2019,735,Morning,Evening
IndiGo,Delhi,Cochin,1,14871,2019,485,Evening,Night
Jet Airways,Delhi,Cochin,1,12898,2019,300,Afternoon,Evening
