,loan_amnt,funded_amnt,term,int_rate,installment,home_ownership,annual_inc,loan_status,purpose,addr_state,dti,open_acc,total_acc,total_pymnt,repay_fail
44,25000,15050,60 months,12.61,339.44,RENT,65000.0,Fully Paid,debt_consolidation,NY,24.57,17,28,20366.11789,0
45,7000,7000,36 months,11.49,230.8,RENT,72000.0,Fully Paid,credit_card,CA,18.3,17,37,8308.750002,0
46,5000,5000,36 months,5.42,150.8,MORTGAGE,100000.0,Fully Paid,debt_consolidation,NY,5.9,11,26,5410.105852,0
47,12325,12325,36 months,18.36,447.81,MORTGAGE,54000.0,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,NV,14.82,22,48,16234.67126,0
48,8000,8000,36 months,13.61,271.91,MORTGAGE,58000.0,Fully Paid,credit_card,OH,22.49,17,25,9560.659512,0
50,8500,8500,36 months,10.62,276.76,RENT,45000.0,Fully Paid,debt_consolidation,KY,2.01,12,35,9385.106074,0
51,10000,9550,60 months,10.75,206.46,MORTGAGE,75000.0,Fully Paid,major_purchase,IL,7.97,10,39,11652.6081,0
52,12000,12000,36 months,12.73,402.77,OWN,31000.0,Fully Paid,debt_consolidation,VA,16.57,5,5,14501.22566,0
53,19250,19250,60 months,14.79,455.84,MORTGAGE,65004.0,Fully Paid,debt_consolidation,MD,8.79,6,16,26715.93,0
54,11000,11000,60 months,10.37,235.73,MORTGAGE,48000.0,Fully Paid,car,OH,21.38,5,16,14068.66001,0
55,6000,6000,36 months,14.54,206.65,RENT,41196.0,Fully Paid,credit_card,NH,23.24,11,18,7441.761269,0
56,16000,16000,36 months,10.99,523.75,OWN,52000.0,Fully Paid,debt_consolidation,OH,24.0,17,43,18779.64573,0
57,8000,8000,36 months,7.66,249.44,RENT,19200.0,Fully Paid,major_purchase,CT,1.25,3,4,8936.899904,0
58,30000,30000,60 months,11.71,662.95,MORTGAGE,82000.0,Charged Off,other,CA,0.22,6,14,9943.49,1
59,3500,3500,36 months,5.42,105.56,RENT,60000.0,Fully Paid,small_business,CA,14.1,8,16,3800.487597,0
60,6400,6400,36 months,7.14,198.02,MORTGAGE,67807.0,Fully Paid,home_improvement,TX,9.43,5,20,7096.003486,0
61,13800,13800,36 months,7.66,430.29,RENT,105000.0,Fully Paid,debt_consolidation,WA,21.15,10,20,15393.6719,0
62,15000,15000,36 months,17.99,542.22,MORTGAGE,63830.0,Fully Paid,debt_consolidation,TX,21.04,13,25,18087.37267,0
63,1275,1275,36 months,15.23,44.35,OWN,20400.0,Fully Paid,debt_consolidation,CA,24.59,7,7,1596.239355,0
64,6500,6500,36 months,14.72,224.44,RENT,40000.0,Does not meet the credit policy. Status:Fully Paid,car,NY,0.93,4,8,8080.346877,0
66,11200,11200,60 months,22.06,309.72,RENT,75000.0,Fully Paid,other,NY,22.9,28,57,18315.30005,0
67,25000,25000,60 months,12.99,568.7,MORTGAGE,60106.0,Fully Paid,debt_consolidation,NC,25.18,18,31,33147.75,0
69,20000,20000,36 months,13.79,681.51,MORTGAGE,120000.0,Fully Paid,debt_consolidation,WA,15.0,21,41,24042.21383,0
70,10000,10000,36 months,5.42,301.6,RENT,28000.0,Fully Paid,debt_consolidation,IL,12.69,13,35,10857.53439,0
71,5000,5000,36 months,8.7,158.31,RENT,48000.0,Fully Paid,major_purchase,NJ,0.38,7,25,5698.810312,0
72,2000,2000,36 months,8.49,63.13,RENT,22800.0,Fully Paid,car,SD,3.16,7,18,2060.182535,0
73,10000,10000,36 months,15.27,347.98,RENT,64000.0,Fully Paid,debt_consolidation,MD,3.64,3,10,12527.15,0
74,2400,2400,36 months,10.46,77.97,MORTGAGE,27000.0,Does not meet the credit policy. Status:Fully Paid,major_purchase,VA,19.29,3,4,2806.524715,0
75,10000,10000,36 months,7.29,310.1,RENT,99000.0,Fully Paid,wedding,NY,2.25,4,11,11163.54473,0
76,14825,14825,36 months,12.69,497.31,MORTGAGE,75000.0,Fully Paid,debt_consolidation,CA,18.53,16,22,17721.13758,0
77,4000,4000,36 months,10.99,130.94,MORTGAGE,40000.0,Fully Paid,other,MI,12.27,8,15,4696.064507,0
79,1375,1375,36 months,6.91,42.4,RENT,37500.0,Fully Paid,credit_card,VA,12.03,5,6,1432.734627,0
80,4400,4400,36 months,7.9,137.68,MORTGAGE,95000.0,Fully Paid,debt_consolidation,NJ,1.09,5,15,4956.363334,0
81,15000,15000,36 months,15.95,526.99,MORTGAGE,54000.0,Does not meet the credit policy. Status:Charged Off,debt_consolidation,CA,9.13,11,19,6321.72,1
82,6000,6000,36 months,7.29,186.06,RENT,65004.0,Fully Paid,debt_consolidation,TX,12.55,13,30,6449.782699,0
83,25000,15975,60 months,13.72,369.4,OWN,100000.0,Charged Off,small_business,TX,21.1,6,32,5189.78,1
84,3500,3500,36 months,14.84,121.06,MORTGAGE,96000.0,Charged Off,medical,MD,20.4,7,31,1567.02,1
85,2525,2525,36 months,13.12,85.23,MORTGAGE,40000.0,Fully Paid,home_improvement,UT,20.67,13,24,3068.020133,0
86,25000,25000,36 months,13.75,851.41,RENT,75000.0,Charged Off,home_improvement,FL,19.78,8,12,7661.88,1
87,14000,14000,60 months,20.25,372.87,RENT,42744.0,Charged Off,credit_card,SD,20.58,19,53,14149.35,1
88,6500,6500,36 months,11.03,212.9,RENT,55000.0,Fully Paid,debt_consolidation,OR,11.76,7,12,7517.872492,0
89,2800,2800,60 months,10.74,60.52,MORTGAGE,61200.0,Fully Paid,car,NC,20.2,10,20,3544.512784,0
91,2200,2200,36 months,13.23,74.38,RENT,12000.0,Fully Paid,major_purchase,MO,4.8,6,13,2398.909196,0
92,3600,3600,36 months,12.69,120.77,MORTGAGE,60000.0,Charged Off,medical,MI,19.0,10,17,3612.83,1
93,25000,25000,36 months,12.69,838.63,RENT,92000.0,Fully Paid,debt_consolidation,MA,19.06,13,22,30190.27801,0
94,10000,10000,36 months,13.79,340.76,RENT,40000.0,Charged Off,debt_consolidation,AZ,21.63,13,19,3200.67,1
95,20050,20050,60 months,11.49,440.86,MORTGAGE,63000.0,Fully Paid,debt_consolidation,TX,24.34,6,24,25918.83001,0
96,18000,18000,36 months,12.18,599.4,RENT,101500.0,Fully Paid,debt_consolidation,CA,9.28,6,27,20390.84599,0
97,11800,11800,36 months,13.99,403.24,RENT,94000.0,Fully Paid,debt_consolidation,NY,4.6,10,41,14516.58325,0
98,5500,5500,36 months,6.92,169.63,RENT,45000.0,Fully Paid,debt_consolidation,CA,16.83,10,20,6007.201116,0
99,4000,4000,36 months,7.51,124.45,MORTGAGE,80000.0,Fully Paid,debt_consolidation,DC,21.27,15,31,4410.349929,0
100,4800,4800,36 months,13.35,162.55,RENT,26085.36,Fully Paid,debt_consolidation,TX,14.72,3,4,5850.280966,0
101,3000,3000,36 months,11.36,98.74,RENT,108000.0,Fully Paid,other,WY,18.04,24,61,3553.737028,0
102,5200,5200,60 months,15.23,124.34,MORTGAGE,72000.0,Charged Off,car,TX,10.83,7,12,3214.88,1
103,21000,21000,60 months,15.23,502.13,MORTGAGE,90000.0,Fully Paid,debt_consolidation,AR,14.97,10,28,29745.38003,0
104,8000,8000,36 months,14.26,274.45,RENT,88500.0,Charged Off,other,DC,11.61,13,38,5783.23,1
105,1800,1800,36 months,10.71,58.69,MORTGAGE,123000.0,Does not meet the credit policy. Status:Fully Paid,credit_card,CA,11.55,13,36,1876.53091,0
106,6000,6000,36 months,9.32,191.69,MORTGAGE,52000.0,Fully Paid,other,IL,12.48,12,24,6442.007726,0
107,5000,5000,36 months,7.88,156.41,RENT,45000.0,Fully Paid,debt_consolidation,NY,4.88,8,10,5540.128901,0
108,12000,12000,36 months,7.88,375.38,RENT,110000.0,Fully Paid,debt_consolidation,CA,7.04,7,16,13513.99628,0
109,5000,5000,60 months,18.3,127.79,RENT,72000.0,Fully Paid,home_improvement,CA,2.33,6,8,5991.423678,0
111,20000,20000,36 months,15.65,699.73,RENT,60000.0,Fully Paid,small_business,WA,20.74,5,11,25191.35212,0
112,1500,1500,36 months,10.74,48.93,RENT,80000.0,Fully Paid,vacation,CA,21.64,5,20,1654.441353,0
113,15250,15250,36 months,12.53,510.37,MORTGAGE,52000.0,Charged Off,home_improvement,VA,10.96,12,23,6141.81,1
114,20000,20000,36 months,13.72,680.84,MORTGAGE,79000.0,Fully Paid,debt_consolidation,VA,14.16,14,34,22838.5867,0
116,4000,4000,36 months,5.42,120.64,MORTGAGE,90000.0,Fully Paid,home_improvement,MA,6.15,6,25,4131.491465,0
117,13000,13000,36 months,8.9,412.8,MORTGAGE,60000.0,Fully Paid,debt_consolidation,WI,18.53,18,30,14752.93322,0
118,14400,14400,36 months,10.37,467.16,RENT,81380.0,Fully Paid,debt_consolidation,KS,9.36,10,17,16094.49074,0
119,25000,16000,36 months,10.75,521.93,MORTGAGE,100000.0,Fully Paid,other,PA,8.7,15,33,16808.67823,0
120,3600,3600,36 months,16.49,127.44,RENT,24216.0,Fully Paid,debt_consolidation,MI,23.59,7,11,3836.573687,0
121,20000,20000,36 months,17.14,714.45,RENT,75000.0,Fully Paid,debt_consolidation,CA,18.03,8,12,24590.26334,0
122,10000,10000,36 months,12.42,334.16,RENT,42000.0,Fully Paid,debt_consolidation,AL,23.71,7,19,11638.07916,0
123,12000,12000,36 months,7.51,373.33,RENT,83000.0,Charged Off,debt_consolidation,NY,8.36,9,36,3531.72,1
124,5000,5000,60 months,16.45,122.79,RENT,32000.0,Fully Paid,debt_consolidation,IL,16.88,9,16,5203.557983,0
125,3800,3800,36 months,6.03,115.66,OWN,90000.0,Fully Paid,other,NJ,21.32,7,28,4104.259128,0
126,1500,1500,36 months,13.48,50.89,OWN,48000.0,Charged Off,other,SC,0.63,2,4,284.6,1
127,12000,12000,36 months,8.94,381.26,MORTGAGE,35088.0,Fully Paid,debt_consolidation,MN,11.01,7,18,13725.25003,0
128,5000,5000,60 months,7.29,99.7,MORTGAGE,61200.0,Fully Paid,car,PA,4.92,12,28,5981.389324,0
129,26000,26000,60 months,12.69,587.47,RENT,49000.0,Charged Off,debt_consolidation,CA,21.92,15,24,23514.32,1
130,16250,16250,60 months,11.49,357.3,RENT,63600.0,Fully Paid,debt_consolidation,NY,29.36,10,37,21292.11998,0
131,25000,25000,60 months,12.98,568.58,MORTGAGE,85000.0,Fully Paid,medical,NY,17.0,10,18,34114.04,0
132,1200,1200,36 months,10.28,38.88,RENT,4000.0,Does not meet the credit policy. Status:Fully Paid,educational,FL,8.1,3,3,1399.520086,0
134,11400,3400,36 months,13.79,115.86,MORTGAGE,63000.0,Fully Paid,credit_card,OH,20.11,11,37,4162.970989,0
135,13000,13000,36 months,7.88,406.66,MORTGAGE,37000.0,Fully Paid,debt_consolidation,FL,19.39,10,15,14640.35377,0
136,12600,12600,60 months,10.65,271.77,MORTGAGE,55172.0,Fully Paid,debt_consolidation,OH,19.36,22,59,13038.8101,0
137,12800,12800,36 months,12.42,427.72,RENT,38000.0,Charged Off,credit_card,TX,22.58,7,14,11334.69,1
139,7000,7000,60 months,15.57,168.64,MORTGAGE,50000.0,Fully Paid,debt_consolidation,PA,20.28,8,13,8808.739093,0
140,20000,20000,60 months,11.99,444.79,MORTGAGE,39000.0,Current,home_improvement,NY,15.35,5,11,25752.82,0
141,5125,5125,36 months,10.71,167.09,MORTGAGE,65000.0,Fully Paid,credit_card,CA,6.77,6,9,6014.942565,0
143,3500,3500,60 months,17.99,88.86,MORTGAGE,116004.0,Charged Off,other,SC,19.2,17,43,4615.64,1
144,12000,12000,36 months,16.95,427.53,MORTGAGE,90000.0,Fully Paid,debt_consolidation,NH,16.53,7,10,15390.71497,0
145,20000,20000,60 months,18.3,511.14,MORTGAGE,74276.8,Fully Paid,credit_card,WA,3.55,3,17,27179.14443,0
146,5600,5600,36 months,7.51,174.23,RENT,43000.0,Fully Paid,debt_consolidation,AZ,20.51,9,26,6071.215355,0
147,25000,25000,60 months,18.3,638.93,MORTGAGE,137496.0,Fully Paid,debt_consolidation,TX,13.02,8,14,37626.34027,0
148,10000,10000,60 months,13.23,228.71,RENT,42840.0,Fully Paid,other,WA,11.09,5,17,10743.87002,0
149,14400,14400,36 months,7.66,448.99,MORTGAGE,90000.0,Fully Paid,car,AR,12.23,8,19,15532.72756,0
150,12000,12000,36 months,14.59,413.58,MORTGAGE,124000.0,Fully Paid,credit_card,NJ,15.36,16,29,14889.25823,0
151,6500,6500,36 months,7.74,202.93,RENT,18000.0,Fully Paid,debt_consolidation,NH,18.0,5,12,7172.543206,0
152,19000,19000,36 months,11.99,630.99,MORTGAGE,105000.0,Fully Paid,debt_consolidation,NJ,9.99,7,34,22715.25852,0
153,15000,15000,36 months,11.89,497.46,RENT,70000.0,Fully Paid,debt_consolidation,CA,6.19,7,18,17774.45875,0
154,2000,2000,36 months,7.37,62.1,OWN,98000.0,Fully Paid,other,TX,0.0,9,22,2235.320941,0
155,3500,3500,36 months,14.27,120.09,RENT,34000.0,Fully Paid,debt_consolidation,CA,20.19,9,14,4322.847207,0
156,3000,3000,36 months,13.35,101.59,MORTGAGE,112500.0,Fully Paid,wedding,NC,11.84,8,27,3657.416032,0
157,5000,5000,36 months,11.86,165.74,RENT,67596.0,Fully Paid,other,CA,9.55,4,6,5967.318071,0
158,22000,22000,60 months,17.27,549.96,RENT,84000.0,Current,debt_consolidation,RI,13.8,11,36,29648.31,0
161,15000,15000,36 months,16.49,531.0,MORTGAGE,91980.0,Fully Paid,credit_card,CA,14.35,8,29,19108.40989,0
162,9050,9050,36 months,5.42,272.95,MORTGAGE,108000.0,Fully Paid,debt_consolidation,LA,24.73,12,42,9379.835926,0
163,5000,5000,36 months,9.76,160.78,MORTGAGE,38000.0,Fully Paid,credit_card,CO,4.45,9,19,5787.793997,0
164,15000,15000,60 months,14.46,352.62,RENT,109000.0,Fully Paid,debt_consolidation,CA,5.21,6,16,21050.48003,0
165,7000,7000,36 months,13.49,237.52,RENT,83000.0,Fully Paid,home_improvement,GA,16.83,4,17,8542.533032,0
166,18000,18000,36 months,13.48,610.64,RENT,58000.0,Fully Paid,educational,IL,8.69,6,10,20892.94268,0
168,12000,12000,60 months,12.69,271.14,OWN,60000.0,Fully Paid,debt_consolidation,HI,17.62,7,12,12376.11535,0
170,5000,5000,60 months,11.12,109.02,MORTGAGE,36000.0,Fully Paid,debt_consolidation,PA,17.6,23,42,5519.46536,0
172,4800,4800,36 months,6.39,146.88,RENT,56048.0,Fully Paid,major_purchase,NY,16.55,10,32,4850.900197,0
173,4000,4000,36 months,14.17,137.05,RENT,30000.0,Fully Paid,debt_consolidation,NJ,23.48,6,9,4933.400083,0
175,8400,8400,36 months,9.63,269.59,MORTGAGE,28800.0,Fully Paid,car,SC,7.71,4,12,9705.137314,0
176,24000,24000,36 months,16.45,849.06,RENT,60000.0,Fully Paid,debt_consolidation,NY,21.78,8,8,30567.44762,0
177,14500,14500,36 months,13.98,495.44,RENT,45600.0,Fully Paid,debt_consolidation,WA,24.68,13,17,17837.13758,0
178,3500,3500,36 months,7.29,108.54,RENT,74400.0,Fully Paid,car,CA,13.65,6,12,3521.55,0
179,5000,5000,36 months,13.99,170.87,RENT,65000.0,Fully Paid,debt_consolidation,PA,22.06,4,12,5428.72944,0
180,3600,3600,36 months,8.94,114.38,RENT,25000.0,Fully Paid,medical,CT,16.56,10,12,4103.693648,0
181,2800,2800,36 months,14.22,96.0,RENT,21168.0,Fully Paid,major_purchase,AR,19.9,12,15,3457.096307,0
182,5000,5000,36 months,6.03,152.18,RENT,100000.0,Fully Paid,debt_consolidation,CA,2.4,8,12,5478.387981,0
183,6000,6000,36 months,6.17,183.0,MORTGAGE,81000.0,Fully Paid,other,TX,8.07,16,45,6588.019068,0
184,1200,1200,36 months,10.99,39.29,OWN,26000.0,Fully Paid,home_improvement,AL,10.71,8,17,1387.226374,0
185,6000,6000,36 months,5.42,180.96,RENT,55000.0,Fully Paid,debt_consolidation,NJ,16.36,5,15,6514.848702,0
186,6000,6000,36 months,11.97,199.2,RENT,58800.0,Charged Off,debt_consolidation,FL,6.0,4,6,4321.66,1
187,9600,9600,60 months,10.99,208.68,MORTGAGE,92000.0,Fully Paid,car,MN,22.93,12,30,12269.54001,0
188,3000,3000,36 months,13.61,101.97,RENT,65004.0,Fully Paid,debt_consolidation,NY,3.71,8,17,3667.624744,0
189,12000,12000,60 months,14.79,284.16,RENT,65000.0,Fully Paid,wedding,IL,24.74,11,24,16678.28407,0
190,11000,11000,36 months,10.59,358.0,MORTGAGE,42000.0,Charged Off,small_business,MA,14.94,5,28,6447.71,1
191,9000,9000,36 months,10.99,294.61,RENT,51000.0,Fully Paid,debt_consolidation,WA,19.93,13,19,9670.975489,0
192,2400,2400,36 months,10.59,78.11,OWN,19200.0,Fully Paid,major_purchase,CA,0.63,3,4,2421.66,0
193,7200,7200,36 months,10.59,234.33,MORTGAGE,43000.0,Fully Paid,wedding,TX,14.08,6,14,8407.784372,0
194,12800,12800,36 months,13.49,434.31,OWN,80000.0,Fully Paid,credit_card,TX,18.43,6,16,15328.78261,0
195,7500,7500,60 months,11.12,163.52,MORTGAGE,57000.0,Charged Off,home_improvement,CT,4.65,4,12,1629.8,1
196,8000,8000,36 months,6.99,246.99,MORTGAGE,45000.0,Fully Paid,home_improvement,OH,4.32,8,24,8891.25,0
197,12000,12000,60 months,15.7,289.91,MORTGAGE,50376.0,Fully Paid,debt_consolidation,CA,11.1,5,17,17394.36792,0
198,10000,10000,36 months,12.73,335.67,MORTGAGE,120000.0,Fully Paid,debt_consolidation,NJ,17.4,8,20,10690.85058,0
199,4000,4000,36 months,10.08,129.22,RENT,32400.0,Fully Paid,home_improvement,PA,16.26,6,10,4372.208137,0
200,6000,6000,36 months,7.51,186.67,RENT,30000.0,Fully Paid,debt_consolidation,LA,6.12,12,14,6631.405443,0
201,15000,15000,60 months,18.79,387.38,MORTGAGE,98500.0,Fully Paid,debt_consolidation,MD,23.81,13,28,22860.91005,0
202,11200,11200,60 months,14.17,261.6,OWN,25800.0,Fully Paid,debt_consolidation,TX,17.77,10,19,15588.83001,0
203,12000,12000,36 months,11.11,393.5,MORTGAGE,125000.0,Fully Paid,home_improvement,NY,12.49,11,37,14165.57522,0
204,8750,8750,36 months,12.72,293.65,MORTGAGE,86610.0,Fully Paid,credit_card,GA,20.12,22,49,10561.89849,0
206,25000,16425,60 months,13.23,375.66,RENT,68500.0,Fully Paid,major_purchase,NY,4.08,9,11,20867.15244,0
207,14400,14400,36 months,13.92,491.58,MORTGAGE,75000.0,Fully Paid,debt_consolidation,NH,16.24,11,30,17542.32209,0
208,12000,12000,36 months,14.38,412.35,MORTGAGE,100000.0,Does not meet the credit policy. Status:Fully Paid,small_business,NY,11.4,17,38,14862.2512,0
209,3600,3600,60 months,17.93,91.28,RENT,15000.0,Charged Off,debt_consolidation,CA,1.28,2,3,1145.72,1
210,15000,11525,60 months,17.14,287.3,OWN,41676.0,Fully Paid,major_purchase,SC,1.3,2,10,17237.45717,0
211,8000,8000,60 months,14.46,188.06,RENT,49000.0,Fully Paid,debt_consolidation,WA,17.95,10,11,11300.78462,0
212,8000,8000,36 months,11.99,265.68,MORTGAGE,82000.0,Fully Paid,debt_consolidation,FL,24.41,19,32,9564.319371,0
213,20000,20000,36 months,6.54,613.35,MORTGAGE,109000.0,Fully Paid,home_improvement,FL,8.19,11,33,21988.81651,0
214,6000,6000,36 months,6.62,184.23,MORTGAGE,82531.8,Fully Paid,debt_consolidation,NH,20.02,14,58,6625.921658,0
216,25000,16225,60 months,17.56,408.14,MORTGAGE,65004.0,Fully Paid,debt_consolidation,MD,10.15,7,23,18429.26306,0
217,8000,8000,36 months,11.71,264.61,RENT,115000.0,Fully Paid,credit_card,CA,2.07,7,12,9525.87,0
218,5400,5400,36 months,7.88,168.92,MORTGAGE,78000.0,Fully Paid,debt_consolidation,MO,11.86,13,19,6057.928688,0
219,10000,10000,36 months,7.14,309.4,MORTGAGE,47091.0,Fully Paid,debt_consolidation,OK,14.35,10,32,11087.49309,0
220,10000,10000,60 months,15.95,242.92,MORTGAGE,117000.0,Fully Paid,other,SC,5.61,8,21,13839.54642,0
221,12000,12000,36 months,5.79,363.93,RENT,80000.0,Fully Paid,debt_consolidation,FL,4.18,8,30,12840.57775,0
222,3000,3000,36 months,11.86,99.45,RENT,35500.0,Fully Paid,other,CA,23.43,13,21,3545.778473,0
223,10000,10000,36 months,7.49,311.02,OWN,141000.0,Fully Paid,home_improvement,MA,4.06,5,9,11196.56943,0
225,8000,8000,36 months,10.59,260.36,MORTGAGE,50000.0,Fully Paid,other,RI,3.89,3,12,9076.174889,0
226,18000,18000,36 months,10.59,585.81,RENT,80000.0,Fully Paid,debt_consolidation,NY,7.15,6,18,20070.3477,0
227,12000,12000,36 months,13.16,405.25,MORTGAGE,78996.0,Fully Paid,other,TX,17.96,11,25,14434.33819,0
228,1000,1000,36 months,9.99,32.27,MORTGAGE,35138.4,Fully Paid,home_improvement,CO,15.03,7,26,1062.513596,0
229,25000,25000,36 months,16.32,882.89,OWN,95000.0,Fully Paid,wedding,MA,21.66,7,19,31785.08509,0
230,8675,8675,60 months,16.32,212.44,MORTGAGE,40000.0,Fully Paid,credit_card,VT,12.96,3,28,11648.93431,0
231,12000,12000,36 months,17.88,433.11,MORTGAGE,57600.0,Charged Off,small_business,AZ,18.52,18,30,6055.42,1
232,6000,6000,36 months,7.88,187.69,RENT,90000.0,Fully Paid,debt_consolidation,PA,15.33,13,32,6756.926812,0
233,8000,8000,36 months,11.36,263.29,RENT,58000.0,Fully Paid,debt_consolidation,LA,13.1,3,10,9427.321395,0
234,12000,12000,36 months,7.88,375.38,RENT,55500.0,Fully Paid,major_purchase,OH,0.0,5,15,12079.64,0
235,1500,1500,36 months,6.03,45.66,RENT,50400.0,Fully Paid,other,MD,12.33,15,30,1641.573026,0
236,16800,16800,60 months,15.57,404.72,MORTGAGE,123531.24,Charged Off,debt_consolidation,MD,18.87,14,45,19021.84,1
237,22000,22000,36 months,21.64,836.1,RENT,125004.0,Does not meet the credit policy. Status:Fully Paid,debt_consolidation,CA,14.13,9,29,28463.394,0
238,12000,12000,36 months,6.03,365.23,MORTGAGE,99000.0,Fully Paid,house,OH,2.21,9,25,12232.87021,0
239,3500,3500,36 months,12.99,117.92,MORTGAGE,60000.0,Fully Paid,major_purchase,GA,10.04,4,11,4189.97413,0
240,1875,1875,36 months,13.49,63.62,RENT,14400.0,Fully Paid,credit_card,NY,18.83,8,23,2301.766959,0
241,12000,12000,36 months,10.37,389.3,RENT,63000.0,Fully Paid,debt_consolidation,PA,9.66,9,25,14014.55407,0
