id,name,state_code,latitude,longitude,year_founded,age_first_funding_year,age_last_funding_year,relationships,funding_rounds,funding_total_usd,milestones,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status
c:45111,Entertainment Media Works,NY,40.73901,-73.997259,2004,2.6575,2.6575,1,1,4000000,1,software,0,0,0,1,0,0,1,1,closed
c:3178,Elastra,CA,37.791137,-122.391843,2007,0.6192,1.5945,8,2,14600000,3,software,0,0,1,1,0,0,2,1,closed
c:35402,RPO,CA,37.404788,-121.940842,2005,1.063,5.7014,0,3,44000000,0,other,0,0,0,1,1,0,4.5,1,closed
c:22856,Fotomoto,CA,37.7795014,-122.3948712,2008,0.1671,2.6493,10,3,1822922,3,ecommerce,0,1,1,0,0,0,2.3333,1,acquired
c:1224,Peer39,NY,40.755446,-73.980246,2006,0,5.9041,18,7,29915001,5,advertising,1,1,1,1,1,0,2.75,1,acquired
c:1234,Vitrue,Other,33.756806,-84.392198,2006,0,4.8027,26,4,33000000,5,enterprise,0,0,1,1,1,0,3,1,acquired
c:149809,Trendslide,Other,42.99564,-71.454789,2011,0,0.5836,9,2,125000,2,mobile,0,1,0,0,0,0,1,0,acquired
c:13733,PublicEarth,CA,40.01573320000001,-105.275027,2008,0.1041,2.3863,7,2,4000000,2,other,1,0,1,0,0,0,1,1,closed
c:39106,Azaleos,Other,47.63609,-122.327028,2004,3.4904,3.4904,10,1,10000000,3,enterprise,0,0,0,0,1,0,2,1,acquired
c:5306,Efficient Frontier,CA,37.4049731,-122.0323525,2002,4.6658,4.6658,25,1,6000000,4,advertising,0,0,0,0,1,0,3,1,acquired
c:16303,NetDevices,CA,37.36883,-122.03635,2003,2.6247,2.6247,4,1,25000000,0,software,0,0,0,1,0,0,5,1,acquired
c:43188,Go Try It On,NY,40.730646,-73.986614,2009,0.926,2.9534,2,3,3750000,3,other,0,1,1,0,0,0,2,1,acquired
c:33507,Performable,MA,42.3751,-71.105616,2009,0.2466,0.2466,9,1,3000000,2,software,0,0,1,0,0,0,1,1,acquired
c:68157,Appstores.com,CA,37.779281,-122.419236,2010,0.189,1.189,6,2,1155000,2,software,0,1,0,0,0,0,9.5,1,acquired
c:2395,Fortify Software,CA,37.560781,-122.284114,2002,3.2082,3.2082,11,1,10000000,2,software,0,0,0,0,0,1,2,1,acquired
c:38220,iCurrent,CA,37.658313,-122.391032,2006,2.5836,2.5836,5,1,3000000,1,web,0,0,1,0,0,0,1,1,acquired
c:49815,AisleBuyer,MA,42.360253,-71.058291,2009,1.8932,2.4466,4,2,11500000,3,mobile,0,0,0,0,0,0,1,1,acquired
c:249,Indeed,TX,30.321464,-97.75501,2004,0.7479,0.7479,12,1,5000000,5,web,0,0,1,0,0,0,3,1,acquired
c:22027,Colubris Networks,MA,42.37564,-71.2358,2000,5.1863,6.8137,9,2,29000000,1,other,1,0,0,0,0,1,5,1,acquired
c:109,Mashery,CA,37.7870842,-122.4038047,2006,0.6712,6.2329,37,6,34700000,4,enterprise,1,1,1,1,1,1,5,1,acquired
c:43948,Transparency Software,CA,37.441537,-122.158332,2004,1.1863,3.4986,0,2,12050000,0,software,1,0,1,0,0,0,2,1,closed
c:765,Viewdle,CA,37.445586,-122.161929,2006,2.1644,4.7616,13,3,12000000,2,other,1,0,1,1,0,0,2,1,acquired
c:19257,Enclarity,CA,33.5842816,-117.7306817,2005,4.1041,4.1041,18,1,5500000,1,consulting,0,0,0,0,1,0,2,1,acquired
c:25827,Virsto Software,CA,37.402773,-122.052551,2007,1.989,4.1534,10,3,24000000,4,software,0,0,1,1,0,0,3.3333,1,acquired
c:5932,Handmark,Other,39.103151,-94.581908,2000,5.2027,6.189,6,2,10000000,2,mobile,0,0,1,1,0,0,4.5,1,acquired
c:8596,Carbonetworks,CA,37.805289,-122.404448,2005,3.4986,3.4986,6,1,5000000,1,other,0,0,1,0,0,0,1,1,closed
c:19861,SchemaLogic,Other,47.675489,-122.191667,2001,4.0466,9.3041,2,5,18914576,1,enterprise,1,0,0,0,1,0,3,1,acquired
c:45114,Skyway Software,Other,27.951849,-82.456397,2001,6.3726,6.3726,0,1,4000000,0,software,1,0,0,0,0,0,3,0,closed
c:23533,CardStar,MA,42.360253,-71.058291,2008,1.326,2.7836,5,3,2030882,2,software,0,0,1,0,0,0,3,1,acquired
c:25325,Makani Power,CA,37.7831775,-122.3086191,2006,2.6438,2.6438,4,1,5000000,2,other,0,0,0,1,0,0,1,1,acquired
c:8351,Myrio,Other,47.765758,-122.184304,1999,1.0877,1.0877,5,1,20500000,0,software,1,0,0,0,0,0,4,1,closed
c:10392,Intela,Other,40.730646,-73.986614,2006,3.9616,6.5205,4,2,13250000,4,advertising,1,0,0,0,0,0,2,0,acquired
c:26128,Sana Security,CA,37.54763,-122.307887,2000,7.2548,7.2548,7,1,12000000,1,other,0,0,0,0,0,0,2,1,acquired
c:2808,Sportgenic,CA,37.790485,-122.40094,2005,1.3342,3.0247,9,3,11489687,2,advertising,0,1,1,1,0,0,3.3333,1,acquired
c:10581,Lolapps,CA,37.7870923,-122.3999719,2008,0.6795,0.6795,15,1,4000000,3,web,0,0,1,0,0,0,3,1,acquired
c:1674,Infinity Box,Other,28.098905,-82.400087,2006,0,0.2466,10,2,118000,3,web,0,1,0,0,0,0,1.5,1,acquired
c:170,adBrite,CA,37.779026,-122.40184,2003,1.6685,9.337,17,4,40400000,3,advertising,0,0,1,1,1,1,1.6667,1,acquired
c:27740,Texert,TX,32.9583632,-96.8215658,2007,1.8055,1.8055,1,1,3000000,0,software,0,0,1,0,0,0,1,1,closed
c:46186,Mendocino Software,CA,37.54827,-121.988572,2003,2.6986,4.0027,2,2,19700000,1,software,1,0,0,1,0,0,4,1,closed
c:43162,QuikCycle,CA,37.354469,-121.990433,1998,9.1671,9.1973,0,2,17800000,0,software,1,0,0,0,0,0,1,1,closed
c:43233,Instagram,CA,37.779281,-122.419236,2010,0.011,2.0986,12,3,57500000,3,other,0,1,1,1,0,0,4,1,acquired
c:1498,Motionbox,NY,40.606061,-73.822331,2006,0.6658,3.0384,10,3,17200000,5,games_video,0,0,1,1,1,0,2.6667,1,acquired
c:40197,DNP Green Technology,Other,40.349274,-74.659296,2008,2.0466,2.0466,2,1,12000000,0,other,0,0,1,0,0,0,6,1,closed
c:51023,Abound Solar,Other,40.397761,-105.07498,2007,3.5123,3.9562,5,2,510000000,3,other,1,0,0,0,0,0,2.5,1,closed
c:13168,Trovix,CA,37.420428,-122.090769,2002,3.9342,4.6822,3,2,18250000,1,other,0,0,1,1,0,0,2.5,1,acquired
c:649,Thumbplay,NY,40.725435,-73.997395,2004,2.1616,5.6384,13,4,41500019,5,other,0,0,0,0,1,0,4,1,acquired
c:52694,Plethora Technology,Other,39.388156,-77.885552,2000,5.4411,5.4411,1,1,1000000,0,software,0,0,1,0,0,0,3,0,closed
c:3080,DailyStrength,CA,34.043948,-118.468204,2006,1.1288,1.1288,7,1,5000000,2,web,0,0,1,0,0,0,1,1,acquired
c:28424,Danotek Motion Technologies,Other,42.350749,-83.444589,2001,7.8877,10.6658,2,3,42700000,1,other,1,0,0,1,0,0,3.6667,1,closed
c:280611,Yub,CA,37.388869,-122.072353,2013,0.8822,0.8822,7,1,12000000,0,ecommerce,1,0,0,0,0,0,9,1,closed
c:30537,SNAPin Software,Other,47.614018,-122.19655,2003,2.526,3.1041,5,2,22300000,2,software,0,0,0,1,1,0,4.5,1,acquired
c:14656,Azuro,CA,37.406217,-121.976473,2002,4.0027,7.8712,5,2,10000000,1,other,1,0,0,1,0,0,4,1,acquired
c:1766,ARPU,Other,37.09024,-95.712891,2005,1.1671,4.6658,1,3,15564591,0,advertising,1,0,0,1,1,0,3.5,1,closed
c:16938,BookFresh,CA,37.779281,-122.419236,2007,2.5726,2.5726,7,1,500000,2,web,0,1,0,0,0,0,5,1,acquired
c:83265,Singly,CA,37.779281,-122.419236,2010,0.1151,1.3397,24,2,8950000,2,other,0,0,1,0,0,0,7,1,acquired
c:23136,TxVia,NY,40.753881,-73.978852,2006,1.7479,4.8192,8,4,55350000,2,other,0,0,1,1,1,1,4,1,acquired
c:54066,Blue Vector Systems,CA,37.406914,-122.09037,2002,3.7233,3.7233,1,1,4000000,0,other,0,0,0,1,0,0,3,1,closed
c:17219,Open Kernel Labs,Other,41.878984,-87.637,2006,1.6986,6.5151,3,5,10764323,3,software,1,0,1,0,0,0,2,1,acquired
c:23234,Elanti Systems,Other,40.535316,-74.521435,2007,1.4082,1.4082,1,1,5500000,1,software,1,0,0,0,0,0,3,1,closed
c:70586,Astrid,CA,37.779281,-122.419236,2008,4.2849,4.2849,7,1,400000,2,other,0,1,0,0,0,0,3,1,acquired
c:26612,Nordic Windpower,CA,37.863464,-122.3153453,2007,0.7507,3.0137,3,3,54000000,0,other,1,0,0,0,1,0,2.6667,1,closed
c:57923,Visiprise,Other,34.070958000000005,-84.274733,1985,20.8055,20.8055,2,1,32000000,0,,0,0,0,1,0,0,7,1,closed
c:58133,Hubspan,Other,39.78373,-100.445882,2000,5.789,5.789,1,1,13000000,0,,0,0,0,0,0,1,4,1,acquired
c:5587,iConclude,Other,47.614422,-122.192337,2005,0.0849,1.2712,5,3,12500000,0,,1,0,1,1,0,0,2.3333,1,acquired
c:38338,41st Parameter,CA,37.314002,-121.932365,2004,2.3507,8.2822,16,4,38064570,2,other,1,0,0,1,1,1,3,1,acquired
c:202,Hotelicopter,Other,38.030823,-78.48158,2006,2.4658,4.8329,4,2,5000000,6,,0,0,1,1,0,0,1,0,closed
c:15652,Anystream,Other,39.035298,-77.430125,2000,0,7.1068,9,3,59000000,3,software,1,0,0,0,1,0,2,1,acquired
c:144825,CakeStyle,Other,39.78373,-100.445882,2011,1.0356,1.0356,2,1,1000000,2,web,0,1,0,0,0,0,1,0,closed
c:9772,Fluther,CA,37.758062,-122.418642,2007,2.7233,2.7233,5,1,600000,3,web,0,1,0,0,0,0,7,1,acquired
c:19101,Pocket Communications Northeast,Other,41.85361500000001,-72.70375,2006,2.8356,3.1397,0,2,125000000,2,mobile,0,0,1,1,0,0,2,1,closed
c:1612,Goodreads,CA,34.01052,-118.495981,2007,0.7945,2.9014,11,2,2750000,3,web,0,1,1,0,0,0,4,1,acquired
c:17620,Woven Systems,CA,37.3821368,-121.970505,2003,2.9178,4.7342,1,2,30000000,0,other,0,0,1,1,0,0,2.5,1,acquired
c:43873,Kolorific,CA,37.433646,-121.886704,2003,4.0137,4.0137,0,1,7000000,0,other,0,0,0,0,1,0,1,0,closed
c:3986,Krugle,CA,37.45604,-122.165399,2006,0.411,0.411,10,1,6100000,2,other,0,0,0,1,0,0,4,1,acquired
c:61592,Flud,CA,32.721834,-117.161797,2010,0.5315,1.9205,12,3,2100000,2,enterprise,1,1,0,0,0,0,4,1,closed
c:35236,Chomp,CA,37.779281,-122.419236,2009,0.1452,0.5014,10,2,2565000,3,mobile,0,1,1,0,0,0,3.5,1,acquired
c:31968,Origen Therapeutics,CA,37.584103000000006,-122.366082,1997,10.7589,10.7589,0,1,2000000,0,,0,0,0,0,0,0,1,0,closed
c:27620,Inlet Technologies,Other,35.76524000000001,-78.731161,2003,2.5671,5.6904,3,3,22400000,1,other,1,0,0,1,1,0,3.6667,1,acquired
c:9816,ShopWiki,NY,40.740441,-73.993376,2005,1.0822,,12,1,6250000,1,ecommerce,0,0,1,0,0,0,1,0,acquired
c:52566,Fondu,NY,40.750519,-73.993494,2010,1.7479,,4,1,575000,2,web,0,1,0,0,0,0,6,0,acquired
c:49236,Loudcaster,MA,42.387597,-71.099497,2009,0,,1,2,53000,1,web,0,1,0,0,0,0,1,1,closed
c:2234,TwoFish,CA,37.522281,-122.258139,2006,0.9151,,6,2,9500000,2,ecommerce,0,0,1,1,0,0,2.5,1,acquired
c:28482,Redwood Systems,CA,37.54827,-121.988572,2008,0.7562,,14,4,34250000,2,other,1,0,1,1,1,0,2.25,1,acquired
c:40324,Artisan Pharma,MA,42.37564,-71.2358,2006,0.6795,,2,5,85381111,0,biotech,0,0,1,1,1,0,4.6667,1,acquired
c:1595,Bill Me Later,Other,39.436844,-76.618704,2000,6.1671,,6,3,100000000,3,web,1,0,1,0,0,0,2.5,1,acquired
c:16562,Silicon Clocks,CA,37.554214,-121.977451,2004,2.4192,,2,3,26100000,1,other,1,0,0,1,0,0,3.5,1,acquired
c:18075,TheMarkets,NY,40.762674,-73.9821315,2000,7.5315,,2,1,30000000,1,web,1,0,0,0,0,0,5,1,acquired
c:86120,Netgamix Inc,Other,41.875555,-87.624421,2010,1.0575,,6,3,132885,2,games_video,0,1,0,0,0,0,1,1,closed
c:44650,Netli,CA,37.440682,-122.123103,2000,6.1233,,9,1,18000000,1,other,1,0,0,0,0,0,7,1,acquired
c:70021,Define My Style,Other,39.099909,-84.504243,2010,1.8329,,4,1,690000,1,web,0,1,0,0,0,0,3,1,closed
c:17660,Firethorn,Other,33.749099,-84.390185,2001,5.1644,,1,3,25131611,0,mobile,1,0,0,1,0,0,1,1,acquired
c:51745,Wellcore,CA,37.404788,-121.940842,2007,3.5288,,1,1,2000000,0,other,0,0,0,0,0,0,1,1,closed
c:25324,Taligen Therapeutics,MA,42.3634664,-71.0786638,2004,1.5836,,4,3,78750000,2,biotech,0,0,1,1,0,0,3.5,1,acquired
c:77,Adap.tv,CA,37.551441,-122.291435,2006,0.2521,,27,5,48500000,3,advertising,1,1,1,1,1,0,2.5,1,acquired
c:1895,Current Media,CA,37.77951820000001,-122.3902619,2005,0.5726,,12,1,15000000,2,other,0,0,1,0,0,0,3,0,closed
c:16593,ParAccel,CA,37.31665260000001,-122.05074,2007,0.9397,,13,5,74000000,0,other,1,0,0,1,1,0,5.3333,1,acquired
c:16289,Arch Rock Corporation,CA,37.783171,-122.392901,2005,0.7479,,6,2,15000000,1,software,0,0,1,1,0,0,3,1,acquired
c:575,SpiralFrog,NY,37.09024,-95.712891,2004,2.0027,,8,3,45000000,3,games_video,0,0,1,0,0,0,1,0,closed
c:15562,Plusmo,CA,37.400367,-121.985711,2006,1.9178,,4,1,4410000,1,mobile,0,0,1,0,0,0,1,1,acquired
c:62432,ZipList,Other,39.001619,-77.403201,2010,0,,9,2,4500000,2,web,0,0,1,1,0,0,2,1,acquired
c:8100,Involver,CA,37.788653,-122.401333,2007,1.6712,,11,3,11040000,2,software,0,0,1,1,1,0,2.5,1,acquired
c:62262,Lionside,CA,37.779281,-122.419236,2009,1.8822,,6,1,1600000,2,games_video,0,0,1,0,0,0,3,1,acquired
c:3686,Game Trust,NY,40.73901,-73.997259,2002,3.4164,,3,2,9000000,1,software,1,0,0,1,0,0,4,1,acquired
c:82805,Nearbuy Systems,CA,37.548418700000006,-122.3151646,2010,1.3041,,4,3,3282327,2,other,1,0,0,0,0,0,2,1,acquired
c:196,Visible Path,CA,37.55818,-122.276454,2002,4.1644,,5,2,24700000,5,web,0,0,1,1,0,0,4,1,acquired
c:28114,VT Silicon,Other,33.774486,-84.385448,2002,5.6986,,2,2,8800000,0,other,1,0,1,0,0,0,1,1,closed
c:13277,GetBack,CA,34.03423370000001,-118.4536137,2007,1.1836,,1,1,1700000,1,web,0,0,1,0,0,0,1,0,closed
c:63217,Slipstream,CA,37.835676,-122.263548,2010,0.2493,,1,1,20000,2,web,0,1,0,0,0,0,1,0,closed
c:2534,HipLogic,CA,37.5541073,-121.9756765,2005,3.1041,,10,2,11500000,5,mobile,0,0,1,1,0,0,2.5,1,acquired
c:5264,Dilithium Networks,CA,38.279431,-122.668452,2001,2.3068,,12,7,98170000,3,mobile,1,0,0,1,1,1,5.2,1,closed
c:58512,Yobongo,CA,37.7824533,-122.3879489,2010,1.2219,,2,1,1350000,3,web,0,1,0,0,0,0,10,1,acquired
c:58512,Yobongo,CA,37.7824533,-122.3879489,2010,1.2219,,2,1,1350000,3,web,0,1,0,0,0,0,10,1,acquired
c:58512,Yobongo,CA,37.7824533,-122.3879489,2010,1.2219,,2,1,1350000,3,web,0,1,0,0,0,0,10,1,acquired
c:58512,Yobongo,CA,37.7824533,-122.3879489,2010,1.2219,,2,1,1350000,3,web,0,1,0,0,0,0,10,1,acquired
c:12957,Brickfish,Other,41.8851542,-87.6223183,2005,4.7068,,17,1,940261,2,software,0,0,1,0,0,0,1,1,acquired
c:34499,MyEnergy,MA,42.360253,-71.058291,2007,1.6658,,12,2,4000000,3,web,0,1,1,0,0,0,3,1,acquired
c:34028,LikeList,CA,37.36883,-122.03635,2008,1.9562,,5,1,5000000,1,web,0,0,1,0,0,0,1,0,closed
c:23335,Social Collective,Other,38.881717,-77.089398,2009,0.0027,,3,1,20000,1,web,0,1,0,0,0,0,1,0,closed
c:30526,Pure Networks,Other,47.60732,-122.335746,2002,4.0301,,5,1,12500000,1,other,0,0,0,1,0,0,3,1,acquired
c:42519,Internet Pawn,Other,39.568064,-104.977831,2009,1.3397,,0,5,7228704,2,other,1,0,1,0,0,0,2,1,closed
c:48376,NeuroTherapeutics Pharma,Other,41.940611,-87.835972,2006,4.3836,,5,2,55000000,1,biotech,1,0,0,1,0,0,4,1,closed
c:15693,Provade,CA,37.560155,-122.285588,2004,2.063,,5,4,15180000,0,enterprise,1,0,1,0,1,0,1,1,acquired
c:47587,Infineta Systems,CA,37.404788,-121.940842,2008,2.3479,,4,2,30000000,2,software,0,0,1,1,0,0,2.5,1,closed
c:1669,Challenge Games,TX,30.268236,-97.740651,2006,2.5233,,11,2,14500000,3,other,0,0,1,1,0,0,1.5,1,acquired
c:421,Crowd Factory,CA,37.758229,-122.439512,2009,2.0685,,6,1,6500000,3,advertising,1,0,0,0,0,0,3,1,acquired
c:155621,Friendsignia,Other,35.149021999999995,-90.051628,2012,0,,2,1,15000,1,web,0,1,0,0,0,0,1,0,closed
c:40782,Vizibility,NY,40.730646,-73.986614,2009,0.7288,,5,5,4705910,3,mobile,1,1,0,0,0,0,3,1,acquired
c:51306,OpenFeint,CA,37.5783263,-122.3485679,2008,2.8055,,6,1,3000000,2,games_video,1,0,0,0,0,0,1,1,acquired
c:1088,Tumblr,NY,40.743808,-73.983626,2007,0.7452,,30,6,125250000,5,web,1,0,1,1,1,1,3.5,1,acquired
c:34522,Hotlist,NY,40.730646,-73.986614,2008,0.3315,,8,4,1449998,3,other,1,1,0,0,0,0,1,1,closed
c:83692,Crashlytics,MA,42.3751,-71.105616,2011,0.6959,,5,2,6000000,3,mobile,0,1,1,0,0,0,6,1,acquired
c:43831,BridgePoint Medical,Other,45.006515,-93.46651,2005,2.0603,,7,3,28200000,0,other,1,0,0,1,1,0,3,1,acquired
c:28428,Recurve,CA,37.777741,-122.412198,2005,3.1479,,5,2,14000000,1,software,1,0,1,0,0,0,2,1,acquired
c:17974,Conformity,TX,30.35504,-97.801083,2007,1.5808,,14,1,3000000,2,enterprise,0,0,1,0,0,0,1,0,closed
c:81475,Moprise,Other,39.78373,-100.445882,2010,1.5151,,6,2,2238055,1,enterprise,1,1,0,0,0,0,1,1,closed
c:76543,Plizy,CA,37.779281,-122.419236,2010,0.7123,,5,2,5200000,2,other,1,0,1,0,0,0,1,1,closed
c:84161,ShopRunner,Other,40.0708709,-75.302716,2010,3.6329,,4,1,75000000,4,ecommerce,1,0,0,0,0,0,1,0,acquired
c:810,RatePoint,MA,42.296111,-71.238524,2006,0.411,,13,4,24500000,4,software,0,0,1,1,1,0,2.5,1,closed
c:16488,Digital Performance,CA,33.63776,-117.855989,2002,4.9068,,3,3,4476171,0,advertising,1,0,1,0,0,0,2,1,closed
c:11042,Gowalla,TX,30.2729209,-97.7443863,2007,0.5014,,21,3,10400001,3,web,0,0,1,1,0,0,6,1,acquired
c:17633,Copan Systems,Other,40.138979,-105.124465,2002,4.1836,,8,3,68400000,1,other,1,0,0,0,1,1,6.5,1,acquired
c:3187,Replay Solutions,CA,37.512318,-122.200914,2004,2.9288,,13,2,15200000,0,software,0,0,1,1,0,0,2,1,acquired
c:164922,Turf Geography Club,NY,40.728425,-73.999882,2011,0.6192,,2,2,890000,0,mobile,0,1,0,0,0,0,3,1,closed
c:81886,skyrockit,CA,37.779281,-122.419236,2001,10.5315,,0,1,2600000,0,mobile,1,0,0,0,0,0,1,1,closed
c:54585,Cartavi,Other,41.800255,-88.149362,2009,3.8685,,7,1,1226270,2,enterprise,0,1,0,0,0,0,1,1,acquired
c:11507,Cramster,CA,34.147047,-118.148896,2002,6.737,,5,2,9000000,1,web,0,0,1,1,0,0,1,0,acquired
c:24860,Certify Data Systems,CA,37.317847,-121.948469,2004,4.6521,,4,4,7210210,1,enterprise,1,0,1,1,0,0,1,0,acquired
c:148750,Wheelz,CA,37.779281,-122.419236,2011,0.7397,,15,2,15700000,1,other,0,0,1,0,0,0,3,1,acquired
c:45611,CentrePath,MA,42.37564,-71.2358,2000,5.6849,,4,2,15050000,1,software,1,0,0,0,1,0,2.5,1,acquired
c:4106,VoxPop Network Corporation,CA,37.8093381,-122.4166061,2006,0.7479,,5,2,3500000,2,games_video,0,0,1,1,0,0,3,1,acquired
c:17775,OpVista,CA,37.43841079999999,-121.9240273,2000,6.4767,,2,2,43000000,1,software,0,0,0,0,1,1,1,1,closed
c:144,Metaweb Technologies,CA,37.775196,-122.419204,2005,1.1616,,7,2,57000000,2,web,0,0,1,1,0,0,3.5,1,acquired
c:13046,DocVerse,CA,37.78811500000001,-122.397141,2007,0.8932,,8,1,1300000,4,web,0,1,0,0,0,0,4,1,acquired
c:40,Veoh,CA,32.902266,-117.20834,2004,1.4986,,15,4,69750000,4,games_video,0,0,1,1,1,1,5,1,acquired
c:26460,BzzAgent,MA,42.341899,-71.065924,2001,3,,16,2,14500000,2,advertising,0,1,0,1,0,0,2,1,acquired
c:15887,Hammerhead Systems,CA,37.40006,-122.049689,2002,4.0849,,2,2,48000000,0,other,0,0,0,0,1,1,6,1,closed
c:36742,ThermalTherapeuticSystems,Other,40.418851,-79.904163,2006,3.5041,,3,2,3508462,0,other,1,0,1,0,0,0,3,1,closed
c:3962,GuardianEdge Technologies,CA,37.778613,-122.395289,2002,3.4301,,10,3,19500000,1,software,0,0,1,1,0,0,3.3333,1,acquired
c:162116,Gradient X,CA,34.019657,-118.487549,2012,0.4685,,5,1,3750000,3,mobile,0,0,0,0,0,0,9,1,acquired
c:55044,ezzai - how to arabia,Other,41.817807,-88.173402,2010,0,,1,1,45000000,0,web,0,0,0,0,0,0,2,0,closed
c:7207,rPath,Other,35.79181,-78.74123,2005,0.8164,,8,4,32500000,3,enterprise,0,0,1,1,1,1,2.75,1,closed
c:863,Boomi,Other,40.063476,-75.457492,2000,1.8384,,4,2,4900000,5,enterprise,0,1,0,1,0,0,1.5,1,acquired
c:16066,VoloMedia,,37.382376,-122.037607,2005,2.2986,,4,2,12000000,3,advertising,0,0,0,1,1,0,2,1,closed
c:220,Flixster,,37.76690900000001,-122.406676,2006,0.0329,,12,3,7175000,6,web,0,1,1,1,0,0,2.6667,1,acquired
c:54,Wesabe,,37.793148,-122.402567,2005,1.1699,,3,2,4700000,4,web,0,1,1,0,0,0,1.5,1,closed
