section,office_hours,majors,past_experience,python_comfort,ta_hours
J,"in person.,on zoom.",Finance,CS 105,3,Friday 10am-12pm
I,"in person.,on zoom.",Strategic Business Development & Entrepreneurship,"CS 105

BADM 352",2,Friday 10am-12pm
J,on zoom.,Finance,I taken STAT 100 and STAT 203. I also took IS 107.,3,Monday 8pm-10pm
J,in person.,Accountancy,"CS 105

BADM 210",2,Thursday 5pm-7pm
I,"in person.,on zoom.",Accountancy,I have taken Badm 210 and CS 125,3,Thursday 5pm-7pm
J,on zoom.,Finance,"AP Statistics, CS 105, BADM 210, SQL Essential Training",2,Friday 10am-12pm
J,"in person.,on zoom.",Finance,CS 105 and AP Stats,2,Friday 10am-12pm
I,in person.,Accountancy,"CS125, and a Negotiate AI-Robot Python Program",5,Friday 10am-12pm
J,on zoom.,Accountancy,"BADM 210, CS 105",2,Thursday 5pm-7pm
I,"in person.,on zoom.",Accountancy,"I have taken CS 105, BADM 210, and STAT 200. ",2,Friday 10am-12pm
J,in person.,Accountancy,"Ap Computer Science, CS 105",2,Sunday 6-8pm
J,in person.,Finance,"CS 105, BADM 350, BADM 210",3,Thursday 5pm-7pm
J,in person.,Accountancy,"AP Computer Science, CS 105, BADM 210",3,Sunday 6-8pm
J,on zoom.,Accountancy,"I took an intro to computer programming class at community college. We only worked in C++, so this will be my first time using python. ",2,Friday 10am-12pm
J,"in person.,on zoom.",Finance,"CS 105, I also took AP Computer Science Principles in high school, BADM 210",4,Sunday 6-8pm
J,on zoom.,Marketing,cs 105,1,Monday 8pm-10pm
J,in person.,Supply Chain Management,"AP CS, CS 124, BADM 210",5,Thursday 5pm-7pm
J,on zoom.,Finance,"AP Comp Sci A

BADM 210",2,Sunday 6-8pm
J,in person.,Accountancy,"AP Stats, AP Computer Science A, BADM 210",2,Monday 8pm-10pm
I,in person.,Accountancy,"BADM 210, CS105 ",2,Sunday 6-8pm
J,on zoom.,Accountancy,BADM 210,1,Thursday 5pm-7pm
J,in person.,Finance,"BADM 210, ap cs A",2,Friday 10am-12pm
I,on zoom.,Finance,"Badm 210 (UIUC)

PRG 105 (McHenry County College)",2,Friday 10am-12pm
I,in person.,Accountancy,CS105 and BADM210,2,Thursday 5pm-7pm
I,on zoom.,Finance,"CS 105, BADM 210",2,Monday 8pm-10pm
I,on zoom.,Finance,"I have taken a programming class that specialized in python, BADM 210, and many finance classes that use data.",3,Friday 10am-12pm
I,in person.,Finance,"CS 105, BADM 210",3,Monday 8pm-10pm
,in person.,Accountancy,"cs 105, badm 210, badm 352",1,Friday 10am-12pm
I,"in person.,on zoom.",Accountancy,"BADM 210

CS 105

BADM 353

BADM 352",4,Friday 10am-12pm
I,on zoom.,Accountancy,"AP Computer Science principles, CS 105",2,Thursday 5pm-7pm
I,in person.,Accountancy,"Badm 210

CS 105

Game Design (High School)",2,Sunday 6-8pm
I,in person.,Supply Chain Management,Cs105 ,2,Thursday 5pm-7pm
I,"in person.,on zoom.",Management,"The courses have I taken at UIUC that are related to statistics, programming, and data science is CS 105, Stat 100, and BADM210.",2,Thursday 5pm-7pm
I,in person.,Accountancy,Ap stats and Ap comp sci in high school,5,Sunday 6-8pm
I,on zoom.,Accountancy,"AP Statistics, AP Computer Science (Java)",3,Thursday 5pm-7pm
I,in person.,Accountancy,CS 105 and BADM 210.,3,Thursday 5pm-7pm
J,in person.,Accountancy,"AP Statistics, CS 105 and BADM 210.",2,Friday 10am-12pm
I,on zoom.,Finance,CS 105. I took AP CS back in High school and learned Javascript. Attempted to learn R during the summer on Codeacademy.,3,Thursday 5pm-7pm
J,in person.,Finance,"AP CS Java(HIghschool)

Cs 105

Badm 210",3,Monday 8pm-10pm
I,on zoom.,Management,"CS 105, BADM 210",2,Friday 10am-12pm
J,"in person.,on zoom.",Accountancy,"AP Statistics (High School)

CS 105

BADM 210",2,Thursday 5pm-7pm
J,in person.,Accountancy,"AP Statistics, CS 105, BADM 210",2,Sunday 6-8pm
I,on zoom.,Accountancy,"BADM 210, AP Stats, CS 105, AP Comp Sci A",4,Monday 8pm-10pm
I,"in person.,on zoom.",Accountancy,CS 105 and BADM 210 ,1,Friday 10am-12pm
I,on zoom.,Accountancy,"CS 105 at UIUC, AP Statistics in High School",3,Sunday 6-8pm
J,in person.,Information Systems,"BADM 210

freeCodeCamp

 ",3,Friday 10am-12pm
J,in person.,Accountancy,AP computer science A and computer programming in high school. CS 105 and BADM 210,3,Sunday 6-8pm
I,in person.,Marketing,"CS 105

Computer Science in HS",1,Sunday 6-8pm
I,on zoom.,Finance,"I have took CS105, CS124, STAT100, and BADM210.",4,Sunday 6-8pm
I,"in person.,on zoom.",Supply Chain Management,"CS 105, MATH 234",3,Friday 10am-12pm
I,in person.,Finance,CS105 BADM210,3,Friday 10am-12pm
J,"in person.,on zoom.",Accountancy,I took computer science courses in high school but it's all basics about html.,3,Friday 10am-12pm
J,on zoom.,Finance,"AP stats

CS 105

BADM 210",2,Sunday 6-8pm
I,in person.,Information Systems,I took C++ in high school and know a bit about Java from online resources.,5,Friday 10am-12pm
J,"in person.,on zoom.",Finance,CS105 and BADM210,3,Friday 10am-12pm
I,in person.,Accountancy,"CS 105: my first programming and statistics-related course, taken freshman year of college here ad UIUC.

 ",2,Thursday 5pm-7pm
J,"in person.,on zoom.",Accountancy,"Computer Science (High School), CS105, BADM 210",2,Friday 10am-12pm
I,on zoom.,Finance,"AP Statistics, CS 105, AP Computer Science Principles, Business Analytics I",2,Friday 10am-12pm
