,Airline,Source,Destination,Total_Stops,Price,Year,Total_duration,Dep_time_of_day,Arrival_time_of_day
119,Jet Airways,Delhi,Cochin,1,15554,2019,715,Morning,Evening
120,SpiceJet,Banglore,Delhi,0,3971,2019,160,Night,Morning
121,Air India,Mumbai,Hyderabad,0,3100,2019,85,Afternoon,Afternoon
122,Jet Airways,Kolkata,Banglore,1,9663,2019,845,Evening,Morning
124,IndiGo,Chennai,Kolkata,0,3540,2019,145,Night,Morning
125,Air India,Kolkata,Banglore,2,10676,2019,1390,Afternoon,Morning
126,Jet Airways,Kolkata,Banglore,1,13044,2019,1090,Afternoon,Morning
127,Jet Airways,Kolkata,Banglore,1,14388,2019,960,Evening,Afternoon
128,IndiGo,Banglore,Delhi,0,3943,2019,170,Night,Morning
129,IndiGo,Chennai,Kolkata,0,3597,2019,140,Afternoon,Evening
130,Air India,Banglore,New Delhi,1,5932,2019,480,Morning,Evening
131,Jet Airways,Delhi,Cochin,1,10262,2019,1015,Morning,Night
132,Vistara,Delhi,Cochin,0,6216,2019,190,Afternoon,Evening
133,IndiGo,Kolkata,Banglore,0,4804,2019,165,Evening,Night
134,Multiple carriers,Delhi,Cochin,1,14067,2019,840,Morning,Night
135,Jet Airways,Delhi,Cochin,2,15129,2019,1430,Evening,Evening
136,Jet Airways,Delhi,Cochin,2,13376,2019,1300,Morning,Night
137,Air India,Delhi,Cochin,2,10441,2019,1275,Night,Evening
138,Jet Airways,Banglore,Delhi,0,4030,2019,165,Morning,Morning
139,Jet Airways,Delhi,Cochin,1,17024,2019,650,Morning,Evening
140,Multiple carriers,Delhi,Cochin,1,13017,2019,480,Evening,Night
141,GoAir,Kolkata,Banglore,1,6686,2019,495,Night,Morning
142,IndiGo,Delhi,Cochin,1,5636,2019,325,Night,Morning
143,IndiGo,Delhi,Cochin,1,6442,2019,515,Morning,Afternoon
144,Multiple carriers,Delhi,Cochin,1,9486,2019,710,Afternoon,Night
145,Jet Airways,Kolkata,Banglore,1,10844,2019,1655,Evening,Night
146,Jet Airways,Delhi,Cochin,2,15318,2019,505,Evening,Night
147,Air India,Delhi,Cochin,1,5117,2019,1255,Afternoon,Morning
148,IndiGo,Delhi,Cochin,1,6147,2019,290,Afternoon,Evening
149,Multiple carriers,Delhi,Cochin,1,7005,2019,490,Afternoon,Evening
150,SpiceJet,Kolkata,Banglore,0,3873,2019,140,Night,Night
151,Jet Airways,Delhi,Cochin,2,9270,2019,1465,Evening,Evening
152,GoAir,Banglore,Delhi,0,3898,2019,170,Morning,Afternoon
153,Jet Airways,Kolkata,Banglore,1,14781,2019,740,Morning,Evening
154,Jet Airways,Kolkata,Banglore,1,8586,2019,735,Evening,Morning
155,Air India,Kolkata,Banglore,2,10697,2019,1415,Morning,Morning
156,Jet Airways,Delhi,Cochin,2,14300,2019,995,Evening,Afternoon
157,IndiGo,Banglore,New Delhi,0,8855,2019,170,Evening,Evening
158,Jet Airways,Kolkata,Banglore,1,10844,2019,1545,Afternoon,Evening
159,Jet Airways,Delhi,Cochin,1,17024,2019,1570,Night,Night
160,Jet Airways,Kolkata,Banglore,1,9314,2019,1730,Morning,Afternoon
161,IndiGo,Banglore,New Delhi,0,4777,2019,165,Night,Night
162,Air India,Kolkata,Banglore,1,7662,2019,1515,Afternoon,Afternoon
163,IndiGo,Delhi,Cochin,1,6442,2019,560,Morning,Afternoon
164,SpiceJet,Delhi,Cochin,1,5264,2019,270,Morning,Afternoon
165,Jet Airways,Delhi,Cochin,1,12898,2019,925,Afternoon,Night
166,Air India,Mumbai,Hyderabad,0,6092,2019,90,Afternoon,Afternoon
167,SpiceJet,Banglore,Delhi,0,3311,2019,160,Night,Morning
168,Jet Airways,Delhi,Cochin,1,6540,2019,550,Evening,Night
169,IndiGo,Banglore,Delhi,0,3419,2019,165,Night,Night
170,Jet Airways,Delhi,Cochin,1,5177,2019,1355,Afternoon,Afternoon
171,Air India,Delhi,Cochin,0,8246,2019,185,Evening,Evening
172,Jet Airways,Kolkata,Banglore,1,14676,2019,690,Morning,Evening
173,Multiple carriers,Delhi,Cochin,1,13587,2019,570,Morning,Evening
174,Jet Airways,Kolkata,Banglore,1,9663,2019,730,Evening,Morning
175,Jet Airways,Kolkata,Banglore,1,13044,2019,1055,Afternoon,Morning
176,IndiGo,Delhi,Cochin,1,5073,2019,305,Evening,Night
177,Vistara,Kolkata,Banglore,1,9345,2019,1550,Evening,Evening
178,Jet Airways,Kolkata,Banglore,1,9663,2019,1200,Afternoon,Morning
179,Multiple carriers,Delhi,Cochin,1,14277,2019,780,Morning,Evening
180,Jet Airways,Delhi,Cochin,1,10262,2019,1105,Morning,Night
181,Jet Airways,Mumbai,Hyderabad,0,5678,2019,90,Evening,Evening
182,Multiple carriers,Delhi,Cochin,1,13727,2019,570,Afternoon,Night
183,Jet Airways,Kolkata,Banglore,1,9663,2019,960,Evening,Afternoon
184,IndiGo,Chennai,Kolkata,0,3858,2019,140,Afternoon,Evening
185,SpiceJet,Delhi,Cochin,1,4812,2019,270,Morning,Afternoon
186,IndiGo,Delhi,Cochin,1,5775,2019,345,Evening,Night
187,Jet Airways,Kolkata,Banglore,1,10539,2019,1450,Morning,Morning
188,IndiGo,Kolkata,Banglore,0,4804,2019,155,Afternoon,Evening
189,Air Asia,Banglore,Delhi,0,3383,2019,165,Morning,Afternoon
190,IndiGo,Banglore,New Delhi,1,8738,2019,295,Afternoon,Evening
191,Air India,Delhi,Cochin,1,7165,2019,1535,Night,Morning
192,IndiGo,Delhi,Cochin,1,6412,2019,380,Afternoon,Night
193,Jet Airways,Banglore,Delhi,0,8016,2019,185,Evening,Night
194,Jet Airways,Banglore,New Delhi,1,11087,2019,1120,Evening,Afternoon
195,SpiceJet,Chennai,Kolkata,0,3543,2019,135,Morning,Afternoon
196,Jet Airways,Kolkata,Banglore,1,12471,2019,730,Afternoon,Night
197,Jet Airways,Delhi,Cochin,1,10262,2019,1165,Morning,Night
198,Air India,Banglore,New Delhi,0,4441,2019,170,Afternoon,Afternoon
199,Multiple carriers,Delhi,Cochin,1,12537,2019,505,Morning,Afternoon
200,GoAir,Kolkata,Banglore,1,10091,2019,555,Night,Morning
201,Air India,Banglore,Delhi,0,6961,2019,170,Evening,Night
202,IndiGo,Delhi,Cochin,0,5013,2019,195,Night,Morning
203,Air India,Delhi,Cochin,0,6934,2019,170,Night,Morning
204,Multiple carriers,Delhi,Cochin,1,10877,2019,740,Morning,Evening
205,Jet Airways,Banglore,Delhi,0,7229,2019,175,Afternoon,Evening
206,IndiGo,Delhi,Cochin,1,7048,2019,575,Afternoon,Night
207,Vistara,Banglore,Delhi,0,4878,2019,155,Evening,Evening
208,Jet Airways,Kolkata,Banglore,1,10844,2019,570,Afternoon,Night
209,Jet Airways,Delhi,Cochin,2,15129,2019,1760,Night,Night
210,IndiGo,Banglore,Delhi,0,3943,2019,175,Night,Night
211,SpiceJet,Delhi,Cochin,1,5583,2019,315,Morning,Morning
212,Multiple carriers,Delhi,Cochin,1,9646,2019,545,Morning,Afternoon
213,Multiple carriers,Delhi,Cochin,1,7677,2019,645,Morning,Evening
214,IndiGo,Delhi,Cochin,1,6842,2019,295,Night,Morning
215,Jet Airways,Mumbai,Hyderabad,0,4995,2019,90,Morning,Morning
216,Vistara,Kolkata,Banglore,1,9555,2019,700,Morning,Evening
217,IndiGo,Banglore,Delhi,0,4077,2019,165,Night,Night
218,Jet Airways,Banglore,Delhi,0,7229,2019,175,Afternoon,Evening
219,Multiple carriers,Delhi,Cochin,1,12192,2019,600,Morning,Evening
220,Air India,Banglore,Delhi,0,5911,2019,165,Morning,Afternoon
221,Air India,Delhi,Cochin,1,8372,2019,615,Morning,Evening
222,Jet Airways,Mumbai,Hyderabad,0,4995,2019,85,Morning,Morning
223,Multiple carriers,Delhi,Cochin,1,14323,2019,555,Morning,Evening
224,Jet Airways,Delhi,Cochin,2,13014,2019,1375,Night,Night
225,Air India,Delhi,Cochin,2,13591,2019,1730,Afternoon,Evening
227,IndiGo,Banglore,Delhi,0,3943,2019,170,Night,Night
228,SpiceJet,Mumbai,Hyderabad,0,1965,2019,90,Night,Morning
229,Jet Airways,Mumbai,Hyderabad,0,4995,2019,90,Morning,Morning
230,Air India,Kolkata,Banglore,1,14641,2019,1540,Afternoon,Evening
231,Air India,Kolkata,Banglore,0,4460,2019,155,Evening,Night
232,Air India,Delhi,Cochin,1,10191,2019,375,Afternoon,Evening
233,Jet Airways,Delhi,Cochin,1,13843,2019,1050,Night,Evening
234,IndiGo,Delhi,Cochin,1,6349,2019,345,Evening,Night
235,Air Asia,Kolkata,Banglore,0,4409,2019,155,Morning,Afternoon
236,Jet Airways,Delhi,Cochin,1,17024,2019,1530,Evening,Evening
237,Multiple carriers,Delhi,Cochin,1,13727,2019,835,Morning,Evening
238,IndiGo,Banglore,New Delhi,0,8855,2019,175,Evening,Evening
239,Multiple carriers,Delhi,Cochin,1,12524,2019,615,Morning,Evening
240,Jet Airways,Banglore,New Delhi,1,13555,2019,520,Morning,Evening
241,Jet Airways,Kolkata,Banglore,1,10844,2019,330,Morning,Afternoon
242,Multiple carriers,Delhi,Cochin,1,13587,2019,720,Morning,Evening
243,SpiceJet,Chennai,Kolkata,0,3543,2019,135,Morning,Afternoon
244,Vistara,Chennai,Kolkata,0,4842,2019,135,Morning,Morning
245,IndiGo,Banglore,Delhi,0,3943,2019,170,Night,Night
246,Jet Airways,Delhi,Cochin,1,10577,2019,550,Evening,Night
247,IndiGo,Delhi,Cochin,1,6979,2019,625,Morning,Evening
248,Vistara,Chennai,Kolkata,0,11982,2019,140,Evening,Evening
249,SpiceJet,Delhi,Cochin,1,5264,2019,270,Morning,Afternoon
250,Vistara,Delhi,Cochin,0,8001,2019,190,Morning,Morning
251,Air India,Delhi,Cochin,2,10651,2019,1410,Evening,Evening
252,Jet Airways,Kolkata,Banglore,1,10844,2019,1640,Afternoon,Evening
253,Multiple carriers,Delhi,Cochin,1,6601,2019,755,Morning,Night
254,Air India,Delhi,Cochin,1,6587,2019,1455,Evening,Evening
255,SpiceJet,Mumbai,Hyderabad,0,3173,2019,80,Afternoon,Afternoon
256,Air India,Banglore,Delhi,0,5228,2019,165,Morning,Afternoon
257,Jet Airways,Banglore,Delhi,0,5769,2019,180,Morning,Morning
258,Jet Airways,Delhi,Cochin,1,14714,2019,660,Morning,Evening
259,Jet Airways,Delhi,Cochin,2,13014,2019,810,Night,Evening
260,IndiGo,Banglore,Delhi,0,3359,2019,170,Night,Night
261,GoAir,Banglore,New Delhi,0,6722,2019,175,Evening,Night
262,IndiGo,Kolkata,Banglore,0,4462,2019,165,Morning,Afternoon
263,IndiGo,Delhi,Cochin,1,6171,2019,675,Night,Afternoon
264,Air India,Kolkata,Banglore,2,12303,2019,875,Night,Evening
265,Multiple carriers,Delhi,Cochin,1,7695,2019,835,Morning,Night
266,IndiGo,Delhi,Cochin,1,5684,2019,845,Morning,Night
267,Air India,Kolkata,Banglore,1,8366,2019,905,Afternoon,Morning
268,Air India,Chennai,Kolkata,0,19630,2019,135,Morning,Afternoon
269,Jet Airways,Banglore,New Delhi,1,13502,2019,900,Afternoon,Night
270,Jet Airways,Kolkata,Banglore,1,14781,2019,775,Evening,Morning
271,Multiple carriers,Delhi,Cochin,1,6513,2019,540,Morning,Afternoon
272,Air India,Delhi,Cochin,1,9929,2019,735,Morning,Evening
273,Multiple carriers,Delhi,Cochin,2,18275,2019,460,Evening,Night
274,Air India,Delhi,Cochin,1,4487,2019,1640,Morning,Morning
275,IndiGo,Mumbai,Hyderabad,0,2754,2019,85,Evening,Night
276,Air India,Mumbai,Hyderabad,0,2575,2019,80,Morning,Morning
277,SpiceJet,Kolkata,Banglore,1,8224,2019,330,Afternoon,Evening
278,Air India,Delhi,Cochin,1,8991,2019,705,Evening,Morning
279,IndiGo,Delhi,Cochin,0,5000,2019,195,Night,Morning
280,Jet Airways,Kolkata,Banglore,1,8529,2019,1495,Evening,Evening
281,Air India,Delhi,Cochin,1,14042,2019,1640,Morning,Morning
282,Jet Airways,Banglore,Delhi,0,4030,2019,175,Morning,Afternoon
283,Jet Airways,Kolkata,Banglore,1,10844,2019,1025,Evening,Afternoon
284,IndiGo,Kolkata,Banglore,0,4804,2019,160,Evening,Night
285,Multiple carriers,Delhi,Cochin,1,7308,2019,480,Evening,Night
286,IndiGo,Banglore,Delhi,0,4823,2019,180,Afternoon,Evening
287,Jet Airways,Delhi,Cochin,1,10262,2019,1655,Morning,Afternoon
288,Jet Airways,Delhi,Cochin,1,12898,2019,450,Evening,Night
289,Air India,Banglore,New Delhi,2,12778,2019,1375,Evening,Afternoon
290,IndiGo,Delhi,Cochin,1,14871,2019,515,Night,Afternoon
291,Air India,Delhi,Cochin,2,8708,2019,1795,Afternoon,Evening
292,Jet Airways,Kolkata,Banglore,1,10844,2019,1335,Evening,Evening
293,SpiceJet,Mumbai,Hyderabad,0,4129,2019,80,Night,Morning
294,IndiGo,Kolkata,Banglore,0,4804,2019,160,Evening,Night
295,Jet Airways,Banglore,Delhi,0,7229,2019,180,Morning,Morning
296,Jet Airways,Banglore,New Delhi,1,7832,2019,730,Morning,Evening
297,SpiceJet,Chennai,Kolkata,0,3859,2019,155,Morning,Afternoon
298,Multiple carriers,Delhi,Cochin,1,9001,2019,705,Morning,Evening
299,Vistara,Banglore,Delhi,0,4878,2019,155,Evening,Evening
300,IndiGo,Mumbai,Hyderabad,0,2754,2019,90,Night,Night
301,Vistara,Banglore,Delhi,0,4668,2019,160,Morning,Morning
302,Air Asia,Kolkata,Banglore,0,5216,2019,155,Morning,Afternoon
303,Jet Airways,Delhi,Cochin,2,10368,2019,1375,Night,Night
304,IndiGo,Delhi,Cochin,2,8146,2019,880,Morning,Evening
305,Jet Airways,Delhi,Cochin,1,12242,2019,925,Afternoon,Night
306,Jet Airways,Banglore,New Delhi,1,9134,2019,435,Morning,Afternoon
307,Air India,Delhi,Cochin,2,10939,2019,1210,Afternoon,Morning
308,Air India,Delhi,Cochin,2,11753,2019,1245,Morning,Morning
309,SpiceJet,Kolkata,Banglore,0,4174,2019,150,Evening,Evening
310,Jet Airways,Kolkata,Banglore,1,10844,2019,1430,Evening,Evening
311,Jet Airways,Delhi,Cochin,1,14714,2019,1620,Afternoon,Evening
312,Jet Airways,Kolkata,Banglore,1,9899,2019,330,Morning,Afternoon
313,IndiGo,Delhi,Cochin,1,14871,2019,710,Morning,Evening
314,IndiGo,Chennai,Kolkata,0,7295,2019,135,Afternoon,Afternoon
315,Air India,Delhi,Cochin,2,13465,2019,1470,Evening,Evening
316,SpiceJet,Chennai,Kolkata,0,3543,2019,140,Evening,Evening
317,Multiple carriers,Delhi,Cochin,1,7198,2019,390,Evening,Night
318,Jet Airways,Delhi,Cochin,1,10262,2019,1225,Morning,Night
319,IndiGo,Kolkata,Banglore,0,4148,2019,155,Afternoon,Evening
320,Jet Airways,Banglore,Delhi,0,8016,2019,175,Afternoon,Evening
321,Jet Airways,Delhi,Cochin,1,10262,2019,335,Night,Night
322,SpiceJet,Kolkata,Banglore,0,3841,2019,150,Afternoon,Evening
323,Jet Airways,Banglore,New Delhi,1,11507,2019,885,Morning,Night
324,Jet Airways,Kolkata,Banglore,1,14781,2019,740,Morning,Evening
325,Jet Airways,Delhi,Cochin,1,16079,2019,1530,Evening,Evening
326,Jet Airways,Delhi,Cochin,1,12898,2019,335,Night,Night
327,Multiple carriers,Delhi,Cochin,1,15353,2019,705,Morning,Evening
328,IndiGo,Banglore,New Delhi,0,7303,2019,175,Evening,Evening
329,SpiceJet,Kolkata,Banglore,1,6197,2019,340,Afternoon,Evening
330,Air India,Kolkata,Banglore,1,8996,2019,245,Morning,Afternoon
331,IndiGo,Delhi,Cochin,1,6528,2019,480,Afternoon,Night
332,GoAir,Banglore,Delhi,0,4239,2019,165,Evening,Night
333,IndiGo,Kolkata,Banglore,0,4148,2019,160,Evening,Night
334,SpiceJet,Banglore,Delhi,0,3971,2019,175,Evening,Night
335,Air Asia,Kolkata,Banglore,1,5192,2019,955,Morning,Night
336,Jet Airways,Delhi,Cochin,2,9483,2019,1390,Afternoon,Afternoon
337,Jet Airways,Delhi,Cochin,2,18804,2019,440,Morning,Evening
338,Air India,Delhi,Cochin,0,5201,2019,170,Night,Morning
339,Jet Airways,Delhi,Cochin,1,16079,2019,450,Morning,Evening
340,Jet Airways,Banglore,Delhi,0,7229,2019,180,Evening,Night
341,Multiple carriers,Delhi,Cochin,1,6795,2019,465,Evening,Night
342,Jet Airways,Kolkata,Banglore,1,10953,2019,1520,Morning,Morning
343,Multiple carriers,Delhi,Cochin,2,15965,2019,625,Afternoon,Night
344,Air India,Delhi,Cochin,2,9968,2019,1820,Afternoon,Evening
345,IndiGo,Kolkata,Banglore,0,4804,2019,155,Night,Night
346,Jet Airways,Delhi,Cochin,1,16079,2019,540,Morning,Evening
347,Jet Airways,Delhi,Cochin,2,11507,2019,910,Evening,Afternoon
348,Air India,Kolkata,Banglore,2,11542,2019,1700,Morning,Afternoon
349,Jet Airways,Banglore,Delhi,0,7229,2019,180,Evening,Evening
350,Jet Airways,Banglore,Delhi,0,4544,2019,165,Morning,Morning
351,IndiGo,Delhi,Cochin,1,6496,2019,295,Night,Morning
352,IndiGo,Kolkata,Banglore,0,4804,2019,160,Evening,Night
353,Air India,Banglore,New Delhi,1,13439,2019,1330,Morning,Morning
354,Jet Airways,Delhi,Cochin,1,6540,2019,610,Evening,Night
355,IndiGo,Banglore,Delhi,0,4591,2019,170,Night,Night
356,IndiGo,Banglore,New Delhi,1,4437,2019,260,Afternoon,Evening
357,Air Asia,Delhi,Cochin,1,6151,2019,660,Evening,Morning
358,Jet Airways,Banglore,Delhi,0,7754,2019,180,Evening,Evening
359,Jet Airways,Delhi,Cochin,1,10262,2019,1355,Afternoon,Afternoon
360,Jet Airways,Banglore,Delhi,0,8016,2019,185,Evening,Night
361,SpiceJet,Kolkata,Banglore,0,4781,2019,160,Morning,Morning
362,Vistara,Banglore,Delhi,0,4668,2019,170,Morning,Afternoon
363,Air India,Banglore,New Delhi,1,14594,2019,1265,Morning,Morning
364,Jet Airways,Kolkata,Banglore,1,14231,2019,710,Afternoon,Night
365,Air India,Delhi,Cochin,1,8425,2019,1535,Night,Morning
366,Multiple carriers,Delhi,Cochin,1,9646,2019,925,Morning,Night
367,IndiGo,Chennai,Kolkata,0,7295,2019,145,Afternoon,Evening
368,Air Asia,Kolkata,Banglore,1,5162,2019,220,Morning,Morning
369,IndiGo,Banglore,New Delhi,0,6860,2019,175,Evening,Evening
370,Vistara,Delhi,Cochin,0,6216,2019,190,Morning,Morning
371,Air Asia,Kolkata,Banglore,1,5192,2019,710,Morning,Evening
372,IndiGo,Banglore,Delhi,0,4823,2019,170,Evening,Night
373,SpiceJet,Banglore,Delhi,0,3919,2019,170,Morning,Afternoon
