Lot_Frontage,Lot_Area,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,BsmtFin_SF_1,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,1st_Flr_SF,2nd_Flr_SF,Full_Bath,Half_Bath,TotRms_AbvGrd,Fireplaces,Garage_Yr_Blt,Garage_Cars,Garage_Area,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,3Ssn_Porch,Screen_Porch,Yr_Sold,SalePrice
62.17391304,6820,8,5,1985,1985,368,1120,0,1488,1502,0,1,1,4,0,1985,2,528,0,54,0,0,140,2010,212000
47,53504,8,5,2003,2003,1416,0,234,1650,1690,1589,3,1,12,1,2003,3,841,503,36,0,0,210,2010,538000
152,12134,8,7,1988,2005,427,0,132,559,1080,672,2,0,8,0,1988,2,492,325,12,0,0,0,2010,164000
88,11394,9,2,2010,2010,1445,0,411,1856,1856,0,1,1,8,1,2010,3,834,113,0,0,0,0,2010,394432
140,19138,4,5,1951,1951,120,0,744,864,864,0,1,0,4,0,1951,2,400,0,0,0,0,0,2010,141000
85,13175,6,6,1978,1988,790,163,589,1542,2073,0,2,0,7,2,1978,2,500,349,0,0,0,0,2010,210000
105,11751,6,6,1977,1977,705,0,1139,1844,1844,0,2,0,7,1,1977,2,546,0,122,0,0,0,2010,190000
85,10625,7,6,1974,1974,885,168,0,1053,1173,0,2,0,6,2,1974,2,528,0,120,0,0,0,2010,170000
64.54938272,7500,7,5,2000,2000,533,0,281,814,814,860,2,1,7,0,2000,2,663,0,96,0,0,0,2010,216000
75.21066667,11241,6,7,1970,1970,578,0,426,1004,1004,0,1,0,5,1,1970,2,480,0,0,0,0,0,2010,149000
75.21066667,12537,5,6,1971,2008,734,0,344,1078,1078,0,1,1,6,1,1971,2,500,0,0,0,0,0,2010,149900
65,8450,5,6,1968,1968,775,0,281,1056,1056,0,1,0,6,1,1968,1,304,0,85,184,0,0,2010,142000
70,8400,4,5,1970,1970,804,78,0,882,882,0,1,0,4,0,1970,2,525,240,0,0,0,0,2010,126000
70,10500,4,5,1971,1971,432,0,432,864,864,0,1,0,5,1,0,0,0,0,0,0,0,0,2010,115000
26,5858,7,5,1999,1999,1051,0,354,1405,1337,0,2,0,5,1,1999,2,511,203,68,0,0,0,2010,184000
21,1680,6,5,1971,1971,156,0,327,483,483,504,1,1,5,0,1971,1,264,275,0,0,0,0,2010,96000
21,1680,5,5,1971,1971,300,0,225,525,525,567,1,1,6,0,1997,1,320,0,0,0,0,0,2010,105500
21,1680,6,5,1971,1971,0,0,525,525,525,567,1,1,6,0,1971,1,264,0,0,0,0,0,2010,88000
53,4043,6,5,1977,1977,360,0,709,1069,1069,0,2,0,4,1,1977,2,440,0,55,0,0,165,2010,127500
24,2280,6,6,1975,1975,514,0,341,855,855,601,2,1,6,1,1975,2,440,173,0,0,0,0,2010,149900
24,2280,7,6,1975,1975,0,0,836,836,836,0,1,0,4,0,1975,1,308,0,30,0,0,0,2010,120000
24,2280,6,5,1978,1978,311,0,544,855,855,601,2,1,7,1,1978,2,440,26,0,0,0,0,2010,146000
102,12858,9,5,2009,2010,0,0,1590,1590,1627,707,2,1,10,1,2009,3,751,144,133,0,0,0,2010,376162
98,11478,8,5,2007,2008,1218,0,486,1704,1704,0,2,0,7,1,2008,3,772,0,50,0,0,0,2010,306000
83,10159,9,5,2009,2010,1646,0,284,1930,1940,0,2,1,8,1,2010,3,606,168,95,0,0,0,2010,395192
94,12883,8,5,2009,2010,0,0,1544,1544,1544,0,2,0,7,0,2009,3,868,0,35,0,0,0,2010,290941
95,12182,7,5,2005,2005,1201,0,340,1541,1541,0,2,0,7,1,2005,2,532,0,70,0,0,0,2010,220000
90,11520,9,5,2005,2005,110,0,1588,1698,1698,0,2,0,7,1,2005,3,730,192,74,0,0,0,2010,275000
79,14122,8,5,2005,2006,28,0,1794,1822,1822,0,2,0,8,1,2005,3,678,0,119,0,0,0,2010,259000
70,10171,7,5,2004,2004,2,0,1515,1517,1535,0,2,0,7,0,2004,2,532,0,0,0,0,0,2010,214000
100,12919,9,5,2009,2010,2188,0,142,2330,2364,0,2,1,11,2,2009,3,820,0,67,0,0,0,2010,611657
44,6371,7,5,2009,2010,733,0,625,1358,1358,0,2,0,6,1,2010,2,484,192,35,0,0,0,2010,224000
110,14300,9,5,2003,2004,1373,0,1473,2846,2696,0,2,1,10,2,2003,3,958,220,150,0,0,0,2010,500000
105,13650,8,5,2002,2002,578,0,1093,1671,1687,563,2,1,7,1,2002,3,756,238,130,0,0,0,2010,320000
61,7658,9,5,2005,2005,456,0,1296,1752,1752,0,2,0,6,1,2005,2,576,196,82,0,0,0,2010,319900
41,7132,8,5,2006,2006,24,0,1346,1370,1370,0,2,0,6,1,2006,2,484,120,49,0,0,0,2010,205000
36,2628,7,5,2003,2003,0,0,764,764,764,862,2,1,6,0,2003,2,474,0,27,0,0,0,2010,175500
100,18494,6,5,2005,2005,0,0,1324,1324,1324,0,2,0,6,0,2005,2,430,36,23,0,0,0,2010,199500
43,3203,7,5,2006,2006,16,0,1129,1145,1145,0,2,0,6,0,2006,2,437,100,116,0,0,0,2010,160000
43,3182,8,5,2004,2005,24,0,1232,1256,1269,0,2,0,6,1,2004,2,430,146,20,0,0,144,2010,192000
67,13300,7,5,2004,2004,326,0,58,384,744,630,2,1,7,1,2004,2,400,100,0,0,0,0,2010,184500
74.20720721,7851,6,5,2002,2002,625,0,235,860,860,1100,2,1,8,2,2002,2,440,288,48,0,0,0,2010,216500
63,8577,7,5,2004,2004,0,0,847,847,847,886,2,1,7,1,2004,2,433,144,48,0,0,0,2010,185088
74.20720721,7750,7,5,2000,2000,250,0,134,384,774,656,2,1,7,1,2000,2,400,180,0,0,0,0,2010,180000
74.20720721,9505,7,5,2001,2001,0,0,884,884,884,1151,2,1,8,1,2001,2,434,144,48,0,0,0,2010,222500
108,14774,9,5,1999,1999,0,0,1393,1393,1422,1177,2,1,10,1,1999,3,779,668,30,0,0,0,2010,333168
60,17433,8,5,1998,1998,0,0,1629,1629,1645,830,2,1,7,1,1998,3,962,23,172,0,0,256,2010,355000
59,10593,7,5,1996,1996,919,0,801,1720,1720,0,2,0,7,1,1996,2,527,240,56,154,0,0,2010,260400
98,12256,8,5,1994,1995,1032,0,431,1463,1500,1122,2,1,9,2,1994,2,712,186,32,0,0,0,2010,325000
92,11764,8,7,1999,2007,524,0,628,1152,1164,1106,2,1,9,1,1999,3,671,132,57,0,0,0,2010,290000
58,16770,7,5,1998,1998,0,0,1195,1195,1195,644,2,1,7,0,1998,2,486,0,81,0,0,0,2010,221000
56,14720,8,5,1995,1996,816,0,1217,2033,2053,1185,2,1,9,1,1996,3,666,283,86,0,0,0,2010,410000
73,8987,8,5,2005,2006,0,0,1595,1595,1595,0,2,0,6,1,2005,3,880,144,0,0,0,0,2010,221500
92,9215,7,5,2009,2010,0,0,1218,1218,1218,0,2,0,4,0,2009,2,676,0,136,0,0,0,2010,204500
72,8640,7,5,2009,2009,24,0,732,756,764,783,2,1,7,0,2009,2,614,169,45,0,0,0,2010,215200
75,9000,8,5,2008,2008,1078,0,488,1566,1566,0,2,0,7,0,2008,2,750,144,168,0,0,0,2010,262500
100,12552,7,5,2004,2005,222,0,769,991,991,956,2,1,8,1,2004,2,678,0,136,0,0,0,2010,254900
84,10440,6,5,2005,2005,1414,0,54,1468,1468,0,2,0,6,1,2005,2,528,0,102,0,0,216,2010,271500
76,10142,7,5,2004,2004,656,0,300,956,956,1128,2,1,8,0,2004,2,618,0,45,0,0,0,2010,233000
70,11920,7,5,2004,2004,0,0,831,831,831,828,2,1,8,0,2004,2,484,144,68,0,0,0,2010,181000
70.66981132,8880,7,5,1994,2002,695,0,253,948,1222,888,2,1,8,2,1994,2,463,0,130,0,0,0,2010,205000
50,8012,6,5,1980,1980,543,119,261,923,923,0,2,0,5,1,1980,1,264,80,0,0,0,0,2010,143000
70,11218,6,5,1992,1992,0,0,1055,1055,1055,790,2,1,8,1,1992,2,462,635,104,0,0,0,2010,189000
55,7892,6,5,1979,1979,0,0,918,918,918,0,2,0,5,1,1979,1,264,28,0,0,0,0,2010,99500
50,7175,6,5,1984,1984,623,121,0,744,752,0,1,0,4,0,1984,1,264,353,0,0,0,90,2010,125000
70.66981132,9453,7,7,1993,2003,402,0,594,996,1014,730,2,1,7,0,1993,2,457,370,70,0,238,0,2010,194500
81,9672,6,5,1984,1985,338,0,702,1040,1097,0,2,0,6,0,1986,2,480,0,0,0,0,0,2010,152000
70,8400,6,6,1980,1981,0,0,650,650,888,676,2,1,7,1,1980,2,476,0,50,0,0,204,2010,171000
70,9800,5,5,1920,1950,0,0,816,816,1012,0,1,0,5,0,1920,1,429,121,0,80,0,0,2010,67500
68,8930,6,5,1978,1978,0,0,0,0,1318,584,2,0,8,0,1978,2,539,0,0,0,0,0,2010,112000
88,11782,5,7,1961,1995,899,0,210,1109,1155,0,1,0,6,0,1987,2,576,192,0,0,0,0,2010,148000
65,8450,5,8,1965,2009,553,117,224,894,894,0,1,0,5,1,1973,1,336,416,144,0,0,0,2010,138500
74.55102041,9819,5,5,1967,1967,450,0,432,882,900,0,1,0,5,0,1970,1,280,0,0,0,0,0,2010,122000
75,7500,5,5,1963,1963,824,0,216,1040,1040,0,1,1,5,0,1963,1,308,0,0,220,0,0,2010,133000
74.55102041,6897,5,8,1962,2010,659,0,381,1040,1040,0,1,1,6,0,1962,1,260,0,104,0,0,0,2010,127000
39,15410,6,6,1974,2002,126,859,223,1208,1494,0,2,0,7,2,1974,2,461,296,0,186,0,0,2010,169000
107,10186,7,5,1992,1992,674,0,76,750,1061,862,2,1,8,1,1992,2,564,240,39,0,0,0,2010,190000
85,13143,8,5,1993,1993,250,981,0,1231,1251,1098,2,1,9,1,1993,3,762,32,130,0,0,0,2010,362500
88,11134,8,5,1992,1993,1129,0,261,1390,1402,823,2,1,7,1,1992,3,713,198,30,0,0,0,2010,285000
25,4835,7,5,2004,2005,1298,0,190,1488,1488,0,2,0,6,1,2004,2,506,168,50,0,0,0,2010,260000
39,3515,7,5,2004,2004,0,0,840,840,840,840,2,1,3,0,2004,2,588,0,111,0,0,0,2010,190000
30,3215,7,5,2004,2004,280,0,320,600,600,600,2,1,4,0,2004,2,480,0,172,0,0,0,2010,155000
30,3182,7,5,2004,2005,0,0,600,600,600,600,2,1,4,0,2004,2,480,0,172,0,0,0,2010,151000
24,2544,7,5,2004,2005,368,42,190,600,600,600,2,1,4,0,2004,2,480,0,172,0,0,0,2010,149500
24,2544,6,5,2005,2005,376,0,224,600,600,636,2,1,4,0,2005,2,480,0,166,0,0,0,2010,152000
64.54938272,4403,7,5,2009,2009,578,0,892,1470,1478,0,2,1,7,1,2009,2,484,0,144,0,0,0,2010,222000
64.54938272,2117,6,5,2000,2000,378,0,378,756,769,804,2,1,5,0,2000,2,440,0,32,0,0,0,2010,177500
64.54938272,2980,6,5,2000,2000,466,0,290,756,756,756,2,1,5,0,2000,2,440,0,32,0,0,0,2010,177000
24,2572,7,5,1999,1999,604,0,92,696,696,720,2,1,6,0,1999,2,484,0,44,0,0,0,2010,155000
64.54938272,2403,7,5,2003,2003,244,0,286,530,530,550,2,1,4,0,2003,2,496,0,50,0,0,0,2010,147110
57,12853,8,5,2010,2010,1032,0,610,1642,1418,0,1,1,6,1,2010,3,852,160,192,0,224,0,2010,267916
68,7379,8,5,2000,2000,484,0,491,975,975,873,2,1,7,1,2000,2,592,280,184,0,0,0,2010,254000
30,4420,8,5,1980,1980,728,0,0,728,788,0,1,0,3,1,1980,2,484,133,42,0,0,0,2010,155000
40,3880,8,6,1978,1978,1052,0,174,1226,1226,0,1,0,4,1,1978,2,484,223,78,0,0,0,2010,206000
74.55102041,13517,6,8,1976,2005,533,0,192,725,725,754,2,1,6,0,1976,2,475,0,44,0,0,0,2010,130500
80,8000,7,5,2002,2002,833,0,659,1492,1492,0,2,0,6,1,2002,2,596,277,137,0,0,0,2010,230000
81.51764706,10456,6,6,1967,1967,506,0,1323,1829,1829,0,2,0,8,0,1967,2,535,0,76,0,0,0,2010,218500
80,10791,6,5,1993,1993,1137,0,143,1280,1280,1215,2,1,9,1,1993,2,660,224,32,0,0,0,2010,243500
81.51764706,10603,6,7,1977,2001,1200,0,410,1610,1610,0,2,0,6,2,1977,2,480,168,68,0,0,0,2010,205000
81.51764706,18837,6,5,1978,1978,687,46,491,1224,1287,604,3,0,7,1,1978,2,678,0,69,0,0,0,2010,212500
80,10421,7,5,1988,1988,394,0,586,980,980,734,2,1,7,1,1988,2,496,228,66,156,0,0,2010,196500
78,9360,6,7,1972,2006,982,0,179,1161,1381,0,1,1,5,1,1972,2,676,0,0,0,0,0,2010,197500
80,9600,6,6,1971,1971,329,0,386,715,930,715,1,2,7,0,1971,2,441,0,78,0,0,0,2010,171000
80,9600,5,5,1966,1966,698,0,534,1232,1232,0,1,1,6,0,1966,2,490,0,224,0,0,0,2010,142250
81.51764706,9790,6,5,1963,1963,569,81,678,1328,1328,0,1,1,6,2,1963,2,528,0,26,0,0,0,2010,143000
77,9320,4,5,1959,1959,569,0,381,950,1225,0,1,1,6,0,0,0,0,352,0,0,0,0,2010,128950
90,9900,5,5,1966,1966,1059,0,150,1209,1209,0,1,0,6,0,1966,2,504,0,0,120,0,0,2010,159000
88,9680,5,6,1967,1967,1010,0,500,1510,1510,0,2,0,6,0,1967,2,517,0,40,0,0,204,2010,178900
75.21066667,10600,6,5,1964,1964,0,0,533,533,1131,644,2,0,8,0,1964,2,480,0,172,0,0,0,2010,136300
75.21066667,14112,5,7,1964,1964,1014,0,138,1152,1152,0,1,0,6,1,1964,2,484,227,0,0,0,0,2010,180500
80,8800,6,7,1963,1963,763,0,173,936,1054,0,1,0,6,0,1963,2,480,120,0,0,0,0,2010,137500
98,13260,5,6,1962,2001,1500,0,228,1728,1728,0,2,0,10,0,0,0,0,0,0,0,0,0,2010,84900
68,9717,5,6,1950,1996,49,1029,0,1078,1078,0,1,0,5,0,1950,1,240,366,0,112,0,0,2010,142125
68,9724,5,7,1952,2002,670,0,470,1140,1929,532,2,0,7,2,1994,2,400,0,0,0,0,0,2010,197600
120,17360,6,6,1949,1950,300,0,482,782,1019,537,2,0,6,1,1949,2,470,0,0,150,0,0,2010,172500
50,7207,5,7,1958,2008,696,0,162,858,858,0,1,0,4,0,0,0,0,117,0,0,0,0,2010,116500
55,5350,3,2,1940,1966,0,0,728,728,1306,0,1,0,6,0,0,0,0,263,0,0,0,0,2010,76500
80,9920,5,5,1954,1954,354,290,412,1056,1063,0,1,0,6,0,1954,1,280,0,0,164,0,0,2010,128000
80,9600,6,6,1955,1972,674,132,350,1156,1520,0,1,0,7,2,1955,1,364,0,0,189,0,0,2010,153000
78,7800,5,6,1954,1954,540,0,728,1268,1268,0,1,0,7,1,1954,1,244,0,98,0,0,0,2010,132000
75,11380,6,8,1966,2008,944,0,136,1080,1128,0,1,0,5,1,1966,1,315,238,0,0,0,0,2010,178000
80,11600,5,5,1960,1960,443,0,662,1105,1105,1169,2,0,12,0,1960,2,480,0,0,0,0,0,2010,154300
75.21066667,19900,7,5,1970,1989,912,0,1035,1947,2207,0,2,0,7,1,1970,2,576,301,0,0,0,0,2010,180000
137,16492,6,6,1966,2002,247,713,557,1517,1888,0,2,1,6,1,1966,2,578,0,0,0,0,0,2010,190000
70,8267,5,5,1958,1958,0,0,1604,1604,1604,0,2,0,8,0,1958,2,576,42,0,0,0,0,2010,135000
70,8197,7,5,2003,2009,1188,0,292,1480,1480,0,2,0,7,0,2003,2,620,252,73,0,0,0,2010,214000
75.21066667,8050,5,5,1959,1959,856,162,125,1143,1143,0,1,0,6,0,1959,1,308,0,0,0,0,0,2010,136000
70,10552,5,5,1959,1959,1018,0,380,1398,1700,0,1,1,6,1,1959,2,447,0,38,0,0,0,2010,165500
70,8400,5,6,1957,1957,922,0,392,1314,1314,0,1,0,5,0,1957,1,294,250,0,0,0,0,2010,145000
73,8760,6,6,1959,1959,0,0,1194,1194,1194,0,1,0,6,0,1959,1,312,0,0,120,0,0,2010,148000
75.21066667,12160,5,5,1959,1959,1000,0,188,1188,1188,0,1,0,6,0,1959,2,531,0,0,0,0,0,2010,142000
73,9300,5,5,1960,1960,697,0,571,1268,1264,0,1,0,6,2,1960,2,461,0,0,0,0,143,2010,167500
87,10725,5,5,1959,1959,936,0,270,1206,1206,0,1,0,6,0,1959,1,312,0,21,0,0,0,2010,108538
80,10032,6,5,1959,1959,734,0,510,1244,1580,0,1,1,6,2,1956,2,440,0,28,0,0,160,2010,159500
60,8382,4,5,1956,1956,0,0,832,832,832,505,1,0,5,0,1956,1,263,0,0,0,0,0,2010,108000
60,10950,5,7,1952,1952,339,0,525,864,1064,0,1,0,4,0,1952,1,318,0,0,0,0,0,2010,135000
119,10895,5,6,1955,1955,648,0,324,972,972,0,1,0,5,0,1955,1,305,0,0,205,0,0,2010,122500
70,13587,5,5,1958,1958,532,0,456,988,988,0,1,0,5,0,1958,1,264,0,0,0,0,0,2010,119000
68,7922,5,7,1953,2007,731,0,326,1057,1057,0,1,0,5,0,1953,1,246,0,52,0,0,0,2010,109000
65,7898,4,7,1920,1994,0,0,576,576,985,0,1,0,4,0,1989,2,676,0,0,0,0,0,2010,105000
60,7200,5,7,1955,2007,0,0,0,0,827,0,1,0,5,1,1967,1,392,0,0,0,0,0,2010,107500
85,10200,5,7,1954,2003,320,362,404,1086,1086,0,1,0,6,0,1989,2,490,0,0,0,0,0,2010,144900
74,5868,5,7,1956,2000,248,240,448,936,936,0,1,0,4,0,1956,1,308,0,0,80,0,160,2010,129000
78,17503,6,5,1948,1950,0,0,912,912,912,546,1,0,6,1,1948,1,330,192,0,0,0,0,2010,97500
64,6979,6,5,1980,1980,1056,0,0,1056,1056,0,0,0,4,0,1980,2,576,264,56,0,0,0,2010,144000
75.21066667,9830,5,7,1959,2006,72,258,733,1063,1287,0,1,0,7,1,1997,2,576,364,17,0,0,182,2010,162000
96,11275,7,7,1967,2007,0,0,710,710,1898,1080,2,1,11,1,1961,2,564,240,0,0,0,0,2010,242000
60,8064,6,8,1948,2004,481,174,161,816,816,408,1,0,5,0,1950,1,280,414,0,0,0,0,2010,132000
75,7500,5,7,1959,1994,340,906,0,1246,1246,0,1,1,6,0,1959,1,305,218,0,0,0,0,2010,154000
71,8520,5,4,1952,1952,507,0,403,910,910,475,2,0,6,0,2000,2,720,0,0,0,0,0,2010,166000
60,7200,5,7,1951,2000,234,486,180,900,900,0,1,0,5,0,2005,2,576,222,32,0,0,0,2010,134800
87,10000,6,6,1962,1962,0,0,1116,1116,1116,0,1,1,5,0,1962,2,440,0,0,0,0,385,2010,160000
81,7635,5,6,1960,1960,588,350,237,1175,1175,0,1,1,6,0,1960,2,484,0,0,0,0,0,2010,148000
80,9760,6,7,1963,1984,717,263,415,1395,1395,0,1,0,7,1,1963,2,440,657,0,113,0,240,2010,192000
70,7700,6,5,1966,1966,0,0,756,756,1051,788,1,1,7,1,1966,2,442,0,124,216,0,0,2010,155000
60,4800,4,5,1900,1954,48,0,661,709,1157,687,1,0,9,2,1900,1,240,84,0,0,0,0,2010,80400
55,8800,4,7,1910,2004,0,0,576,576,792,348,1,0,7,0,0,0,0,0,160,0,0,0,2010,96500
56,4485,5,7,1920,1950,579,0,357,936,936,0,1,0,5,1,0,0,0,51,0,135,0,0,2010,109500
56,8960,5,6,1927,1950,0,0,1008,1008,1028,0,1,0,5,1,1927,2,360,0,0,130,0,0,2010,115000
69,5805,5,7,1957,1957,274,1073,0,1347,1347,0,1,0,6,0,1957,2,551,0,0,0,0,0,2010,143000
60,5790,3,6,1915,1950,0,0,840,840,840,765,2,0,8,0,1915,1,379,0,0,202,0,0,2010,107400
47,4608,4,6,1945,1950,0,0,747,747,747,0,1,0,4,0,1945,1,220,0,0,0,0,0,2010,80000
60,7200,5,7,1940,1992,510,0,278,788,804,0,1,0,4,2,1940,1,240,0,0,154,0,0,2010,119000
50,5500,5,7,1929,2001,234,692,0,926,926,0,1,0,6,0,1974,2,484,0,0,0,0,0,2010,130000
50,6900,6,7,1938,2000,0,0,827,827,827,424,1,0,6,0,1938,1,240,0,0,0,0,0,2010,119000
69,11851,5,7,1948,2009,780,0,247,1027,1027,606,1,0,7,1,1948,1,240,0,100,126,0,0,2010,129000
61.77729258,8239,5,6,1920,1962,176,0,832,1008,1060,185,1,0,6,0,1962,1,315,0,0,334,0,0,2010,100000
68,9656,2,2,1923,1970,0,0,678,678,832,0,1,0,5,1,1928,2,780,0,0,0,0,0,2010,12789
60,8520,6,8,1928,2003,0,0,624,624,720,0,1,0,5,0,2005,2,484,106,0,0,0,0,2010,105900
60,9600,8,9,1900,2003,0,0,930,930,930,636,2,0,7,0,1930,1,288,54,228,246,0,0,2010,150000
60,10800,5,6,1915,1950,686,0,0,686,966,686,2,0,7,0,1961,1,416,0,0,196,0,0,2010,139000
50,9000,8,9,1890,2002,0,0,346,346,1157,1111,3,0,7,0,2003,2,624,0,108,0,0,0,2010,240000
100,9045,5,3,1910,1950,0,0,840,840,1128,1128,2,0,12,0,0,0,0,0,18,18,0,0,2010,76500
90,7407,6,7,1957,1996,600,0,312,912,1236,0,1,0,6,0,1957,2,923,0,158,158,0,0,2010,149700
60,7740,4,7,1910,1950,0,0,622,622,741,622,1,0,6,0,1966,2,528,0,0,0,0,168,2010,125500
60,11340,4,6,1885,1950,0,0,777,777,1246,1044,2,0,11,0,1971,2,560,0,0,114,0,0,2010,122500
60,10560,6,7,1922,1994,283,0,455,738,868,602,1,1,6,0,1970,2,624,0,0,0,0,0,2010,140750
53,5830,5,6,1950,1997,788,0,200,988,1030,582,1,1,7,0,1950,1,363,0,0,0,0,0,2010,128500
55.78947368,7793,7,7,1922,2005,474,0,634,1108,1160,908,1,1,8,1,1928,1,315,0,0,60,0,0,2010,209500
50,5000,4,7,1925,1950,188,0,577,765,765,0,1,0,4,0,1926,1,200,135,0,41,0,0,2010,87000
50,6000,6,7,1939,1950,452,12,144,608,608,524,1,0,5,0,1939,1,240,0,0,128,0,0,2010,134000
50,6000,6,6,1940,1950,264,0,308,572,848,348,1,1,6,2,1973,2,576,0,0,0,0,0,2010,128000
53,6360,5,6,1942,1950,360,159,316,835,955,498,1,1,7,2,1942,1,240,0,0,35,0,148,2010,132000
50,6000,6,7,1948,1950,300,0,480,780,780,636,1,1,6,0,1948,1,312,221,0,48,0,0,2010,139900
52,6240,5,7,1936,1980,276,0,252,528,548,492,1,0,5,0,1979,2,624,306,0,32,0,0,2010,123900
52,6240,5,5,1930,1950,448,0,480,928,928,608,2,0,7,1,1930,2,480,0,10,0,0,0,2010,138400
51,6120,6,5,1923,1950,960,0,164,1124,1068,0,1,0,5,1,1923,1,288,0,0,128,0,0,2010,109500
50,10300,7,6,1921,1950,0,0,576,576,902,808,2,0,9,0,1990,2,480,12,11,64,0,0,2010,140000
57,8094,4,5,1915,1950,0,0,888,888,888,1074,1,1,9,1,1915,2,572,160,0,364,0,0,2010,149500
60,12900,6,8,1912,2009,0,0,780,780,780,780,1,1,7,0,0,0,0,344,0,0,0,168,2010,159900
52,3068,6,8,1920,1993,0,0,662,662,662,662,1,0,6,0,1920,1,180,0,0,112,0,0,2010,122000
110,8472,5,5,1963,1963,104,712,0,816,816,0,1,0,5,0,1963,2,516,106,0,0,0,0,2010,110000
70,5600,4,5,1930,1950,0,0,0,0,372,720,2,0,7,0,0,0,0,0,0,0,0,0,2010,55000
76,7630,5,9,1900,1996,0,0,360,360,1032,780,2,0,8,1,1999,2,672,344,0,40,0,0,2010,140000
88.15,24090,7,7,1940,1950,0,0,1032,1032,1207,1196,2,0,10,2,1940,1,349,56,0,318,0,0,2010,244400
100,15263,5,5,1959,1959,766,0,656,1422,1675,0,2,0,8,2,1959,1,365,0,132,0,0,0,2010,173000
72,10632,5,3,1917,1950,0,0,689,689,725,499,1,1,6,0,1917,1,180,0,0,248,0,0,2010,107500
60,9900,5,4,1915,1950,1026,0,186,1212,1212,180,1,0,6,0,0,0,0,0,0,168,0,0,2010,100000
65,6001,6,5,1940,1950,368,0,232,600,600,319,1,0,5,0,1940,1,231,0,0,45,0,0,2010,95000
59.06818182,6449,4,1,1907,1950,73,0,634,707,942,942,1,1,7,0,0,0,0,0,0,239,0,0,2010,93369
60,6048,5,7,1910,1950,736,0,120,856,936,744,2,0,7,1,1910,2,450,56,144,0,0,0,2010,114900
54,6342,5,8,1875,1996,0,0,780,780,780,240,1,0,6,0,0,0,0,0,0,176,0,0,2010,94000
72,10773,4,3,1967,1967,704,0,1128,1832,1832,0,2,0,8,0,0,0,0,0,58,0,0,0,2010,136000
72,10778,4,5,1968,1968,0,0,1768,1768,1768,0,2,0,8,0,0,0,0,0,0,0,0,0,2010,136500
75,11625,5,4,1965,1965,841,0,198,1039,1039,0,1,1,6,0,1965,2,504,0,0,0,0,0,2010,131500
74.55102041,11341,5,6,1957,1996,1302,0,90,1392,1392,0,1,1,5,1,1957,2,528,0,0,0,0,95,2010,121500
70,8521,5,5,1967,1967,842,0,70,912,912,0,1,0,5,1,1974,1,336,0,0,0,0,0,2010,125000
74.55102041,8246,5,8,1968,2001,188,668,204,1060,1060,0,1,0,6,1,1968,1,270,406,90,0,0,0,2010,154000
65,7800,5,7,1966,2008,240,474,150,864,892,0,1,0,5,0,1966,1,416,0,0,0,0,0,2010,137900
80,9364,6,7,1969,1969,371,0,292,663,663,689,1,1,7,0,1969,1,299,379,36,0,0,0,2010,158000
65,7832,5,5,1968,1968,775,0,89,864,864,0,1,0,4,0,1969,1,280,226,0,0,0,0,2010,137250
