Gone,JoinDate,Age,BusinessTravel,DistanceFromHome,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PerformanceRating
No,1/31/2021,35,Travel_Rarely,23,3,Female,3,1,Laboratory Technician,1,Married,4014,3,3
No,10/26/2019,31,Travel_Rarely,7,4,Male,3,2,Laboratory Technician,4,Divorced,5915,3,4
No,9/8/2020,37,Travel_Rarely,1,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,3
No,7/18/2019,32,Travel_Rarely,1,1,Male,3,2,Manufacturing Director,4,MARRIED,6162,1,4
No,6/16/2019,38,Travel_Frequently,29,4,Female,3,2,Laboratory Technician,4,Single,2406,1,3
No,11/21/2020,50,Travel_Rarely,7,2,Female,2,5,Research Director,3,Divorced,18740,5,3
No,6/21/2019,59,Travel_Rarely,25,1,Female,3,3,Sales Executive,1,Single,7637,7,3
No,5/7/2019,36,Travel_Rarely,8,3,Female,3,3,Healthcare Representative,3,Divorced,10096,1,3
No,9/29/2020,55,Travel_Rarely,8,4,Female,3,4,Manager,3,Divorced,14756,2,3
No,12/13/2021,36,Travel_Frequently,11,2,Male,2,2,Manufacturing Director,2,Single,6499,1,3
No,12/22/2019,45,Travel_Rarely,7,2,Male,3,3,Research Scientist,1,Divorced,9724,2,3
No,12/17/2020,35,Travel_Frequently,1,2,Male,3,1,Research Scientist,1,Married,2194,4,3
Yes,2/4/2020,36,Travel_Rarely,9,4,Male,2,1,Research Scientist,3,Married,3388,0,3
No,3/22/2019,59,Travel_Frequently,1,1,Female,2,2,Sales Executive,3,Single,5473,7,3
No,6/19/2019,29,Travel_Rarely,2,3,Male,3,1,Research Scientist,2,Married,2703,0,4
No,9/22/2020,31,Travel_Rarely,1,3,Male,3,1,Research Scientist,2,Single,2501,1,3
No,2/11/2019,32,Travel_Rarely,1,2,Male,3,2,Research Scientist,2,Married,6220,1,3
No,1/7/2021,36,Travel_Rarely,6,2,Female,4,1,Laboratory Technician,4,Married,3038,3,3
No,8/22/2019,31,Travel_Rarely,8,3,Female,3,2,Manufacturing Director,4,Single,4424,1,4
No,7/10/2021,35,Travel_Rarely,1,3,Male,2,2,Sales Executive,1,Single,4312,0,3
No,9/9/2019,45,Travel_Rarely,6,4,Male,3,3,Research Director,1,Married,13245,4,3
No,3/22/2020,37,Travel_Rarely,7,1,Male,3,3,Research Director,3,Single,13664,4,3
No,11/4/2019,46,Travel_Rarely,5,2,Male,3,2,Human Resources,2,Divorced,5021,8,4
No,12/19/2019,30,Travel_Rarely,1,4,Male,2,2,Laboratory Technician,4,Married,5126,1,3
No,10/4/2021,35,Travel_Rarely,1,2,Male,2,1,Research Scientist,3,Single,2859,1,3
No,11/4/2021,55,Travel_Rarely,1,1,Male,3,3,Sales Executive,4,Married,10239,3,3
No,1/12/2021,38,Non-Travel,6,2,Female,1,2,Research Scientist,4,Divorced,5329,7,3
No,6/2/2019,34,Travel_Rarely,1,1,Male,3,2,Manufacturing Director,2,Married,44325,1,3
No,5/8/2021,56,Travel_Rarely,7,4,Male,1,3,Manufacturing Director,4,Single,7260,4,3
No,11/16/2020,23,Travel_Rarely,2,3,Male,3,1,Sales Representative,1,Divorced,2322,3,3
No,4/11/2020,51,Travel_Rarely,9,4,Male,3,1,Laboratory Technician,4,Married,92075,3,4
No,8/27/2020,30,Travel_Rarely,2,3,Male,2,2,Healthcare Representative,4,Married,4152,1,3
Yes,5/18/2019,46,Travel_Rarely,9,3,Male,2,3,Sales Executive,4,Single,9619,1,3
No,7/24/2020,40,Travel_Frequently,1,3,Male,2,4,Healthcare Representative,2,Married,13503,1,4
No,6/8/2020,51,Travel_Rarely,21,3,Male,3,2,Sales Executive,4,Single,5441,0,4
No,10/9/2021,30,Travel_Rarely,4,3,Female,2,2,Sales Executive,2,Divorced,95209,1,3
No,10/12/2019,46,Travel_Frequently,1,3,Male,2,3,Healthcare Representative,1,Married,10673,2,3
No,2/3/2020,32,Travel_Rarely,6,2,Male,3,2,Sales Executive,3,Single,5010,1,3
No,9/11/2021,54,Travel_Rarely,2,1,Female,3,3,Research Director,3,Married,13549,9,3
No,5/1/2020,24,Travel_Rarely,3,1,Female,3,2,Sales Executive,3,Married,4999,0,4
No,1/20/2019,28,Non-Travel,4,2,Male,3,2,Sales Executive,3,Married,4221,1,3
No,1/21/2019,58,Travel_Rarely,10,4,Male,3,4,Sales Executive,3,Single,13872,0,3
No,8/25/2019,44,Non-Travel,23,2,Male,3,2,Laboratory Technician,2,Married,2042,4,3
Yes,1/2/2021,37,Travel_Rarely,6,3,Male,3,1,Human Resources,1,Divorced,2073,4,4
No,7/18/2021,32,Travel_Rarely,1,4,Male,3,1,Research Scientist,1,Single,2956,1,3
Yes,4/6/2021,20,Travel_Frequently,6,4,Female,2,1,Laboratory Technician,4,Single,2926,1,3
No,12/1/2020,34,Travel_Rarely,6,1,Female,3,2,Research Scientist,3,Single,4809,1,3
No,1/14/2019,37,Non-Travel,2,3,Male,2,2,Healthcare Representative,4,Divorced,5163,5,3
No,11/13/2019,59,Non-Travel,2,3,Female,2,5,Manager,4,Married,18844,9,4
No,6/13/2021,50,Travel_Frequently,1,1,Female,3,5,Research Director,2,Married,18172,3,3
Yes,3/1/2021,25,Travel_Rarely,5,3,Male,2,2,Sales Executive,3,Single,5744,1,3
No,11/29/2019,25,Travel_Rarely,7,4,Male,2,1,Research Scientist,4,Married,2889,1,3
No,12/6/2021,22,Travel_Rarely,15,2,Female,3,1,Laboratory Technician,4,Single,2871,1,3
No,4/30/2019,51,Travel_Frequently,1,1,Female,2,3,Healthcare Representative,1,Single,7484,3,4
Yes,6/28/2020,34,Travel_Frequently,7,1,Male,1,2,Laboratory Technician,3,Single,6074,1,4
No,7/9/2021,54,Non-Travel,26,4,Female,4,4,Manager,4,Single,17328,2,3
No,4/18/2019,24,Travel_Rarely,18,2,Male,3,1,Laboratory Technician,3,Married,2774,0,3
No,7/10/2019,34,Travel_Rarely,6,3,Female,2,2,Research Scientist,2,Divorced,4505,6,3
No,11/29/2020,37,Travel_Rarely,3,3,Male,3,3,Sales Executive,4,Single,7428,2,3
No,11/28/2020,34,Travel_Rarely,5,3,Female,2,3,Manager,1,Single,11631,2,3
No,9/2/2021,36,Travel_Frequently,11,2,Female,3,3,Sales Executive,4,Married,9738,0,3
No,7/12/2021,36,Travel_Rarely,3,1,Female,3,1,Laboratory Technician,4,Divorced,2835,5,4
No,3/29/2021,43,Travel_Frequently,26,3,Male,3,4,Manager,4,Married,16959,1,3
No,1/1/2020,30,Travel_Frequently,23,1,Male,1,1,Research Scientist,3,Divorced,2613,1,4
No,11/1/2019,33,Non-Travel,22,3,Male,3,2,Sales Executive,2,Married,6146,0,3
Yes,5/22/2020,56,Travel_Rarely,14,2,Female,3,1,Research Scientist,2,Married,4963,9,3
No,6/20/2019,51,Travel_Rarely,6,1,Male,3,5,Research Director,3,SINGLE,19537,7,3
Yes,12/8/2019,31,Travel_Rarely,6,2,Male,1,2,Sales Executive,3,Married,6172,4,3
No,3/8/2021,26,Travel_Rarely,6,3,Female,2,1,Research Scientist,2,Married,2368,1,3
Yes,9/28/2019,58,Travel_Rarely,23,4,Female,3,3,Healthcare Representative,4,Married,10312,1,3
Yes,8/30/2019,19,Travel_Rarely,22,4,Male,3,1,Sales Representative,3,Single,1675,1,3
No,6/26/2020,22,Travel_Rarely,2,3,Male,3,1,Laboratory Technician,4,Married,2523,0,3
No,3/28/2019,49,Travel_Rarely,20,3,Female,3,2,Manufacturing Director,1,Married,6567,1,3
No,8/20/2020,43,Travel_Frequently,28,2,Female,4,1,Research Scientist,3,Single,4739,4,3
No,2/18/2020,50,Travel_Frequently,12,3,Female,3,3,Sales Executive,4,Single,9208,4,3
Yes,4/25/2019,31,Travel_Rarely,20,2,Female,1,2,Sales Executive,3,Married,4559,3,3
No,3/12/2019,41,Travel_Rarely,9,3,Male,3,3,Sales Executive,3,Divorced,8189,3,3
No,3/27/2020,26,Travel_Rarely,25,3,Female,3,1,Human Resources,3,Married,2942,1,4
No,11/17/2021,36,Travel_Rarely,6,2,Male,3,2,Manufacturing Director,2,Divorced,4941,6,4
Yes,4/6/2019,51,Travel_Frequently,8,1,Male,1,3,Manufacturing Director,4,Single,10650,2,3
No,12/10/2021,39,Travel_Rarely,4,4,Female,2,2,Sales Executive,3,Married,5902,4,3
No,11/16/2020,25,Travel_Rarely,28,1,Male,2,2,Sales Executive,3,Married,8639,2,3
No,6/20/2021,30,Travel_Rarely,9,3,Male,3,2,Human Resources,4,Married,6347,0,3
Yes,2/14/2019,32,Travel_Rarely,9,1,Female,3,1,Laboratory Technician,1,Single,4200,7,4
No,6/27/2020,45,Travel_Rarely,29,3,Male,3,1,Research Scientist,4,Single,3452,5,3
No,12/5/2021,38,Travel_Rarely,3,4,Female,3,2,Research Scientist,3,SINGLE,4317,3,4
No,12/20/2020,30,Travel_Rarely,18,1,Female,3,1,Research Scientist,3,SINGLE,2632,1,3
No,8/7/2019,32,Travel_Frequently,9,4,Male,1,2,Sales Executive,4,Divorced,4668,0,3
No,10/2/2019,30,Travel_Rarely,5,4,Female,3,1,Research Scientist,1,Divorced,3204,5,3
No,7/19/2021,30,Travel_Rarely,2,2,Male,2,1,Laboratory Technician,4,Single,2720,0,3
No,12/26/2021,41,Travel_Frequently,10,4,Male,2,4,Manager,1,Divorced,17181,4,3
No,3/5/2019,41,Travel_Rarely,9,3,Male,3,1,Laboratory Technician,1,Married,2238,2,4
No,1/21/2021,19,Travel_Rarely,3,2,Female,3,1,Laboratory Technician,2,Single,1483,1,3
No,10/13/2021,40,Travel_Frequently,26,2,Female,3,2,Research Scientist,2,Divorced,5605,1,3
No,4/26/2019,35,Travel_Rarely,1,3,Male,3,3,Sales Executive,2,Married,7295,1,3
No,12/27/2019,53,Travel_Rarely,6,2,Male,3,2,Sales Representative,3,Married,2306,2,4
No,11/13/2021,45,Travel_Rarely,9,2,Male,3,2,Laboratory Technician,2,Divorced,2348,8,3
No,11/26/2021,32,Travel_Frequently,8,2,Female,3,3,Sales Executive,4,Single,8998,1,3
No,7/4/2021,29,Non-Travel,1,4,Male,3,2,Manufacturing Director,3,Married,4319,1,3
No,8/23/2021,51,Travel_Rarely,7,2,Male,2,2,Manufacturing Director,3,Married,6132,2,3
No,2/5/2020,58,Travel_Rarely,9,2,Female,2,1,Research Scientist,2,Married,3346,4,4
No,3/6/2019,40,Travel_Rarely,4,3,Male,2,3,Sales Executive,4,Married,10855,7,3
No,2/16/2020,34,Travel_Frequently,2,3,Female,3,1,Sales Representative,3,Married,2231,6,3
No,9/4/2021,22,Travel_Rarely,19,3,Male,3,1,Research Scientist,4,Married,2323,1,4
No,11/9/2019,27,Non-Travel,9,4,Male,3,1,Research Scientist,2,Divorced,2024,6,3
No,3/29/2019,28,Travel_Rarely,21,3,Male,3,1,Research Scientist,4,Married,2713,1,3
No,5/14/2019,57,Travel_Rarely,24,3,Male,4,3,Healthcare Representative,4,Divorced,9439,3,3
No,6/9/2019,27,Non-Travel,3,3,Male,2,1,Research Scientist,3,Divorced,2566,1,3
No,10/17/2021,50,Travel_Rarely,11,3,Female,3,5,Manager,2,Single,19926,3,3
No,8/9/2020,41,Travel_Rarely,14,1,Male,3,1,Research Scientist,3,Divorced,2451,4,3
No,2/16/2021,30,Travel_Rarely,5,2,Female,3,3,Sales Executive,4,Married,9419,2,3
No,5/10/2020,38,Travel_Rarely,1,1,Female,2,2,Sales Executive,4,Single,8686,4,4
No,3/31/2021,32,Travel_Rarely,6,3,Male,3,1,Research Scientist,3,Single,3038,3,4
No,7/29/2019,27,Travel_Rarely,17,3,Male,3,1,Research Scientist,2,Married,3058,0,3
Yes,6/17/2020,19,Travel_Frequently,1,3,Female,1,1,Sales Representative,1,SINGLE,2325,0,4
No,2/13/2019,36,Travel_Frequently,3,4,Male,3,1,Laboratory Technician,2,SINGLE,2088,4,3
No,6/30/2019,30,Non-Travel,9,3,Male,3,2,Laboratory Technician,1,Divorced,3072,1,3
No,3/29/2020,45,Travel_Rarely,4,3,Female,3,2,Sales Executive,1,Divorced,5006,4,3
No,11/7/2020,56,Travel_Rarely,8,3,Female,3,1,Research Scientist,1,Divorced,4257,4,3
No,10/28/2021,33,Travel_Rarely,2,3,Male,3,1,Research Scientist,4,Single,2500,0,3
Yes,5/9/2021,19,Travel_Rarely,2,2,Male,2,1,Laboratory Technician,4,Single,1102,1,4
No,6/10/2019,46,Travel_Rarely,1,2,Female,3,3,Sales Executive,1,Divorced,10453,1,4
No,4/11/2020,38,Travel_Rarely,9,3,Female,3,1,Laboratory Technician,4,Single,2288,1,3
No,9/5/2019,31,Travel_Rarely,12,3,Female,3,1,Research Scientist,4,Married,3929,8,4
No,8/22/2021,34,Travel_Rarely,27,4,Female,3,1,Research Scientist,2,Single,2311,2,3
Yes,9/3/2020,41,Travel_Rarely,20,2,Female,3,1,Sales Representative,2,Single,3140,1,4
No,6/9/2019,50,Travel_Rarely,1,3,Male,2,1,Laboratory Technician,3,Married,3690,2,3
No,9/6/2021,53,Travel_Rarely,13,4,Female,4,2,Manufacturing Director,1,Divorced,4450,1,3
No,1/22/2021,33,Travel_Rarely,14,4,Female,3,1,Research Scientist,2,Married,2756,1,3
No,7/20/2019,40,Travel_Rarely,4,4,Female,3,5,Manager,3,Married,19033,1,3
No,10/25/2020,55,Travel_Rarely,14,3,Male,4,5,Research Director,2,Single,18722,8,3
No,4/19/2019,34,Travel_Frequently,2,4,Male,2,2,Manufacturing Director,3,Married,9547,1,3
No,3/21/2021,51,Travel_Rarely,3,4,Female,3,4,Healthcare Representative,2,Single,13734,3,3
No,1/18/2020,52,Travel_Rarely,1,3,Male,2,5,Manager,3,Married,19999,0,3
No,12/25/2021,27,Travel_Rarely,9,4,Female,3,1,Research Scientist,2,Single,2279,1,3
Yes,12/10/2019,35,Travel_Rarely,23,2,Male,2,2,Manufacturing Director,3,Married,5916,3,3
No,5/24/2021,43,Non-Travel,7,4,Male,4,1,Research Scientist,4,Divorced,2089,4,3
No,1/19/2021,45,Non-Travel,2,1,Male,2,4,Manager,4,Married,16792,9,4
No,6/21/2019,37,Travel_Rarely,21,2,Male,4,1,Research Scientist,1,Married,3564,1,3
No,1/22/2020,35,Travel_Frequently,2,2,Female,3,2,Laboratory Technician,2,Single,4425,5,3
No,12/5/2021,42,Non-Travel,21,3,Female,3,2,Manufacturing Director,3,Divorced,5265,2,3
No,11/24/2021,38,Travel_Rarely,2,4,Male,3,2,Manufacturing Director,3,Married,6553,9,3
No,7/13/2019,38,Travel_Rarely,29,4,Male,3,2,Manufacturing Director,4,Married,6261,3,3
No,8/28/2020,27,Travel_Frequently,1,3,Male,2,2,Manufacturing Director,1,Married,4298,5,3
No,3/2/2019,49,Non-Travel,18,4,Male,3,2,Manufacturing Director,4,Divorced,6804,1,3
No,12/1/2021,34,Travel_Frequently,10,4,Male,3,1,Research Scientist,3,Divorced,3815,1,3
No,5/28/2019,40,Travel_Rarely,19,3,Male,3,2,Laboratory Technician,4,Married,2741,8,3
Yes,10/22/2019,38,Travel_Rarely,29,2,Male,3,2,Healthcare Representative,1,Married,6673,7,3
Yes,6/1/2021,29,Travel_Rarely,27,2,Female,3,3,Sales Executive,4,Married,7639,1,4
No,11/17/2020,22,Travel_Rarely,5,4,Male,4,1,Research Scientist,2,Divorced,2328,1,3
No,1/31/2021,36,Travel_Frequently,18,2,Female,3,1,Laboratory Technician,4,SINGLE,2153,1,3
No,1/10/2019,40,Non-Travel,9,4,Male,2,2,Healthcare Representative,4,Married,4876,9,3
No,1/27/2020,46,Travel_Rarely,1,4,Male,3,3,Healthcare Representative,1,Divorced,9396,7,3
Yes,10/31/2019,32,Travel_Rarely,4,4,Male,1,3,Sales Executive,4,Married,10400,1,3
No,11/10/2020,30,Non-Travel,1,3,Male,2,3,Manufacturing Director,3,Single,8474,1,4
No,11/6/2021,27,Travel_Frequently,20,4,Female,3,2,Sales Executive,3,Single,9981,1,3
No,6/18/2021,51,Travel_Rarely,8,2,Male,2,3,Research Director,2,Married,12490,5,3
Yes,10/28/2020,30,Travel_Rarely,3,4,Female,3,1,Research Scientist,1,Single,2657,5,3
No,10/31/2019,41,Travel_Rarely,6,4,Female,3,3,Manager,4,Single,13591,3,3
Yes,7/5/2021,30,Travel_Frequently,26,3,Female,2,2,Sales Executive,1,Single,6696,5,3
Yes,7/5/2020,29,Travel_Rarely,1,3,Male,3,1,Research Scientist,3,Single,2058,0,3
No,12/6/2020,45,Non-Travel,6,4,Female,2,3,Sales Executive,4,Single,8865,6,3
No,4/23/2019,54,Travel_Rarely,3,4,Female,3,2,Sales Executive,1,Married,5940,2,3
No,9/1/2020,36,Travel_Rarely,5,4,Male,3,2,Laboratory Technician,2,Single,5914,8,3
No,9/12/2021,33,Travel_Rarely,4,3,Female,2,1,Research Scientist,2,Married,2622,6,4
No,3/4/2020,37,Travel_Frequently,11,2,Male,3,3,Research Director,4,Divorced,12185,1,3
No,10/23/2021,38,Travel_Rarely,3,1,Male,3,3,Sales Executive,3,Divorced,10609,0,3
No,5/7/2019,31,Non-Travel,1,3,Male,1,2,Manufacturing Director,3,Married,4345,0,3
No,8/7/2020,59,Travel_Rarely,3,3,Male,2,1,Research Scientist,4,Married,2177,3,3
No,11/11/2021,37,Travel_Frequently,4,1,Male,3,1,Sales Representative,4,Divorced,2793,4,3
No,2/2/2019,29,Travel_Frequently,1,2,Female,3,3,Sales Executive,4,Married,7918,1,3
No,1/2/2020,35,Travel_Frequently,1,3,Female,3,3,Sales Executive,3,Single,8789,1,3
Yes,1/31/2019,29,Travel_Rarely,18,3,Male,2,1,Research Scientist,4,Single,2389,1,3
No,9/5/2020,52,Travel_Rarely,2,3,Female,2,1,Laboratory Technician,4,Single,3212,7,3
No,1/31/2020,42,Travel_Rarely,4,3,Male,3,5,Manager,4,Married,19232,1,3
No,8/23/2020,59,Travel_Rarely,6,2,Male,3,1,Human Resources,3,Married,2267,8,3
No,10/8/2019,50,Travel_Rarely,1,4,Female,3,5,Manager,4,Divorced,19517,3,3
Yes,12/18/2020,33,Travel_Rarely,14,3,Male,3,1,Laboratory Technician,4,Married,2436,5,3
No,8/7/2019,43,Travel_Rarely,16,4,Female,3,4,Manager,4,Married,16064,5,4
Yes,6/4/2019,33,Travel_Rarely,2,1,Female,3,1,Laboratory Technician,1,Married,2707,7,4
No,12/21/2020,52,Non-Travel,2,1,Male,2,5,Manager,3,SINGLE,19068,1,3
No,1/15/2020,32,Travel_Rarely,4,3,Female,3,1,Sales Representative,2,Married,3931,2,3
Yes,4/9/2019,32,Travel_Rarely,1,4,Male,2,1,Laboratory Technician,3,Single,3730,0,3
No,4/25/2020,39,Travel_Rarely,1,3,Female,3,1,Laboratory Technician,3,Divorced,2232,7,3
No,8/3/2020,32,Non-Travel,26,3,Male,3,2,Sales Executive,4,Married,4465,0,3
No,11/28/2021,41,Travel_Rarely,19,3,Male,3,2,Research Scientist,1,Divorced,3072,2,3
No,9/5/2021,40,Travel_Rarely,24,1,Male,3,2,Research Scientist,4,Divorced,3319,1,3
No,5/31/2019,45,Travel_Rarely,1,3,Male,4,5,Manager,4,Married,19202,0,3
No,9/30/2019,31,Travel_Frequently,3,2,Male,3,3,Research Director,3,Divorced,13675,9,3
No,12/3/2021,33,Travel_Rarely,5,3,Female,2,1,Research Scientist,4,Married,2911,1,3
No,6/15/2021,34,Travel_Rarely,2,4,Male,2,2,Manufacturing Director,1,Married,5957,6,3
No,1/4/2019,37,Travel_Rarely,1,3,Female,2,1,Research Scientist,1,Married,3920,2,3
No,1/27/2019,45,Travel_Frequently,7,1,Male,4,2,Manufacturing Director,3,Married,6434,4,3
Yes,5/6/2020,37,Travel_Frequently,10,1,Male,3,3,Manufacturing Director,3,Divorced,10048,6,3
No,8/24/2019,39,Travel_Frequently,2,3,Female,3,3,Healthcare Representative,3,Single,10938,0,4
No,4/9/2019,29,Travel_Rarely,15,3,Male,3,1,Research Scientist,4,Single,2340,1,3
No,1/10/2021,42,Travel_Rarely,17,4,Female,4,2,Research Scientist,1,Single,6545,3,3
No,7/20/2020,29,Travel_Rarely,20,4,Male,3,2,Sales Executive,4,Divorced,6931,2,3
No,1/4/2020,25,Travel_Rarely,1,1,Female,3,2,Manufacturing Director,3,Married,4898,0,3
No,6/24/2021,42,Travel_Rarely,2,4,Female,2,1,Laboratory Technician,1,Divorced,2593,0,3
No,8/26/2021,40,Travel_Rarely,2,1,Male,3,5,Research Director,3,Divorced,19436,0,3
No,9/10/2020,51,Travel_Rarely,1,3,Male,3,1,Research Scientist,4,Married,2723,1,3
Yes,11/20/2019,31,Travel_Frequently,29,3,Male,2,1,Laboratory Technician,2,Single,3479,0,3
No,2/9/2019,32,Travel_Frequently,7,2,Male,4,1,Laboratory Technician,2,Married,2794,1,4
No,2/6/2019,38,Non-Travel,2,4,Male,2,2,Sales Executive,4,Married,5249,3,3
No,3/22/2019,32,Travel_Rarely,2,4,Male,2,2,Laboratory Technician,1,Single,82176,4,3
No,2/9/2020,46,Travel_Rarely,2,3,Female,1,4,Manager,2,Married,16872,3,3
Yes,6/26/2020,28,Travel_Rarely,2,1,Male,3,1,Laboratory Technician,3,SINGLE,3485,2,3
No,8/9/2019,29,Travel_Rarely,2,1,Male,2,2,Sales Executive,2,Married,6644,2,3
No,5/3/2021,31,Travel_Rarely,23,2,Male,2,2,Healthcare Representative,4,Married,5582,0,4
No,12/1/2020,25,Non-Travel,5,2,Male,4,2,Healthcare Representative,1,Divorced,4000,1,3
No,7/17/2019,45,Travel_Rarely,20,3,Male,3,4,Healthcare Representative,4,Married,13496,0,3
